"party_code","first_rate","second_rate","cand_num","elected_num"
"1","34.5842","37.2604","34","13"
"16","36.1629","38.9612","34","13"
"74","0.2924","0.0000","8","0"
"79","0.8514","0.0000","8","0"
"90","0.5068","0.0000","10","0"
"95","0.3148","0.0000","6","0"
"113","0.1265","0.0000","4","0"
"153","0.0853","0.0000","2","0"
"195","0.1427","0.0000","5","0"
"267","2.5653","0.0000","8","0"
"303","0.6901","0.0000","7","0"
"350","22.0706","23.7785","34","8"
"356","0.0748","0.0000","3","0"
"357","0.9336","0.0000","3","0"
"366","0.3256","0.0000","2","0"
"382","0.2730","0.0000","9","0"
