prv_code,city_code,area_code,dept_code,li_code,tbox_no,valid_ticket,invalid_ticket,vote_ticket,votable_population,population,cand_male_num,cand_female_num,cand_num,elected_male_num,elected_female_num,elected_num,elect_to_population,vote_to_elect,elected_to_cand
00,000,00,000,0000,0000,3054541,132609,3187150,4927490,5920742,2454,771,3225,1491,525,2016,83.22,64.68,62.51
09,007,00,000,0000,0000,8449,164,8613,11799,13976,22,9,31,16,6,22,84.42,73.00,70.97
09,007,01,010,0001,0001,712,11,723,1012,0,7,2,9,6,1,7,0.00,71.44,77.78
09,007,01,010,0001,0002,651,15,666,901,0,7,2,9,6,1,7,0.00,73.92,77.78
09,007,01,010,0A01,0003,1161,30,1191,1698,0,7,2,9,6,1,7,0.00,70.14,77.78
09,007,01,010,0A02,0004,892,26,918,1265,0,7,2,9,6,1,7,0.00,72.57,77.78
09,007,01,010,0A03,0005,1060,18,1078,1589,0,7,2,9,6,1,7,0.00,67.84,77.78
09,007,01,010,0001,0000,1363,26,1389,1913,0,7,2,9,6,1,7,0.00,72.61,77.78
09,007,01,010,0A01,0000,1161,30,1191,1698,0,7,2,9,6,1,7,0.00,70.14,77.78
09,007,01,010,0A02,0000,892,26,918,1265,0,7,2,9,6,1,7,0.00,72.57,77.78
09,007,01,010,0A03,0000,1060,18,1078,1589,0,7,2,9,6,1,7,0.00,67.84,77.78
09,007,01,020,0A01,0006,1035,20,1055,1366,0,4,2,6,4,1,5,0.00,77.23,83.33
09,007,01,020,0A02,0007,1009,24,1033,1375,0,4,2,6,4,1,5,0.00,75.13,83.33
09,007,01,020,0A01,0000,1035,20,1055,1366,0,4,2,6,4,1,5,0.00,77.23,83.33
09,007,01,020,0A02,0000,1009,24,1033,1375,0,4,2,6,4,1,5,0.00,75.13,83.33
09,007,01,030,0A01,0008,443,5,448,633,0,6,3,9,2,3,5,0.00,70.77,55.56
09,007,01,030,0A02,0009,513,6,519,684,0,6,3,9,2,3,5,0.00,75.88,55.56
09,007,01,030,0A01,0000,443,5,448,633,0,6,3,9,2,3,5,0.00,70.77,55.56
09,007,01,030,0A02,0000,513,6,519,684,0,6,3,9,2,3,5,0.00,75.88,55.56
09,007,01,040,0A01,0010,973,9,982,1276,0,5,2,7,4,1,5,0.00,76.96,71.43
09,007,01,040,0A01,0000,973,9,982,1276,0,5,2,7,4,1,5,0.00,76.96,71.43
09,007,00,010,0000,0000,4476,100,4576,6465,7804,7,2,9,6,1,7,82.84,70.78,77.78
09,007,01,010,0000,0000,4476,100,4576,6465,7804,7,2,9,6,1,7,82.84,70.78,77.78
09,007,00,020,0000,0000,2044,44,2088,2741,3183,4,2,6,4,1,5,86.11,76.18,83.33
09,007,01,020,0000,0000,2044,44,2088,2741,3183,4,2,6,4,1,5,86.11,76.18,83.33
09,007,00,030,0000,0000,956,11,967,1317,1471,6,3,9,2,3,5,89.53,73.42,55.56
09,007,01,030,0000,0000,956,11,967,1317,1471,6,3,9,2,3,5,89.53,73.42,55.56
09,007,00,040,0000,0000,973,9,982,1276,1518,5,2,7,4,1,5,84.06,76.96,71.43
09,007,01,040,0000,0000,973,9,982,1276,1518,5,2,7,4,1,5,84.06,76.96,71.43
09,020,00,000,0000,0000,46066,1934,48000,122012,140938,46,20,66,33,14,47,86.57,39.34,71.21
09,020,01,010,0001,0001,562,17,579,1341,0,11,5,16,7,4,11,0.00,43.18,68.75
09,020,01,010,0001,0002,727,24,751,1675,0,11,5,16,7,4,11,0.00,44.84,68.75
09,020,01,010,0001,0003,724,23,747,1676,0,11,5,16,7,4,11,0.00,44.57,68.75
09,020,01,010,0003,0004,667,25,692,1786,0,11,5,16,7,4,11,0.00,38.75,68.75
09,020,01,010,0003,0005,559,20,579,1583,0,11,5,16,7,4,11,0.00,36.58,68.75
09,020,01,010,0003,0006,745,27,772,1815,0,11,5,16,7,4,11,0.00,42.53,68.75
09,020,01,010,0002,0007,589,28,617,1522,0,11,5,16,7,4,11,0.00,40.54,68.75
09,020,01,010,0002,0008,555,18,573,1514,0,11,5,16,7,4,11,0.00,37.85,68.75
09,020,01,010,0002,0009,552,31,583,1489,0,11,5,16,7,4,11,0.00,39.15,68.75
09,020,01,010,0001,0000,2013,64,2077,4692,0,11,5,16,7,4,11,0.00,44.27,68.75
09,020,01,010,0002,0010,578,23,601,1563,0,11,5,16,7,4,11,0.00,38.45,68.75
09,020,01,010,0002,0011,690,26,716,1683,0,11,5,16,7,4,11,0.00,42.54,68.75
09,020,01,010,0002,0012,553,17,570,1436,0,11,5,16,7,4,11,0.00,39.69,68.75
09,020,01,010,0004,0013,486,8,494,1267,0,11,5,16,7,4,11,0.00,38.99,68.75
09,020,01,010,0004,0014,419,17,436,1093,0,11,5,16,7,4,11,0.00,39.89,68.75
