party_code,party_name
1,中國國民黨
15,勞動黨
16,民主進步黨
73,公民黨
79,綠黨
101,台灣工黨
203,共和黨
267,時代力量
350,台灣民眾黨
372,台灣澎友黨
999,無黨籍及未經政黨推薦
