party_code,party_name
1,中國國民黨
16,民主進步黨
203,共和黨
267,時代力量
306,台灣動物保護黨
320,龍黨
343,天一黨
350,台灣民眾黨
355,台澎黨
356,台灣維新
999,無黨籍及未經政黨推薦
