prv_code,city_code,area_code,dept_code,li_code,cand_no,cand_name,party_code,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,is_vice
64,000,00,360,0000,1,何忠勇,16,1,0501220,60,高雄市,專科,N, , 
64,000,00,360,0000,2,趙文耀 Ase‧Takilawdru,1,1,0470126,64,高雄市,專科,N, , 
64,000,00,360,0000,3,駱韋志,999,1,0531001,58,高雄市,專科,N,*, 
64,000,00,370,0000,1,張志誠Haisul ·Ispalavi,999,1,0560313,55,高雄市,碩士,N, , 
64,000,00,370,0000,2,杜司偉Andrew Isbabanal,999,1,0651114,45,高雄市,高中(職),N,*, 
64,000,00,370,0000,3,謝正忠,999,1,0480618,63,高雄市,專科,N, , 
64,000,00,370,0000,4,賴金龍,999,1,0460818,65,高雄市,碩士,N, , 
64,000,00,380,0000,1,孔賢傑,999,1,0620710,49,高雄市,碩士,Y,*, 
64,000,00,380,0000,2,孫榮貴 Istanda．Vachi,999,1,0480313,63,高雄市,高中(職),N, , 
65,000,00,290,0000,1,周至剛,999,1,0660108,45,新北市,專科,N,*, 
65,000,00,290,0000,2,蔡馬新,999,1,0401120,70,新北市,高中(職),N, , 
65,000,00,290,0000,3,林東暭,999,1,0661017,45,新北市,高中(職),N, , 
65,000,00,290,0000,4,周守信,999,1,0460922,65,新北市,專科,Y, , 
65,000,00,290,0000,5,王子瑋,999,1,0690419,42,新北市,高中(職),N, , 
66,000,00,290,0000,1,吳萬福,999,1,0471121,63,臺中市,專科,Y,*, 
68,000,00,130,0000,1,游正英,1,1,0450914,66,桃園市,專科,Y,*, 
68,000,00,130,0000,2,林秋霖,350,1,0570921,54,桃園市,碩士,N, , 
68,000,00,130,0000,3,蘇佐璽,16,1,0610703,50,桃園市,碩士,N, , 
68,000,00,130,0000,4,曾志湘,999,1,0460415,65,桃園市,專科,N, , 
68,000,00,130,0000,5,楊春樹,999,1,0530102,58,桃園市,其他,N, , 
