行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
虎尾鎮,東仁里,0122,283,159,55,3,500,1,501,0,501,752,1253,39.98%
虎尾鎮,東仁里,0123,218,126,58,3,405,3,408,0,408,746,1154,35.36%
虎尾鎮,新興里,0124,157,79,45,1,282,1,283,0,283,421,704,40.20%
虎尾鎮,新興里,0125,168,85,49,2,304,1,305,0,305,645,950,32.11%
虎尾鎮,公安里,0126,203,142,48,2,395,4,399,0,399,568,967,41.26%
虎尾鎮,公安里,0127,170,120,37,0,327,2,329,0,329,508,837,39.31%
虎尾鎮,公安里,0128,151,110,37,3,301,6,307,0,307,562,869,35.33%
虎尾鎮,德興里,0129,234,121,50,1,406,5,411,0,411,806,1217,33.77%
虎尾鎮,德興里,0130,258,143,41,1,443,1,444,0,444,738,1182,37.56%
虎尾鎮,中山里,0131,152,135,44,1,332,2,334,0,334,507,841,39.71%
虎尾鎮,西安里,0132,171,115,45,2,333,3,336,0,336,586,922,36.44%
虎尾鎮,西安里,0133,208,121,44,2,375,1,376,0,376,602,978,38.45%
虎尾鎮,西安里,0134,166,104,38,2,310,0,310,0,310,781,1091,28.41%
虎尾鎮,立仁里,0135,263,92,38,4,397,0,397,0,397,718,1115,35.61%
虎尾鎮,立仁里,0136,241,117,59,2,419,4,423,0,423,765,1188,35.61%
虎尾鎮,立仁里,0137,237,102,48,3,390,1,391,0,391,835,1226,31.89%
虎尾鎮,安慶里,0138,202,215,57,3,477,3,480,0,480,787,1267,37.88%
虎尾鎮,平和里,0139,240,132,44,6,422,0,422,0,422,719,1141,36.99%
虎尾鎮,平和里,0140,199,107,37,2,345,3,348,0,348,715,1063,32.74%
虎尾鎮,平和里,0141,214,136,59,3,412,1,413,0,413,802,1215,33.99%
虎尾鎮,平和里,0142,233,131,53,1,418,2,420,0,420,693,1113,37.74%
虎尾鎮,興南里,0143,227,85,40,6,358,0,358,0,358,674,1032,34.69%
虎尾鎮,興南里,0144,278,179,34,1,492,3,495,0,495,664,1159,42.71%
虎尾鎮,新吉里,0145,276,142,65,0,483,4,487,0,487,836,1323,36.81%
虎尾鎮,新吉里,0146,244,112,43,3,402,2,404,0,404,898,1302,31.03%
虎尾鎮,新吉里,0147,249,121,58,3,431,5,436,0,436,695,1131,38.55%
虎尾鎮,穎川里,0148,244,139,46,1,430,2,432,0,432,681,1113,38.81%
虎尾鎮,穎川里,0149,180,79,33,2,294,1,295,0,295,553,848,34.79%
虎尾鎮,延平里,0150,245,160,31,1,437,1,438,0,438,665,1103,39.71%
虎尾鎮,建國里,0151,116,66,8,1,191,0,191,0,191,334,525,36.38%
虎尾鎮,埒內里,0152,234,204,84,2,524,4,528,0,528,775,1303,40.52%
虎尾鎮,埒內里,0153,155,232,83,2,472,2,474,0,474,713,1187,39.93%
虎尾鎮,堀頭里,0154,130,238,25,3,396,5,401,0,401,420,821,48.84%
虎尾鎮,安溪里,0155,138,131,40,0,309,6,315,0,315,513,828,38.04%
虎尾鎮,安溪里,0156,108,153,41,1,303,2,305,0,305,539,844,36.14%
虎尾鎮,興中里,0157,155,90,42,2,289,1,290,0,290,487,777,37.32%
虎尾鎮,興中里,0158,135,85,39,0,259,2,261,0,261,550,811,32.18%
虎尾鎮,廉使里,0159,123,302,35,2,462,8,470,0,470,641,1111,42.30%
虎尾鎮,廉使里,0160,168,225,60,1,454,2,456,0,456,870,1326,34.39%
虎尾鎮,廉使里,0161,176,199,52,2,429,4,433,0,433,775,1208,35.84%
虎尾鎮,惠來里,0162,181,201,65,2,449,4,453,0,453,767,1220,37.13%
虎尾鎮,惠來里,0163,155,168,90,0,413,3,416,0,416,601,1017,40.90%
虎尾鎮,頂溪里,0164,257,187,62,2,508,3,511,0,511,747,1258,40.62%
虎尾鎮,頂溪里,0165,218,204,53,3,478,4,482,0,482,707,1189,40.54%
虎尾鎮,中溪里,0166,281,232,55,2,570,4,574,0,574,699,1273,45.09%
虎尾鎮,下溪里,0167,95,160,15,0,270,2,272,0,272,278,550,49.45%
虎尾鎮,下溪里,0168,242,135,23,2,402,2,404,0,404,480,884,45.70%
虎尾鎮,東屯里,0169,218,134,34,1,387,3,390,0,390,785,1175,33.19%
虎尾鎮,西屯里,0170,200,264,70,3,537,4,541,0,541,871,1412,38.31%
虎尾鎮,芳草里,0171,139,117,31,1,288,1,289,0,289,580,869,33.26%
虎尾鎮,墾地里,0172,164,90,39,1,294,2,296,0,296,528,824,35.92%
虎尾鎮,墾地里,0173,152,124,38,1,315,1,316,0,316,1072,1388,22.77%
虎尾鎮,北溪里,0174,128,211,33,4,376,1,377,0,377,442,819,46.03%
虎尾鎮,三合里,0175,278,213,36,1,528,5,533,0,533,768,1301,40.97%
