行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,號次5,號次6,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
七股區,後港里,0001,0,129,1,103,11,1,245,0,245,0,245,275,520,47.12%
七股區,後港里,0002,0,177,2,68,7,0,254,1,255,0,255,233,488,52.25%
七股區,大潭里,0003,2,137,0,113,6,0,258,2,260,0,260,383,643,40.44%
七股區,篤加里,0004,1,162,0,138,32,1,334,2,336,0,336,479,815,41.23%
七股區,頂山里,0005,0,173,0,101,45,1,320,1,321,0,321,465,786,40.84%
七股區,西寮里,0006,0,109,1,70,23,0,203,4,207,0,207,264,471,43.95%
七股區,?埕里,0007,1,105,0,60,8,0,174,0,174,0,174,252,426,40.85%
七股區,中寮里,0008,2,128,0,102,17,1,250,2,252,0,252,425,677,37.22%
七股區,龍山里,0009,0,189,1,115,16,1,322,4,326,0,326,491,817,39.90%
七股區,龍山里,0010,0,215,0,86,25,2,328,2,330,0,330,432,762,43.31%
七股區,溪南里,0011,0,52,1,99,22,0,174,0,174,0,174,168,342,50.88%
七股區,七股里,0012,2,226,0,105,15,0,348,1,349,0,349,534,883,39.52%
七股區,玉成里,0013,1,189,0,125,17,2,334,2,336,0,336,423,759,44.27%
七股區,大埕里,0014,0,339,3,271,48,1,662,2,664,0,664,958,1622,40.94%
七股區,大埕里,0015,0,234,0,148,22,1,405,1,406,0,406,482,888,45.72%
七股區,樹林里,0016,1,247,0,172,17,0,437,3,440,0,440,718,1158,38.00%
七股區,樹林里,0017,0,141,2,87,24,2,256,0,256,0,256,423,679,37.70%
七股區,竹橋里,0018,2,159,1,106,27,0,295,1,296,0,296,326,622,47.59%
七股區,竹橋里,0019,3,146,5,109,17,1,281,1,282,0,282,318,600,47.00%
七股區,義合里,0020,4,274,3,192,25,0,498,4,502,0,502,621,1123,44.70%
七股區,義合里,0021,1,147,1,120,19,0,288,3,291,0,291,384,675,43.11%
七股區,永吉里,0022,1,199,1,166,17,1,385,4,389,0,389,577,966,40.27%
七股區,三股里,0023,1,230,8,233,23,2,497,5,502,0,502,820,1322,37.97%
七股區,十份里,0024,1,153,0,251,24,1,430,2,432,0,432,895,1327,32.55%
佳里區,東寧里,0025,1,365,0,326,16,0,708,4,712,0,712,672,1384,51.45%
佳里區,東寧里,0026,2,190,3,192,16,0,403,0,403,0,403,413,816,49.39%
佳里區,忠仁里,0027,4,333,3,256,34,3,633,4,637,0,637,716,1353,47.08%
佳里區,忠仁里,0028,2,314,5,283,31,4,639,3,642,0,642,760,1402,45.79%
佳里區,鎮山里,0029,3,310,0,293,35,6,647,3,650,0,650,694,1344,48.36%
佳里區,鎮山里,0030,2,335,0,292,35,0,664,3,667,0,667,750,1417,47.07%
佳里區,鎮山里,0031,1,256,3,277,16,3,556,0,556,0,556,675,1231,45.17%
佳里區,鎮山里,0032,3,357,2,255,25,1,643,2,645,0,645,773,1418,45.49%
佳里區,安西里,0033,1,280,2,275,23,1,582,3,585,0,585,718,1303,44.90%
佳里區,安西里,0034,2,345,1,393,19,1,761,2,763,0,763,694,1457,52.37%
佳里區,安西里,0035,2,417,1,373,30,1,824,4,828,0,828,977,1805,45.87%
佳里區,安西里,0036,1,242,4,235,21,2,505,5,510,0,510,584,1094,46.62%
佳里區,文新里,0037,0,314,3,302,21,0,640,1,641,0,641,739,1380,46.45%
佳里區,文新里,0038,2,335,6,382,34,1,760,1,761,0,761,907,1668,45.62%
佳里區,文新里,0039,3,296,3,414,31,1,748,4,752,0,752,1054,1806,41.64%
佳里區,建南里,0040,2,339,1,308,15,2,667,4,671,0,671,701,1372,48.91%
佳里區,建南里,0041,0,231,2,236,24,2,495,0,495,0,495,717,1212,40.84%
佳里區,建南里,0042,0,361,1,304,30,1,697,6,703,0,703,768,1471,47.79%
佳里區,南勢里,0043,2,301,3,324,31,1,662,3,665,0,665,909,1574,42.25%
佳里區,南勢里,0044,5,327,2,273,42,4,653,1,654,0,654,808,1462,44.73%
佳里區,南勢里,0045,2,240,2,256,21,2,523,0,523,0,523,622,1145,45.68%
佳里區,六安里,0046,2,291,1,281,24,3,602,1,603,0,603,734,1337,45.10%
佳里區,六安里,0047,3,263,0,313,17,0,596,2,598,0,598,733,1331,44.93%
佳里區,六安里,0048,4,209,2,315,17,4,551,6,557,0,557,701,1258,44.28%
佳里區,佳化里,0049,1,222,4,213,36,0,476,2,478,0,478,655,1133,42.19%
佳里區,佳化里,0050,0,243,3,150,23,1,420,1,421,0,421,527,948,44.41%
佳里區,佳興里,0051,7,298,3,208,21,0,537,4,541,0,541,630,1171,46.20%
佳里區,佳興里,0052,0,238,0,170,23,0,431,2,433,0,433,470,903,47.95%
佳里區,營溪里,0053,0,127,0,105,35,0,267,2,269,0,269,408,677,39.73%
佳里區,營溪里,0054,2,68,1,86,12,0,169,0,169,0,169,203,372,45.43%
