zone,2020,2024,diff,rate,target
連江縣01,112,27,-85,-75.89,
連江縣02,32,8,-24,-75,
連江縣03,21,6,-15,-71.43,
連江縣04,31,2,-29,-93.55,
金門縣01,749,144,-605,-80.77,
金門縣02,516,75,-441,-85.47,
金門縣03,87,16,-71,-81.61,
宜蘭縣01,1836,195,-1641,-89.38,
宜蘭縣02,722,100,-622,-86.15,
宜蘭縣03,716,91,-625,-87.29,
宜蘭縣04,569,92,-477,-83.83,
宜蘭縣05,477,69,-408,-85.53,
宜蘭縣06,1280,149,-1131,-88.36,
宜蘭縣07,767,110,-657,-85.66,
宜蘭縣08,921,114,-807,-87.62,
宜蘭縣09,536,85,-451,-84.14,
宜蘭縣10,835,133,-702,-84.07,
新竹縣01,4584,502,-4082,-89.05,
新竹縣02,1793,288,-1505,-83.94,
新竹縣03,1339,193,-1146,-85.59,
新竹縣04,608,102,-506,-83.22,
新竹縣05,760,113,-647,-85.13,
新竹縣06,450,80,-370,-82.22,
新竹縣07,507,74,-433,-85.4,
新竹縣08,2558,306,-2252,-88.04,
新竹縣09,361,42,-319,-88.37,
新竹縣10,316,43,-273,-86.39,
苗栗縣01,3157,608,-2549,-80.74,
苗栗縣02,859,150,-709,-82.54,
苗栗縣03,1601,234,-1367,-85.38,
苗栗縣04,3235,436,-2799,-86.52,
苗栗縣05,2713,436,-2277,-83.93,
苗栗縣06,863,151,-712,-82.5,
彰化縣01,6912,930,-5982,-86.55,
彰化縣02,3662,547,-3115,-85.06,
彰化縣03,3273,512,-2761,-84.36,
彰化縣04,4360,595,-3765,-86.35,
彰化縣05,2567,340,-2227,-86.75,
彰化縣06,1915,283,-1632,-85.22,
彰化縣07,2341,324,-2017,-86.16,
彰化縣08,2069,305,-1764,-85.26,
南投縣01,3641,440,-3201,-87.92,
南投縣02,2973,381,-2592,-87.18,
南投縣03,1296,174,-1122,-86.57,
南投縣04,1333,171,-1162,-87.17,
南投縣05,2566,382,-2184,-85.11,
雲林縣01,3366,383,-2983,-88.62,
雲林縣02,1674,230,-1444,-86.26,
雲林縣03,2576,274,-2302,-89.36,
雲林縣04,1545,195,-1350,-87.38,
雲林縣05,1929,305,-1624,-84.19,
雲林縣06,1632,212,-1420,-87.01,
嘉義縣01,1914,252,-1662,-86.83,
嘉義縣02,1809,304,-1505,-83.2,
嘉義縣03,1137,292,-845,-74.32,
嘉義縣04,1462,190,-1272,-87,
嘉義縣05,692,99,-593,-85.69,
嘉義縣06,1875,283,-1592,-84.91,
屏東縣01,3126,353,-2773,-88.71,
屏東縣02,2142,294,-1848,-86.27,
屏東縣03,2713,363,-2350,-86.62,
屏東縣04,2028,234,-1794,-88.46,
屏東縣05,826,101,-725,-87.77,
屏東縣06,901,119,-782,-86.79,
屏東縣07,203,32,-171,-84.24,
臺東縣01,1929,321,-1608,-83.36,
臺東縣02,303,67,-236,-77.89,
臺東縣03,386,86,-300,-77.72,
臺東縣04,442,92,-350,-79.19,
臺東縣05,335,61,-274,-81.79,
臺東縣06,50,6,-44,-88,
花蓮縣01,2046,278,-1768,-86.41,
花蓮縣02,654,126,-528,-80.73,
花蓮縣03,2564,426,-2138,-83.39,
花蓮縣04,708,119,-589,-83.19,
澎湖縣01,1227,245,-982,-80.03,
澎湖縣02,276,57,-219,-79.35,
澎湖縣03,148,35,-113,-76.35,
澎湖縣04,158,27,-131,-82.91,
澎湖縣05,84,27,-57,-67.86,
澎湖縣06,67,13,-54,-80.6,
基隆市01,1493,224,-1269,-85,
基隆市02,1544,227,-1317,-85.3,
基隆市03,1202,163,-1039,-86.44,
基隆市04,1446,210,-1236,-85.48,
基隆市05,2437,361,-2076,-85.19,
基隆市06,1160,167,-993,-85.6,
基隆市07,1653,258,-1395,-84.39,
新竹市01,3618,416,-3202,-88.5,
新竹市02,1303,152,-1151,-88.33,
新竹市03,745,80,-665,-89.26,
新竹市04,2737,326,-2411,-88.09,
新竹市05,1813,212,-1601,-88.31,
嘉義市01,2275,277,-1998,-87.82,
嘉義市02,2900,382,-2518,-86.83,
臺北市01,13716,2928,-10788,-78.65,
臺北市02,10456,1209,-9247,-88.44,
臺北市03,10322,1285,-9037,-87.55,
臺北市04,9162,1188,-7974,-87.03,
臺北市05,8105,985,-7120,-87.85,
臺北市06,13722,1733,-11989,-87.37,
高雄市01,2328,236,-2092,-89.86,
高雄市02,2838,314,-2524,-88.94,
