zone,2020,2024,diff,rate,target
連江縣01,46,13,-33,-71.74,
連江縣02,13,2,-11,-84.62,
連江縣03,6,0,-6,-100,
連江縣04,8,2,-6,-75,
金門縣01,507,63,-444,-87.57,
金門縣02,262,37,-225,-85.88,
金門縣03,42,8,-34,-80.95,
宜蘭縣01,1337,387,-950,-71.05,
宜蘭縣02,363,82,-281,-77.41,
宜蘭縣03,419,116,-303,-72.32,
宜蘭縣04,412,126,-286,-69.42,
宜蘭縣05,267,89,-178,-66.67,
宜蘭縣06,1100,365,-735,-66.82,
宜蘭縣07,606,190,-416,-68.65,
宜蘭縣08,787,257,-530,-67.34,
宜蘭縣09,314,99,-215,-68.47,
宜蘭縣10,548,119,-429,-78.28,
新竹縣01,2664,618,-2046,-76.8,
新竹縣02,709,148,-561,-79.13,
新竹縣03,642,121,-521,-81.15,
新竹縣04,227,43,-184,-81.06,
新竹縣05,326,74,-252,-77.3,
新竹縣06,129,36,-93,-72.09,
新竹縣07,195,55,-140,-71.79,
新竹縣08,869,214,-655,-75.37,
新竹縣09,151,35,-116,-76.82,
新竹縣10,141,25,-116,-82.27,
苗栗縣01,1244,216,-1028,-82.64,
苗栗縣02,393,62,-331,-84.22,
苗栗縣03,1077,193,-884,-82.08,
苗栗縣04,1423,275,-1148,-80.67,
苗栗縣05,955,223,-732,-76.65,
苗栗縣06,351,77,-274,-78.06,
彰化縣01,5856,1003,-4853,-82.87,
彰化縣02,3088,586,-2502,-81.02,
彰化縣03,2547,411,-2136,-83.86,
彰化縣04,3802,594,-3208,-84.38,
彰化縣05,2049,325,-1724,-84.14,
彰化縣06,1700,294,-1406,-82.71,
彰化縣07,1959,327,-1632,-83.31,
彰化縣08,1518,241,-1277,-84.12,
南投縣01,2388,391,-1997,-83.63,
南投縣02,2026,375,-1651,-81.49,
南投縣03,811,205,-606,-74.72,
南投縣04,1250,189,-1061,-84.88,
南投縣05,1533,285,-1248,-81.41,
雲林縣01,2581,513,-2068,-80.12,
雲林縣02,1590,290,-1300,-81.76,
雲林縣03,2323,420,-1903,-81.92,
雲林縣04,1491,296,-1195,-80.15,
雲林縣05,1457,224,-1233,-84.63,
雲林縣06,1468,259,-1209,-82.36,
嘉義縣01,2037,383,-1654,-81.2,
嘉義縣02,2191,435,-1756,-80.15,
嘉義縣03,1232,248,-984,-79.87,
嘉義縣04,1768,443,-1325,-74.94,
嘉義縣05,773,173,-600,-77.62,
嘉義縣06,1936,380,-1556,-80.37,
屏東縣01,4828,1154,-3674,-76.1,
屏東縣02,3141,803,-2338,-74.43,
屏東縣03,3817,966,-2851,-74.69,
屏東縣04,3350,839,-2511,-74.96,
屏東縣05,1320,300,-1020,-77.27,
屏東縣06,925,171,-754,-81.51,
屏東縣07,296,60,-236,-79.73,
臺東縣01,1517,239,-1278,-84.25,
臺東縣02,247,55,-192,-77.73,
臺東縣03,248,42,-206,-83.06,
臺東縣04,267,64,-203,-76.03,
臺東縣05,170,36,-134,-78.82,
臺東縣06,51,4,-47,-92.16,
花蓮縣01,1266,195,-1071,-84.6,
花蓮縣02,256,53,-203,-79.3,
花蓮縣03,1290,222,-1068,-82.79,
花蓮縣04,373,60,-313,-83.91,
澎湖縣01,924,141,-783,-84.74,
澎湖縣02,220,34,-186,-84.55,
澎湖縣03,108,12,-96,-88.89,
澎湖縣04,82,18,-64,-78.05,
澎湖縣05,53,9,-44,-83.02,
澎湖縣06,44,8,-36,-81.82,
基隆市01,647,154,-493,-76.2,
基隆市02,691,152,-539,-78,
基隆市03,516,129,-387,-75,
基隆市04,625,141,-484,-77.44,
基隆市05,1103,251,-852,-77.24,
基隆市06,502,107,-395,-78.69,
基隆市07,738,188,-550,-74.53,
新竹市01,2121,471,-1650,-77.79,
新竹市02,707,196,-511,-72.28,
新竹市03,464,113,-351,-75.65,
新竹市04,1567,370,-1197,-76.39,
新竹市05,1007,209,-798,-79.25,
嘉義市01,2743,517,-2226,-81.15,
嘉義市02,3021,563,-2458,-81.36,
臺北市01,8181,1706,-6475,-79.15,
臺北市02,5550,2051,-3499,-63.05,
臺北市03,5611,1177,-4434,-79.02,
臺北市04,5317,1172,-4145,-77.96,
臺北市05,4844,1054,-3790,-78.24,
臺北市06,7663,1706,-5957,-77.74,
高雄市01,2519,527,-1992,-79.08,
高雄市02,4554,964,-3590,-78.83,
高雄市03,7539,1440,-6099,-80.9,
高雄市04,14121,2780,-11341,-80.31,
高雄市05,8491,1605,-6886,-81.1,
高雄市06,8085,1412,-6673,-82.54,
高雄市07,15767,3558,-12209,-77.43,
高雄市08,10053,2085,-7968,-79.26,
高雄市09,12946,2580,-10366,-80.07,
高雄市10,14125,2541,-11584,-82.01,
高雄市11,5900,1075,-4825,-81.78,
新北市01,3386,826,-2560,-75.61,
新北市02,9886,2083,-7803,-78.93,
新北市03,0,1294,1294,0,
新北市04,8896,1731,-7165,-80.54,
新北市05,7939,1633,-6306,-79.43,
新北市06,5208,1041,-4167,-80.01,
新北市07,2792,599,-2193,-78.55,
新北市08,8891,1755,-7136,-80.26,
新北市09,4227,961,-3266,-77.27,
新北市10,629,157,-472,-75.04,
新北市11,2749,720,-2029,-73.81,
臺中市01,2371,466,-1905,-80.35,
臺中市02,5845,972,-4873,-83.37,
臺中市03,6072,826,-5246,-86.4,
臺中市04,4099,805,-3294,-80.36,
臺中市05,4768,810,-3958,-83.01,
臺中市06,4903,823,-4080,-83.21,
臺中市07,3840,649,-3191,-83.1,
臺中市08,5806,1076,-4730,-81.47,
臺中市09,3124,530,-2594,-83.03,
臺中市10,3012,553,-2459,-81.64,
臺中市11,4714,787,-3927,-83.31,
臺中市12,3646,667,-2979,-81.71,
臺中市13,6275,970,-5305,-84.54,
臺中市14,1493,397,-1096,-73.41,
臺南市01,4187,900,-3287,-78.5,
臺南市02,4291,1129,-3162,-73.69,
臺南市03,2859,617,-2242,-78.42,
臺南市04,672,157,-515,-76.64,
臺南市05,4435,979,-3456,-77.93,
臺南市06,6044,1469,-4575,-75.69,
臺南市07,6494,2044,-4450,-68.52,
臺南市08,6515,2018,-4497,-69.03,
臺南市09,5960,1959,-4001,-67.13,
臺南市10,5860,2478,-3382,-57.71,
臺南市11,4860,1335,-3525,-72.53,
桃園市01,6473,1404,-5069,-78.31,
桃園市02,2239,532,-1707,-76.24,
桃園市03,2506,561,-1945,-77.61,
桃園市04,2381,451,-1930,-81.06,
桃園市05,1266,244,-1022,-80.73,
桃園市06,1295,300,-995,-76.83,
桃園市07,4770,961,-3809,-79.85,
桃園市08,2561,481,-2080,-81.22,
桃園市09,1874,437,-1437,-76.68,
桃園市10,1409,285,-1124,-79.77,
桃園市11,501,132,-369,-73.65,
桃園市12,830,225,-605,-72.89,
