zone,2020,2024,diff,rate,target
連江縣01,2483,2336,-147,-5.92,曹爾章(無黨籍及未經政黨推薦)-593｜陳書建(中國國民黨)-604｜曹丞君(中國國民黨)-644｜
連江縣02,763,779,16,2.1,陳玉發(中國國民黨)-709｜
連江縣03,442,387,-55,-12.44,
連江縣04,446,379,-67,-15.02,
金門縣01,16426,15536,-890,-5.42,唐麗輝(無黨籍及未經政黨推薦)-1468｜董森堡(無黨籍及未經政黨推薦)-1699｜歐陽儀雄(中國國民黨)-1781｜石永城(無黨籍及未經政黨推薦)-1835｜蔡其雍(民主進步黨)-1963｜許大鴻(無黨籍及未經政黨推薦)-2018｜許玉昭(中國國民黨)-2044｜陳泱瑚(無黨籍及未經政黨推薦)-2113｜
金門縣02,11847,10783,-1064,-8.98,蔡水游(無黨籍及未經政黨推薦)-1695｜王國代(中國國民黨)-1700｜王秀玉(中國國民黨)-1752｜楊育菡(無黨籍及未經政黨推薦)-1920｜周子傑(中國國民黨)-1985｜
金門縣03,2612,2369,-243,-9.3,洪成發(中國國民黨)-1529｜
宜蘭縣01,17728,17960,232,1.31,莊淑如(中國國民黨)-3525｜楊順木(正神名黨)-3691｜林麗(民主進步黨)-4181｜張勝德(中國國民黨)-4285｜
宜蘭縣02,5581,5635,54,0.97,賴良洲(中國國民黨)-4259｜
宜蘭縣03,6102,6242,140,2.29,
宜蘭縣04,4840,5156,316,6.53,
宜蘭縣05,3786,3858,72,1.9,
宜蘭縣06,11584,11649,65,0.56,呂惠卿(民主進步黨)-4248｜陳鴻禧(中國國民黨)-4584｜
宜蘭縣07,5983,6323,340,5.68,沈信雄(無黨籍及未經政黨推薦)-4747｜
宜蘭縣08,7463,7889,426,5.71,邱素梅(無黨籍及未經政黨推薦)-4888｜
宜蘭縣09,5718,5516,-202,-3.53,
宜蘭縣10,9229,8716,-513,-5.56,陳玉萍(無黨籍及未經政黨推薦)-4744｜
新竹縣01,33280,37982,4702,14.13,蔡蕥鍹(民主進步黨)-3807｜陳凱榮(中國國民黨)-4173｜張珈源(民主進步黨)-4252｜歐陽霆(民主進步黨)-4441｜蔡志環(中國國民黨)-4477｜林碩彥(台灣民眾黨)-4778｜鄭美琴(無黨籍及未經政黨推薦)-4964｜朱健銘(無黨籍及未經政黨推薦)-5018｜
新竹縣02,18957,19753,796,4.2,吳菊花(中國國民黨)-2619｜陳德木(中國國民黨)-4184｜羅美文(勞動黨)-4246｜甄克堅(無黨籍及未經政黨推薦)-5186｜
新竹縣03,12475,12531,56,0.45,何智達(無黨籍及未經政黨推薦)-5674｜吳傳地(民主進步黨)-6184｜
新竹縣04,7676,7663,-13,-0.17,羅仕琦(中國國民黨)-5015｜
新竹縣05,7862,8248,386,4.91,范曰富(中國國民黨)-5036｜
新竹縣06,7081,6331,-750,-10.59,
新竹縣07,5507,5612,105,1.91,鄭昱芸(無黨籍及未經政黨推薦)-5396｜
新竹縣08,27196,26045,-1151,-4.23,林昭錡(無黨籍及未經政黨推薦)-2884｜楊昌德(民主進步黨)-3132｜上官秋燕(中國國民黨)-3465｜鄭朝鐘(無黨籍及未經政黨推薦)-3537｜彭余美玲(中國國民黨)-4403｜黃豪杰(中國國民黨)-5259｜
新竹縣09,3966,3833,-133,-3.35,
新竹縣10,4459,4162,-297,-6.66,王辰翔(中國國民黨)-3944｜
苗栗縣01,40095,37752,-2343,-5.84,鄭碧玉(中國國民黨)-4715｜張志宇(無黨籍及未經政黨推薦)-4752｜孫素娥(無黨籍及未經政黨推薦)-5137｜禹耀東(無黨籍及未經政黨推薦)-5140｜許櫻萍(民主進步黨)-5486｜楊明燁(無黨籍及未經政黨推薦)-5826｜徐筱菁(民主進步黨)-5876｜
苗栗縣02,12883,11786,-1097,-8.52,黃芳椿(中國國民黨)-4657｜羅貴星(民主進步黨)-5112｜
苗栗縣03,15390,14807,-583,-3.79,周玉滿(無黨籍及未經政黨推薦)-5185｜翁杰(民主進步黨)-5933｜
苗栗縣04,29552,28375,-1177,-3.98,廖英利(無黨籍及未經政黨推薦)-4424｜陳碧華(無黨籍及未經政黨推薦)-4565｜葉忠倫(時代力量)-5677｜林寶珠(無黨籍及未經政黨推薦)-6095｜廖秀紅(無黨籍及未經政黨推薦)-6100｜
