zone,2020,2024,diff,rate,target
連江縣01,214,52,-162,-75.7,
連江縣02,44,16,-28,-63.64,
連江縣03,25,12,-13,-52,
連江縣04,28,17,-11,-39.29,
金門縣01,1711,428,-1283,-74.99,
金門縣02,789,210,-579,-73.38,
金門縣03,138,49,-89,-64.49,
宜蘭縣01,5287,1607,-3680,-69.6,
宜蘭縣02,1349,335,-1014,-75.17,
宜蘭縣03,1697,484,-1213,-71.48,
宜蘭縣04,1519,397,-1122,-73.86,
宜蘭縣05,1134,315,-819,-72.22,
宜蘭縣06,3710,993,-2717,-73.23,
宜蘭縣07,2272,590,-1682,-74.03,
宜蘭縣08,2870,723,-2147,-74.81,
宜蘭縣09,998,271,-727,-72.85,
宜蘭縣10,1823,428,-1395,-76.52,
新竹縣01,12746,6410,-6336,-49.71,蔡蕥鍹(民主進步黨)-3807｜
新竹縣02,3315,1223,-2092,-63.11,
新竹縣03,2653,943,-1710,-64.46,
新竹縣04,1017,271,-746,-73.35,
新竹縣05,1540,574,-966,-62.73,
新竹縣06,619,272,-347,-56.06,
新竹縣07,955,424,-531,-55.6,
新竹縣08,4987,2469,-2518,-50.49,
新竹縣09,875,344,-531,-60.69,
新竹縣10,564,256,-308,-54.61,
苗栗縣01,6678,2727,-3951,-59.16,
苗栗縣02,1653,588,-1065,-64.43,
苗栗縣03,3099,1263,-1836,-59.24,
苗栗縣04,7715,4564,-3151,-40.84,廖英利(無黨籍及未經政黨推薦)-4424｜
苗栗縣05,7400,2990,-4410,-59.59,蕭詠萱(無黨籍及未經政黨推薦)-2368｜
苗栗縣06,1309,421,-888,-67.84,
彰化縣01,15536,4708,-10828,-69.7,
彰化縣02,7845,2935,-4910,-62.59,
彰化縣03,6926,2009,-4917,-70.99,
彰化縣04,9455,2976,-6479,-68.52,
彰化縣05,5265,1500,-3765,-71.51,
彰化縣06,4129,1109,-3020,-73.14,
彰化縣07,4750,1346,-3404,-71.66,
彰化縣08,3546,994,-2552,-71.97,
南投縣01,5590,1539,-4051,-72.47,
南投縣02,4842,1317,-3525,-72.8,
南投縣03,1721,476,-1245,-72.34,
南投縣04,2478,628,-1850,-74.66,
南投縣05,3465,1045,-2420,-69.84,
雲林縣01,7346,1739,-5607,-76.33,
雲林縣02,3980,1146,-2834,-71.21,
雲林縣03,5551,1512,-4039,-72.76,
雲林縣04,3660,897,-2763,-75.49,
雲林縣05,3452,980,-2472,-71.61,
雲林縣06,3084,828,-2256,-73.15,
嘉義縣01,4457,1322,-3135,-70.34,
嘉義縣02,4990,1350,-3640,-72.95,
嘉義縣03,2786,717,-2069,-74.26,
嘉義縣04,3133,846,-2287,-73,
嘉義縣05,1361,344,-1017,-74.72,
嘉義縣06,5070,1161,-3909,-77.1,
屏東縣01,9343,2639,-6704,-71.75,
屏東縣02,5801,1579,-4222,-72.78,
屏東縣03,8578,2057,-6521,-76.02,
屏東縣04,6307,1533,-4774,-75.69,
屏東縣05,2673,621,-2052,-76.77,
屏東縣06,1661,427,-1234,-74.29,
屏東縣07,356,100,-256,-71.91,
臺東縣01,3487,1126,-2361,-67.71,
臺東縣02,440,112,-328,-74.55,
臺東縣03,546,192,-354,-64.84,
臺東縣04,591,193,-398,-67.34,
臺東縣05,401,156,-245,-61.1,
臺東縣06,100,47,-53,-53,
花蓮縣01,3843,1204,-2639,-68.67,
花蓮縣02,867,276,-591,-68.17,
花蓮縣03,4333,1346,-2987,-68.94,
花蓮縣04,1071,280,-791,-73.86,
澎湖縣01,2301,520,-1781,-77.4,
澎湖縣02,361,97,-264,-73.13,
澎湖縣03,168,40,-128,-76.19,
澎湖縣04,154,32,-122,-79.22,
澎湖縣05,84,23,-61,-72.62,
澎湖縣06,58,14,-44,-75.86,
基隆市01,2240,650,-1590,-70.98,
基隆市02,2798,756,-2042,-72.98,
基隆市03,1954,503,-1451,-74.26,
基隆市04,2275,583,-1692,-74.37,
基隆市05,4442,1256,-3186,-71.72,
基隆市06,1860,549,-1311,-70.48,
基隆市07,2580,687,-1893,-73.37,
新竹市01,11891,5197,-6694,-56.29,鍾淑英(中國國民黨)-3611｜
新竹市02,3446,1377,-2069,-60.04,
新竹市03,2078,695,-1383,-66.55,
新竹市04,7584,3054,-4530,-59.73,
新竹市05,4936,1889,-3047,-61.73,
嘉義市01,6335,1872,-4463,-70.45,
嘉義市02,7126,2318,-4808,-67.47,
臺北市01,26702,8385,-18317,-68.6,
臺北市02,22383,7082,-15301,-68.36,
臺北市03,21282,7067,-14215,-66.79,
臺北市04,17433,5818,-11615,-66.63,
臺北市05,15877,5150,-10727,-67.56,
臺北市06,28229,9741,-18488,-65.49,
高雄市01,3646,1027,-2619,-71.83,
高雄市02,5939,1592,-4347,-73.19,
高雄市03,9509,2852,-6657,-70.01,
高雄市04,17601,5499,-12102,-68.76,
高雄市05,9323,2715,-6608,-70.88,
高雄市06,8071,2541,-5530,-68.52,
高雄市07,16607,5132,-11475,-69.1,
高雄市08,11291,3607,-7684,-68.05,
高雄市09,17594,4844,-12750,-72.47,
高雄市10,16043,4459,-11584,-72.21,
高雄市11,8196,2151,-6045,-73.76,
新北市01,11405,3633,-7772,-68.15,
新北市02,35789,11683,-24106,-67.36,
新北市03,0,7156,7156,0,
新北市04,29858,9319,-20539,-68.79,
新北市05,28520,9311,-19209,-67.35,
新北市06,20156,6440,-13716,-68.05,
新北市07,10613,3515,-7098,-66.88,
新北市08,30131,9606,-20525,-68.12,
