zone,2020,2024,diff,rate,target
連江縣01,7,4,-3,-42.86,
連江縣02,2,8,6,300,
連江縣03,2,3,1,50,
連江縣04,0,0,0,0,
金門縣01,38,29,-9,-23.68,
金門縣02,37,32,-5,-13.51,
金門縣03,5,10,5,100,
宜蘭縣01,261,176,-85,-32.57,
宜蘭縣02,94,83,-11,-11.7,
宜蘭縣03,107,83,-24,-22.43,
宜蘭縣04,124,77,-47,-37.9,
宜蘭縣05,74,69,-5,-6.76,
宜蘭縣06,140,107,-33,-23.57,
宜蘭縣07,89,97,8,8.99,
宜蘭縣08,152,100,-52,-34.21,
宜蘭縣09,75,75,0,0,
宜蘭縣10,143,112,-31,-21.68,
新竹縣01,283,213,-70,-24.73,
新竹縣02,152,148,-4,-2.63,
新竹縣03,108,101,-7,-6.48,
新竹縣04,71,71,0,0,
新竹縣05,75,71,-4,-5.33,
新竹縣06,50,40,-10,-20,
新竹縣07,51,41,-10,-19.61,
新竹縣08,190,138,-52,-27.37,
新竹縣09,27,20,-7,-25.93,
新竹縣10,40,21,-19,-47.5,
苗栗縣01,247,238,-9,-3.64,
苗栗縣02,118,109,-9,-7.63,
苗栗縣03,247,242,-5,-2.02,
苗栗縣04,284,280,-4,-1.41,
苗栗縣05,241,217,-24,-9.96,
苗栗縣06,118,88,-30,-25.42,
彰化縣01,829,573,-256,-30.88,
彰化縣02,533,404,-129,-24.2,
彰化縣03,403,383,-20,-4.96,
彰化縣04,445,415,-30,-6.74,
彰化縣05,337,269,-68,-20.18,
彰化縣06,273,237,-36,-13.19,
彰化縣07,378,308,-70,-18.52,
彰化縣08,401,359,-42,-10.47,
南投縣01,346,288,-58,-16.76,
南投縣02,284,270,-14,-4.93,
南投縣03,219,173,-46,-21,
南投縣04,235,197,-38,-16.17,
南投縣05,292,285,-7,-2.4,
雲林縣01,405,365,-40,-9.88,
雲林縣02,332,301,-31,-9.34,
雲林縣03,702,383,-319,-45.44,
雲林縣04,386,290,-96,-24.87,
雲林縣05,354,270,-84,-23.73,
雲林縣06,292,243,-49,-16.78,
嘉義縣01,344,316,-28,-8.14,
嘉義縣02,561,364,-197,-35.12,
嘉義縣03,525,228,-297,-56.57,
嘉義縣04,411,296,-115,-27.98,
嘉義縣05,133,159,26,19.55,
嘉義縣06,334,323,-11,-3.29,
屏東縣01,447,355,-92,-20.58,
屏東縣02,550,372,-178,-32.36,
屏東縣03,507,505,-2,-0.39,
