zone,2020,2024,diff,rate,target
連江縣01,1,5,4,400,
連江縣02,1,0,-1,-100,
連江縣03,0,1,1,0,
連江縣04,0,0,0,0,
金門縣01,20,16,-4,-20,
金門縣02,10,15,5,50,
金門縣03,5,3,-2,-40,
宜蘭縣01,31,31,0,0,
宜蘭縣02,22,13,-9,-40.91,
宜蘭縣03,18,10,-8,-44.44,
宜蘭縣04,11,8,-3,-27.27,
宜蘭縣05,15,6,-9,-60,
宜蘭縣06,27,16,-11,-40.74,
宜蘭縣07,15,17,2,13.33,
宜蘭縣08,30,20,-10,-33.33,
宜蘭縣09,10,10,0,0,
宜蘭縣10,21,17,-4,-19.05,
新竹縣01,57,81,24,42.11,
新竹縣02,31,57,26,83.87,
新竹縣03,20,28,8,40,
新竹縣04,14,18,4,28.57,
新竹縣05,19,16,-3,-15.79,
新竹縣06,11,18,7,63.64,
新竹縣07,12,19,7,58.33,
新竹縣08,47,48,1,2.13,
新竹縣09,6,9,3,50,
新竹縣10,8,9,1,12.5,
苗栗縣01,73,49,-24,-32.88,
苗栗縣02,17,15,-2,-11.76,
苗栗縣03,42,32,-10,-23.81,
苗栗縣04,65,52,-13,-20,
苗栗縣05,66,63,-3,-4.55,
苗栗縣06,23,11,-12,-52.17,
彰化縣01,128,131,3,2.34,
彰化縣02,81,72,-9,-11.11,
彰化縣03,68,75,7,10.29,
彰化縣04,80,109,29,36.25,
彰化縣05,59,59,0,0,
彰化縣06,62,57,-5,-8.06,
彰化縣07,55,68,13,23.64,
彰化縣08,69,75,6,8.7,
南投縣01,68,73,5,7.35,
南投縣02,58,58,0,0,
南投縣03,29,26,-3,-10.34,
南投縣04,43,37,-6,-13.95,
南投縣05,91,41,-50,-54.95,
雲林縣01,67,70,3,4.48,
雲林縣02,63,48,-15,-23.81,
雲林縣03,70,98,28,40,
雲林縣04,64,38,-26,-40.63,
雲林縣05,71,55,-16,-22.54,
雲林縣06,62,37,-25,-40.32,
嘉義縣01,60,37,-23,-38.33,
嘉義縣02,91,58,-33,-36.26,
嘉義縣03,51,52,1,1.96,
嘉義縣04,51,49,-2,-3.92,
嘉義縣05,40,24,-16,-40,
嘉義縣06,64,72,8,12.5,
屏東縣01,72,68,-4,-5.56,
屏東縣02,102,59,-43,-42.16,
屏東縣03,116,82,-34,-29.31,
屏東縣04,56,69,13,23.21,
屏東縣05,31,25,-6,-19.35,
屏東縣06,17,28,11,64.71,
屏東縣07,6,3,-3,-50,
臺東縣01,55,28,-27,-49.09,
臺東縣02,9,8,-1,-11.11,
臺東縣03,19,14,-5,-26.32,
臺東縣04,15,21,6,40,
臺東縣05,11,8,-3,-27.27,
臺東縣06,0,3,3,0,
花蓮縣01,39,27,-12,-30.77,
花蓮縣02,14,17,3,21.43,
花蓮縣03,73,55,-18,-24.66,
花蓮縣04,50,27,-23,-46,
澎湖縣01,16,19,3,18.75,
澎湖縣02,10,13,3,30,
澎湖縣03,5,10,5,100,
澎湖縣04,5,1,-4,-80,
澎湖縣05,0,1,1,0,
澎湖縣06,4,1,-3,-75,
基隆市01,40,24,-16,-40,
基隆市02,23,17,-6,-26.09,
基隆市03,31,13,-18,-58.06,
基隆市04,27,22,-5,-18.52,
基隆市05,30,33,3,10,
基隆市06,14,13,-1,-7.14,
基隆市07,30,26,-4,-13.33,
新竹市01,59,36,-23,-38.98,
新竹市02,20,25,5,25,
新竹市03,14,11,-3,-21.43,
新竹市04,29,54,25,86.21,
新竹市05,38,47,9,23.68,
嘉義市01,80,50,-30,-37.5,
嘉義市02,89,55,-34,-38.2,
臺北市01,142,166,24,16.9,
臺北市02,104,129,25,24.04,
臺北市03,125,131,6,4.8,
臺北市04,96,122,26,27.08,
臺北市05,156,102,-54,-34.62,
臺北市06,248,202,-46,-18.55,
高雄市01,146,85,-61,-41.78,
高雄市02,125,66,-59,-47.2,
高雄市03,131,112,-19,-14.5,
高雄市04,117,106,-11,-9.4,
高雄市05,111,95,-16,-14.41,
高雄市06,78,67,-11,-14.1,
高雄市07,120,108,-12,-10,
高雄市08,138,91,-47,-34.06,
高雄市09,134,117,-17,-12.69,
高雄市10,206,138,-68,-33.01,
高雄市11,131,84,-47,-35.88,
新北市01,164,115,-49,-29.88,
新北市02,254,280,26,10.24,
新北市03,0,151,151,0,
新北市04,274,221,-53,-19.34,
新北市05,184,200,16,8.7,
新北市06,157,179,22,14.01,
新北市07,149,196,47,31.54,
新北市08,217,240,23,10.6,
新北市09,101,107,6,5.94,
新北市10,86,49,-37,-43.02,
新北市11,191,130,-61,-31.94,
臺中市01,61,62,1,1.64,
臺中市02,104,108,4,3.85,
臺中市03,87,79,-8,-9.2,
臺中市04,137,96,-41,-29.93,
臺中市05,109,113,4,3.67,
臺中市06,81,63,-18,-22.22,
臺中市07,55,51,-4,-7.27,
臺中市08,77,106,29,37.66,
臺中市09,37,38,1,2.7,
臺中市10,49,30,-19,-38.78,
臺中市11,67,64,-3,-4.48,
臺中市12,52,85,33,63.46,
臺中市13,128,121,-7,-5.47,
臺中市14,75,61,-14,-18.67,
臺南市01,216,228,12,5.56,
臺南市02,254,230,-24,-9.45,
臺南市03,188,133,-55,-29.26,
臺南市04,175,28,-147,-84,
臺南市05,414,139,-275,-66.43,
臺南市06,129,97,-32,-24.81,
臺南市07,304,173,-131,-43.09,
臺南市08,134,88,-46,-34.33,
臺南市09,111,84,-27,-24.32,
臺南市10,121,73,-48,-39.67,
臺南市11,184,114,-70,-38.04,
桃園市01,131,159,28,21.37,
桃園市02,69,79,10,14.49,
桃園市03,64,97,33,51.56,
桃園市04,71,82,11,15.49,
桃園市05,60,33,-27,-45,
桃園市06,53,43,-10,-18.87,
桃園市07,143,154,11,7.69,
桃園市08,75,106,31,41.33,
桃園市09,88,67,-21,-23.86,
桃園市10,39,65,26,66.67,
桃園市11,29,24,-5,-17.24,
桃園市12,53,42,-11,-20.75,
