zone,2020,2024,diff,rate,target
連江縣01,129,37,-92,-71.32,
連江縣02,34,6,-28,-82.35,
連江縣03,17,6,-11,-64.71,
連江縣04,21,8,-13,-61.9,
金門縣01,799,448,-351,-43.93,
金門縣02,476,191,-285,-59.87,
金門縣03,101,76,-25,-24.75,
宜蘭縣01,473,137,-336,-71.04,
宜蘭縣02,139,32,-107,-76.98,
宜蘭縣03,134,47,-87,-64.93,
宜蘭縣04,116,41,-75,-64.66,
宜蘭縣05,84,28,-56,-66.67,
宜蘭縣06,243,67,-176,-72.43,
宜蘭縣07,126,33,-93,-73.81,
宜蘭縣08,164,53,-111,-67.68,
宜蘭縣09,102,39,-63,-61.76,
宜蘭縣10,143,53,-90,-62.94,
新竹縣01,882,294,-588,-66.67,
新竹縣02,328,115,-213,-64.94,
新竹縣03,250,98,-152,-60.8,
新竹縣04,120,56,-64,-53.33,
新竹縣05,181,48,-133,-73.48,
新竹縣06,91,38,-53,-58.24,
新竹縣07,99,36,-63,-63.64,
新竹縣08,519,145,-374,-72.06,
新竹縣09,83,31,-52,-62.65,
新竹縣10,71,24,-47,-66.2,
苗栗縣01,727,160,-567,-77.99,
苗栗縣02,235,50,-185,-78.72,
苗栗縣03,231,94,-137,-59.31,
苗栗縣04,522,192,-330,-63.22,
苗栗縣05,592,191,-401,-67.74,
苗栗縣06,148,41,-107,-72.3,
彰化縣01,1243,443,-800,-64.36,
彰化縣02,482,198,-284,-58.92,
彰化縣03,406,174,-232,-57.14,
彰化縣04,617,242,-375,-60.78,
彰化縣05,307,109,-198,-64.5,
彰化縣06,272,120,-152,-55.88,
彰化縣07,331,129,-202,-61.03,
彰化縣08,313,112,-201,-64.22,
南投縣01,609,164,-445,-73.07,
南投縣02,495,155,-340,-68.69,
南投縣03,240,93,-147,-61.25,
南投縣04,232,75,-157,-67.67,
南投縣05,463,162,-301,-65.01,
雲林縣01,512,180,-332,-64.84,
雲林縣02,265,107,-158,-59.62,
雲林縣03,401,143,-258,-64.34,
雲林縣04,221,80,-141,-63.8,
雲林縣05,232,110,-122,-52.59,
雲林縣06,200,69,-131,-65.5,
嘉義縣01,283,102,-181,-63.96,
嘉義縣02,329,131,-198,-60.18,
嘉義縣03,171,64,-107,-62.57,
嘉義縣04,233,81,-152,-65.24,
嘉義縣05,95,42,-53,-55.79,
嘉義縣06,297,97,-200,-67.34,
屏東縣01,1074,199,-875,-81.47,
屏東縣02,454,159,-295,-64.98,
屏東縣03,563,181,-382,-67.85,
屏東縣04,372,120,-252,-67.74,
屏東縣05,181,54,-127,-70.17,
屏東縣06,172,72,-100,-58.14,
屏東縣07,33,13,-20,-60.61,
臺東縣01,506,125,-381,-75.3,
臺東縣02,76,36,-40,-52.63,
臺東縣03,94,40,-54,-57.45,
臺東縣04,91,30,-61,-67.03,
臺東縣05,65,19,-46,-70.77,
臺東縣06,11,1,-10,-90.91,
花蓮縣01,850,194,-656,-77.18,
花蓮縣02,140,70,-70,-50,
花蓮縣03,832,225,-607,-72.96,
花蓮縣04,211,62,-149,-70.62,
澎湖縣01,270,71,-199,-73.7,
澎湖縣02,50,19,-31,-62,
澎湖縣03,33,5,-28,-84.85,
澎湖縣04,23,5,-18,-78.26,
澎湖縣05,5,2,-3,-60,
澎湖縣06,3,1,-2,-66.67,
基隆市01,402,106,-296,-73.63,
基隆市02,549,127,-422,-76.87,
基隆市03,266,56,-210,-78.95,
基隆市04,309,83,-226,-73.14,
基隆市05,648,185,-463,-71.45,
基隆市06,336,87,-249,-74.11,
基隆市07,381,115,-266,-69.82,
新竹市01,1059,310,-749,-70.73,
新竹市02,263,86,-177,-67.3,
新竹市03,201,54,-147,-73.13,
新竹市04,621,165,-456,-73.43,
新竹市05,293,129,-164,-55.97,
嘉義市01,531,130,-401,-75.52,
嘉義市02,582,149,-433,-74.4,
臺北市01,5902,1317,-4585,-77.69,
臺北市02,4916,1093,-3823,-77.77,
臺北市03,6796,1229,-5567,-81.92,
臺北市04,3421,758,-2663,-77.84,
臺北市05,4365,948,-3417,-78.28,
臺北市06,10651,2091,-8560,-80.37,
高雄市01,408,124,-284,-69.61,
高雄市02,420,136,-284,-67.62,
高雄市03,1042,216,-826,-79.27,
高雄市04,2657,516,-2141,-80.58,
高雄市05,810,229,-581,-71.73,
高雄市06,1255,248,-1007,-80.24,
高雄市07,1651,362,-1289,-78.07,
高雄市08,1688,303,-1385,-82.05,
高雄市09,1754,367,-1387,-79.08,
高雄市10,1667,348,-1319,-79.12,
高雄市11,623,173,-450,-72.23,
新北市01,2373,589,-1784,-75.18,
新北市02,4354,1362,-2992,-68.72,
新北市03,0,738,738,0,
新北市04,2775,1007,-1768,-63.71,
新北市05,3817,1070,-2747,-71.97,
新北市06,4934,1194,-3740,-75.8,
新北市07,3402,735,-2667,-78.4,
新北市08,3736,1193,-2543,-68.07,
新北市09,6405,1510,-4895,-76.42,
新北市10,310,99,-211,-68.06,
新北市11,2237,652,-1585,-70.85,
臺中市01,363,151,-212,-58.4,
臺中市02,820,300,-520,-63.41,
臺中市03,824,292,-532,-64.56,
臺中市04,715,271,-444,-62.1,
臺中市05,952,320,-632,-66.39,
臺中市06,1434,378,-1056,-73.64,
臺中市07,844,223,-621,-73.58,
臺中市08,1656,456,-1200,-72.46,
臺中市09,1139,285,-854,-74.98,
臺中市10,804,194,-610,-75.87,
臺中市11,1052,310,-742,-70.53,
臺中市12,781,289,-492,-63,
臺中市13,1058,344,-714,-67.49,
臺中市14,435,130,-305,-70.11,
臺南市01,764,198,-566,-74.08,
臺南市02,408,133,-275,-67.4,
臺南市03,339,109,-230,-67.85,
臺南市04,109,38,-71,-65.14,
臺南市05,425,179,-246,-57.88,
臺南市06,423,197,-226,-53.43,
臺南市07,786,263,-523,-66.54,
臺南市08,850,204,-646,-76,
臺南市09,748,147,-601,-80.35,
臺南市10,952,206,-746,-78.36,
臺南市11,477,204,-273,-57.23,
桃園市01,2942,963,-1979,-67.27,
桃園市02,1060,390,-670,-63.21,
桃園市03,1291,385,-906,-70.18,
桃園市04,899,346,-553,-61.51,
桃園市05,360,135,-225,-62.5,
桃園市06,618,192,-426,-68.93,
桃園市07,3034,1122,-1912,-63.02,
桃園市08,1199,433,-766,-63.89,
桃園市09,849,323,-526,-61.96,
桃園市10,1003,300,-703,-70.09,
桃園市11,189,91,-98,-51.85,
桃園市12,220,134,-86,-39.09,
