行政區別,村里別,投開票所別,號次1,號次2,號次3,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
中山區,正守里,0001,239,264,3,506,3,509,0,509,952,1461,34.84%
中山區,正守里,0002,271,266,2,539,0,539,0,539,660,1199,44.95%
中山區,正義里,0003,247,283,4,534,0,534,0,534,924,1458,36.63%
中山區,正義里,0004,249,279,1,529,1,530,0,530,904,1434,36.96%
中山區,正義里,0005,241,226,6,473,0,473,0,473,878,1351,35.01%
中山區,正得里,0006,231,244,1,476,0,476,0,476,953,1429,33.31%
中山區,正得里,0007,240,254,3,497,1,498,0,498,1019,1517,32.83%
中山區,民安里,0008,269,206,1,476,1,477,0,477,707,1184,40.29%
中山區,民安里,0009,252,220,0,472,1,473,0,473,544,1017,46.51%
中山區,民安里,0010,278,243,3,524,3,527,0,527,796,1323,39.83%
中山區,康樂里,0011,196,207,1,404,3,407,0,407,591,998,40.78%
中山區,康樂里,0012,199,273,2,474,3,477,0,477,688,1165,40.94%
中山區,中山里,0013,158,204,5,367,0,367,0,367,781,1148,31.97%
中山區,中山里,0014,261,225,1,487,0,487,0,487,635,1122,43.40%
中山區,中山里,0015,183,186,2,371,0,371,0,371,701,1072,34.61%
中山區,中山里,0016,192,197,3,392,0,392,0,392,631,1023,38.32%
中山區,中山里,0017,286,239,6,531,0,531,0,531,689,1220,43.52%
中山區,聚盛里,0018,189,190,0,379,2,381,0,381,774,1155,32.99%
中山區,聚盛里,0019,193,221,3,417,3,420,0,420,683,1103,38.08%
中山區,聚盛里,0020,136,245,4,385,3,388,0,388,730,1118,34.70%
中山區,集英里,0021,226,182,3,411,3,414,0,414,589,1003,41.28%
中山區,集英里,0022,278,192,5,475,0,475,0,475,638,1113,42.68%
中山區,集英里,0023,236,200,2,438,3,441,0,441,739,1180,37.37%
中山區,集英里,0024,280,148,1,429,3,432,0,432,672,1104,39.13%
中山區,集英里,0025,243,195,4,442,1,443,0,443,671,1114,39.77%
中山區,聚葉里,0026,187,210,7,404,0,404,0,404,644,1048,38.55%
中山區,聚葉里,0027,262,199,1,462,3,465,0,465,628,1093,42.54%
中山區,聚葉里,0028,166,157,2,325,3,328,0,328,722,1050,31.24%
中山區,恆安里,0029,236,197,2,435,1,436,0,436,618,1054,41.37%
中山區,恆安里,0030,203,203,3,409,0,409,0,409,742,1151,35.53%
中山區,恆安里,0031,179,211,0,390,1,391,0,391,600,991,39.46%
中山區,恆安里,0032,126,153,2,281,0,281,0,281,595,876,32.08%
中山區,晴光里,0033,160,196,1,357,2,359,0,359,758,1117,32.14%
中山區,晴光里,0034,170,191,1,362,2,364,0,364,618,982,37.07%
中山區,晴光里,0035,223,220,3,446,0,446,0,446,703,1149,38.82%
中山區,晴光里,0036,206,208,2,416,1,417,0,417,742,1159,35.98%
中山區,圓山里,0037,218,205,1,424,2,426,0,426,606,1032,41.28%
中山區,圓山里,0038,277,209,2,488,3,491,0,491,698,1189,41.30%
中山區,圓山里,0039,221,184,1,406,2,408,0,408,690,1098,37.16%
中山區,新庄里,0040,278,291,0,569,2,571,0,571,779,1350,42.30%
中山區,新庄里,0041,363,258,2,623,1,624,0,624,773,1397,44.67%
中山區,新庄里,0042,322,227,3,552,3,555,0,555,665,1220,45.49%
中山區,劍潭里,0043,78,370,2,450,0,450,0,450,447,897,50.17%
中山區,劍潭里,0044,119,310,1,430,2,432,0,432,552,984,43.90%
中山區,劍潭里,0045,82,439,5,526,1,527,0,527,459,986,53.45%
中山區,大直里,0046,245,251,3,499,1,500,0,500,615,1115,44.84%
中山區,大直里,0047,215,263,0,478,0,478,0,478,602,1080,44.26%
中山區,大直里,0048,237,274,5,516,1,517,0,517,599,1116,46.33%
中山區,大直里,0049,224,356,1,581,1,582,0,582,650,1232,47.24%
中山區,大直里,0050,161,267,4,432,0,432,0,432,547,979,44.13%
中山區,大直里,0051,251,319,4,574,1,575,0,575,702,1277,45.03%
中山區,成功里,0052,274,288,1,563,4,567,0,567,722,1289,43.99%
中山區,成功里,0053,285,256,5,546,3,549,0,549,723,1272,43.16%
中山區,成功里,0054,217,261,0,478,2,480,0,480,746,1226,39.15%
中山區,成功里,0055,183,232,1,416,0,416,0,416,674,1090,38.17%
中山區,永安里,0056,200,282,1,483,3,486,0,486,676,1162,41.82%
中山區,永安里,0057,206,255,3,464,2,466,0,466,570,1036,44.98%
中山區,永安里,0058,314,302,4,620,1,621,0,621,643,1264,49.13%
中山區,永安里,0059,225,267,3,495,4,499,0,499,697,1196,41.72%
中山區,永安里,0060,260,340,0,600,0,600,0,600,697,1297,46.26%
中山區,永安里,0061,266,283,1,550,1,551,0,551,625,1176,46.85%
中山區,金泰里,0062,207,174,2,383,0,383,0,383,574,957,40.02%
中山區,金泰里,0063,196,285,0,481,2,483,0,483,735,1218,39.66%
中山區,金泰里,0064,180,230,2,412,2,414,0,414,755,1169,35.41%
中山區,金泰里,0065,264,274,0,538,1,539,0,539,813,1352,39.87%
中山區,金泰里,0066,235,288,1,524,4,528,0,528,782,1310,40.31%
中山區,北安里,0067,174,329,2,505,1,506,0,506,583,1089,46.46%
中山區,北安里,0068,173,219,6,398,2,400,0,400,523,923,43.34%
中山區,新喜里,0069,329,235,2,566,1,567,0,567,851,1418,39.99%
中山區,新喜里,0070,347,225,2,574,0,574,0,574,779,1353,42.42%
中山區,新喜里,0071,294,249,0,543,0,543,0,543,784,1327,40.92%
中山區,新福里,0072,439,220,1,660,2,662,0,662,744,1406,47.08%
中山區,新福里,0073,362,235,0,597,1,598,0,598,667,1265,47.27%
中山區,新福里,0074,346,236,4,586,2,588,0,588,801,1389,42.33%
中山區,松江里,0075,267,210,2,479,2,481,0,481,710,1191,40.39%
中山區,松江里,0076,343,284,1,628,1,629,0,629,703,1332,47.22%
中山區,松江里,0077,306,261,1,568,4,572,0,572,667,1239,46.17%
中山區,松江里,0078,267,241,1,509,1,510,0,510,678,1188,42.93%
中山區,新生里,0079,259,235,2,496,2,498,0,498,600,1098,45.36%
中山區,新生里,0080,320,222,1,543,0,543,0,543,716,1259,43.13%
中山區,新生里,0081,340,257,2,599,3,602,0,602,785,1387,43.40%
中山區,中庄里,0082,365,250,3,618,5,623,0,623,806,1429,43.60%
中山區,中庄里,0083,312,254,0,566,1,567,0,567,724,1291,43.92%
中山區,中庄里,0084,310,231,2,543,2,545,0,545,807,1352,40.31%
中山區,大佳里,0085,204,92,2,298,1,299,0,299,550,849,35.22%
中山區,行政里,0086,269,210,1,480,2,482,0,482,451,933,51.66%
中山區,行政里,0087,233,220,0,453,3,456,0,456,619,1075,42.42%
中山區,行政里,0088,281,253,5,539,1,540,0,540,643,1183,45.65%
中山區,行政里,0089,294,305,1,600,4,604,0,604,2390,2994,20.17%
中山區,行仁里,0090,318,277,2,597,0,597,0,597,642,1239,48.18%
中山區,行仁里,0091,378,281,7,666,6,672,0,672,801,1473,45.62%
中山區,行仁里,0092,282,245,2,529,2,531,0,531,660,1191,44.58%
中山區,行仁里,0093,284,245,2,531,1,532,0,532,678,1210,43.97%
中山區,行仁里,0094,297,251,6,554,3,557,0,557,722,1279,43.55%
中山區,行孝里,0095,330,262,3,595,1,596,0,596,756,1352,44.08%
中山區,行孝里,0096,203,158,0,361,1,362,0,362,667,1029,35.18%
中山區,行孝里,0097,287,216,3,506,1,507,0,507,656,1163,43.59%
中山區,下埤里,0098,274,259,2,535,0,535,0,535,701,1236,43.28%
中山區,下埤里,0099,307,260,4,571,2,573,0,573,583,1156,49.57%
中山區,下埤里,0100,273,243,4,520,2,522,0,522,688,1210,43.14%
中山區,下埤里,0101,325,265,0,590,1,591,0,591,635,1226,48.21%
中山區,下埤里,0102,325,207,4,536,0,536,0,536,685,1221,43.90%
中山區,江寧里,0103,338,348,3,689,1,690,0,690,795,1485,46.46%
中山區,江寧里,0104,331,339,3,673,3,676,0,676,767,1443,46.85%
中山區,行仁里,0105,265,243,6,514,0,514,0,514,639,1153,44.58%
中山區,行仁里,0106,285,315,2,602,1,603,0,603,744,1347,44.77%
中山區,江山里,0107,260,268,3,531,2,533,0,533,659,1192,44.71%
中山區,江山里,0108,296,220,1,517,2,519,0,519,689,1208,42.96%
中山區,江山里,0109,320,222,1,543,2,545,0,545,642,1187,45.91%
中山區,江山里,0110,327,239,5,571,3,574,0,574,579,1153,49.78%
中山區,江山里,0111,272,280,5,557,2,559,0,559,607,1166,47.94%
中山區,中吉里,0112,255,230,3,488,0,488,0,488,604,1092,44.69%
中山區,中吉里,0113,282,210,2,494,4,498,0,498,598,1096,45.44%
