行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
南投市,龍泉里,0001,247,168,0,4,419,2,421,0,421,447,868,48.50%
南投市,康壽里,0002,170,176,2,5,353,1,354,0,354,293,647,54.71%
南投市,康壽里,0003,164,158,4,2,328,0,328,0,328,320,648,50.62%
南投市,三民里,0004,187,197,1,2,387,1,388,0,388,398,786,49.36%
南投市,仁和里,0005,142,128,1,2,273,0,273,0,273,201,474,57.59%
南投市,南投里,0006,150,117,0,6,273,1,274,0,274,264,538,50.93%
南投市,彰仁里,0007,107,77,0,2,186,2,188,0,188,145,333,56.46%
南投市,崇文里,0008,220,190,2,8,420,0,420,0,420,455,875,48.00%
南投市,三興里,0009,171,226,4,10,411,4,415,0,415,587,1002,41.42%
南投市,三興里,0010,215,320,2,10,547,1,548,0,548,596,1144,47.90%
南投市,三興里,0011,260,265,3,10,538,3,541,0,541,573,1114,48.56%
南投市,三興里,0012,185,217,1,7,410,3,413,0,413,461,874,47.25%
南投市,三興里,0013,202,270,2,13,487,3,490,0,490,492,982,49.90%
南投市,三和里,0014,220,240,4,8,472,6,478,0,478,488,966,49.48%
南投市,三和里,0015,155,163,1,4,323,1,324,0,324,306,630,51.43%
南投市,三和里,0016,256,257,2,6,521,2,523,0,523,477,1000,52.30%
南投市,嘉興里,0017,323,171,7,16,517,5,522,0,522,549,1071,48.74%
南投市,嘉興里,0018,215,181,3,9,408,3,411,0,411,532,943,43.58%
南投市,嘉和里,0019,234,270,2,17,523,3,526,0,526,539,1065,49.39%
南投市,嘉和里,0020,186,204,3,9,402,3,405,0,405,524,929,43.60%
南投市,嘉和里,0021,281,182,2,17,482,2,484,0,484,597,1081,44.77%
南投市,嘉和里,0022,239,192,3,10,444,3,447,1,448,734,1182,37.82%
南投市,平和里,0023,215,219,1,5,440,1,441,0,441,610,1051,41.96%
南投市,平和里,0024,179,229,1,7,416,4,420,0,420,465,885,47.46%
南投市,平和里,0025,237,227,0,2,466,1,467,0,467,433,900,51.89%
南投市,平和里,0026,269,255,2,9,535,2,537,0,537,512,1049,51.19%
南投市,平和里,0027,197,251,1,0,449,3,452,0,452,411,863,52.38%
南投市,平和里,0028,221,197,4,7,429,0,429,0,429,644,1073,39.98%
南投市,振興里,0029,130,114,1,5,250,5,255,0,255,306,561,45.45%
南投市,振興里,0030,214,144,1,8,367,3,370,0,370,344,714,51.82%
南投市,振興里,0031,200,128,2,2,332,0,332,0,332,344,676,49.11%
南投市,千秋里,0032,213,219,2,13,447,7,454,0,454,518,972,46.71%
南投市,軍功里,0033,234,257,2,9,502,5,507,0,507,742,1249,40.59%
南投市,軍功里,0034,294,268,7,8,577,2,579,0,579,773,1352,42.83%
南投市,軍功里,0035,280,284,1,11,576,2,578,0,578,852,1430,40.42%
南投市,東山里,0036,96,71,0,1,168,2,170,0,170,174,344,49.42%
南投市,營南里,0037,245,296,4,10,555,1,556,0,556,535,1091,50.96%
南投市,營南里,0038,270,352,4,9,635,2,637,0,637,596,1233,51.66%
南投市,營北里,0039,218,316,1,7,542,2,544,0,544,401,945,57.57%
南投市,營北里,0040,162,289,3,5,459,0,459,0,459,389,848,54.13%
南投市,營北里,0041,153,356,5,4,518,3,521,0,521,501,1022,50.98%
南投市,營北里,0042,159,359,2,6,526,3,529,0,529,494,1023,51.71%
南投市,營北里,0043,167,350,3,8,528,1,529,0,529,497,1026,51.56%
南投市,營北里,0044,146,263,2,2,413,1,414,0,414,349,763,54.26%
南投市,內興里,0045,178,159,1,2,340,5,345,0,345,281,626,55.11%
南投市,內興里,0046,139,254,2,1,396,0,396,0,396,541,937,42.26%
南投市,內興里,0047,189,300,0,13,502,2,504,0,504,675,1179,42.75%
南投市,內興里,0048,168,290,3,10,471,5,476,0,476,638,1114,42.73%
南投市,內興里,0049,207,289,1,4,501,2,503,0,503,592,1095,45.94%
南投市,內新里,0050,299,216,1,5,521,2,523,0,523,522,1045,50.05%
南投市,內新里,0051,261,241,1,6,509,2,511,0,511,574,1085,47.10%
南投市,內新里,0052,234,276,2,3,515,1,516,0,516,532,1048,49.24%
南投市,光輝里,0053,81,161,3,2,247,0,247,0,247,221,468,52.78%
南投市,光榮里,0054,81,391,3,2,477,0,477,0,477,423,900,53.00%
南投市,光明里,0055,67,346,0,1,414,3,417,0,417,365,782,53.32%
南投市,光華里,0056,58,270,2,5,335,0,335,0,335,302,637,52.59%
南投市,漳興里,0057,354,274,6,12,646,4,650,0,650,638,1288,50.47%
南投市,漳興里,0058,297,265,3,6,571,0,571,0,571,623,1194,47.82%
南投市,漳和里,0059,273,317,4,8,602,3,605,0,605,757,1362,44.42%
南投市,漳和里,0060,204,235,0,8,447,1,448,0,448,527,975,45.95%
南投市,漳和里,0061,269,286,4,10,569,0,569,0,569,678,1247,45.63%
南投市,漳和里,0062,231,283,3,5,522,3,525,0,525,610,1135,46.26%
南投市,漳和里,0063,215,212,3,6,436,1,437,0,437,537,974,44.87%
南投市,漳和里,0064,274,267,1,9,551,6,557,0,557,530,1087,51.24%
南投市,平山里,0065,224,225,4,3,456,3,459,0,459,519,978,46.93%
南投市,平山里,0066,210,197,2,8,417,3,420,0,420,539,959,43.80%
南投市,平山里,0067,230,222,0,8,460,4,464,0,464,569,1033,44.92%
南投市,平山里,0068,221,226,3,9,459,1,460,0,460,585,1045,44.02%
南投市,平山里,0069,192,230,1,4,427,2,429,0,429,714,1143,37.53%
南投市,新興里,0070,256,211,0,16,483,0,483,0,483,564,1047,46.13%
南投市,新興里,0071,249,219,3,11,482,3,485,0,485,694,1179,41.14%
南投市,新興里,0072,222,185,3,9,419,6,425,0,425,802,1227,34.64%
南投市,新興里,0073,307,288,3,13,611,3,614,0,614,776,1390,44.17%
南投市,永豐里,0074,177,171,6,1,355,6,361,0,361,441,802,45.01%
南投市,永豐里,0075,224,153,2,2,381,0,381,0,381,597,978,38.96%
南投市,永豐里,0076,203,187,3,5,398,0,398,0,398,522,920,43.26%
南投市,福興里,0077,214,162,1,3,380,4,384,0,384,586,970,39.59%
南投市,福興里,0078,206,225,2,10,443,3,446,0,446,491,937,47.60%
南投市,福興里,0079,222,187,3,5,417,2,419,0,419,534,953,43.97%
南投市,鳳山里,0080,257,145,4,8,414,2,416,0,416,580,996,41.77%
南投市,永興里,0081,186,162,6,15,369,2,371,0,371,369,740,50.14%
南投市,鳳鳴里,0082,169,69,0,2,240,2,242,0,242,334,576,42.01%
南投市,福山里,0083,190,193,0,14,397,6,403,0,403,554,957,42.11%
南投市,福山里,0084,134,214,3,17,368,1,369,0,369,476,845,43.67%
竹山鎮,竹山里,0085,293,251,1,6,551,3,554,0,554,545,1099,50.41%
竹山鎮,竹山里,0086,208,142,3,6,359,0,359,0,359,405,764,46.99%
竹山鎮,中正里,0087,135,133,1,4,273,2,275,0,275,294,569,48.33%
竹山鎮,中山里,0088,244,151,1,1,397,3,400,0,400,426,826,48.43%
竹山鎮,中山里,0089,261,189,2,6,458,0,458,0,458,640,1098,41.71%
