行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,號次5,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
大同區,玉泉里,001,0,146,10,147,32,335,1,336,0,336,869,"1,205",27.88%
大同區,玉泉里,002,1,172,6,195,50,424,0,424,0,424,886,"1,310",32.37%
大同區,建明里,003,1,150,3,158,33,345,1,346,0,346,"1,086","1,432",24.16%
大同區,建明里,004,2,174,1,178,75,430,4,434,0,434,"1,029","1,463",29.67%
大同區,建功里,005,1,220,2,139,51,413,4,417,0,417,911,"1,328",31.40%
大同區,建功里,006,0,163,3,161,41,368,0,368,0,368,"1,009","1,377",26.72%
大同區,建功里,007,1,144,2,152,37,336,0,336,0,336,963,"1,299",25.87%
大同區,建泰里,008,0,124,3,99,26,252,2,254,0,254,786,"1,040",24.42%
大同區,建泰里,009,0,137,1,127,30,295,4,299,0,299,748,"1,047",28.56%
大同區,建泰里,010,0,159,3,91,31,284,1,285,0,285,718,"1,003",28.41%
大同區,永樂里,011,0,110,3,165,41,319,2,321,0,321,892,"1,213",26.46%
大同區,永樂里,012,0,147,4,119,45,315,3,318,0,318,824,"1,142",27.85%
大同區,永樂里,013,1,121,2,119,44,287,0,287,0,287,762,"1,049",27.36%
大同區,永樂里,014,0,148,4,153,32,337,1,338,0,338,811,"1,149",29.42%
大同區,朝陽里,015,0,159,1,146,63,369,2,371,0,371,945,"1,316",28.19%
大同區,朝陽里,016,1,116,2,193,48,360,3,363,1,364,867,"1,231",29.49%
大同區,朝陽里,017,1,210,2,157,50,420,2,422,0,422,826,"1,248",33.81%
大同區,星明里,018,0,118,8,167,32,325,1,326,0,326,914,"1,240",26.29%
大同區,星明里,019,0,132,4,125,36,297,0,297,0,297,887,"1,184",25.08%
大同區,星明里,020,1,127,8,171,39,346,2,348,1,349,878,"1,227",28.36%
大同區,星明里,021,0,139,4,182,39,364,1,365,0,365,924,"1,289",28.32%
大同區,光能里,022,0,235,7,167,63,472,1,473,0,473,"1,005","1,478",32.00%
大同區,光能里,023,0,200,3,203,39,445,1,446,0,446,972,"1,418",31.45%
大同區,光能里,024,1,172,3,176,37,389,0,389,0,389,851,"1,240",31.37%
大同區,大有里,025,0,195,1,199,43,438,2,440,0,440,914,"1,354",32.50%
大同區,大有里,026,0,185,5,179,69,438,1,439,0,439,939,"1,378",31.86%
大同區,大有里,027,0,190,1,187,37,415,1,416,0,416,925,"1,341",31.02%
大同區,延平里,028,0,176,4,165,39,384,4,388,0,388,850,"1,238",31.34%
大同區,延平里,029,0,118,4,166,41,329,1,330,0,330,748,"1,078",30.61%
大同區,延平里,030,1,149,2,177,43,372,2,374,0,374,897,"1,271",29.43%
大同區,雙連里,031,1,149,2,109,19,280,3,283,0,283,707,990,28.59%
大同區,雙連里,032,0,120,0,127,38,285,0,285,0,285,709,994,28.67%
大同區,雙連里,033,0,135,1,149,27,312,4,316,0,316,799,"1,115",28.34%
大同區,雙連里,034,1,145,3,103,21,273,1,274,0,274,800,"1,074",25.51%
大同區,雙連里,035,0,146,1,158,36,341,1,342,0,342,831,"1,173",29.16%
大同區,雙連里,036,0,120,3,110,27,260,1,261,0,261,793,"1,054",24.76%
大同區,雙連里,037,0,228,4,176,50,458,4,462,0,462,798,"1,260",36.67%
大同區,南芳里,038,3,135,3,184,29,354,0,354,0,354,781,"1,135",31.19%
大同區,南芳里,039,0,121,5,162,45,333,0,333,0,333,763,"1,096",30.38%
大同區,南芳里,040,0,187,3,153,46,389,5,394,0,394,764,"1,158",34.02%
大同區,民權里,041,0,170,4,159,36,369,3,372,0,372,996,"1,368",27.19%
大同區,民權里,042,2,169,5,207,35,418,2,420,0,420,833,"1,253",33.52%
大同區,民權里,043,0,165,4,231,54,454,2,456,0,456,891,"1,347",33.85%
大同區,民權里,044,0,116,1,163,30,310,1,311,0,311,895,"1,206",25.79%
大同區,景星里,045,0,191,2,158,26,377,4,381,0,381,815,"1,196",31.86%
大同區,景星里,046,0,154,1,136,24,315,1,316,0,316,808,"1,124",28.11%
大同區,隆和里,047,0,220,8,159,44,431,3,434,0,434,884,"1,318",32.93%
大同區,隆和里,048,1,228,3,165,43,440,1,441,0,441,862,"1,303",33.84%
大同區,蓬萊里,049,1,186,1,187,59,434,2,436,0,436,"1,018","1,454",29.99%
大同區,蓬萊里,050,0,165,1,151,39,356,0,356,0,356,993,"1,349",26.39%
大同區,蓬萊里,051,1,197,1,168,74,441,0,441,0,441,972,"1,413",31.21%
大同區,國順里,052,0,192,2,143,53,390,2,392,0,392,779,"1,171",33.48%
大同區,國順里,053,0,203,2,149,42,396,1,397,0,397,816,"1,213",32.73%
大同區,國慶里,054,0,185,3,158,45,391,4,395,0,395,813,"1,208",32.70%
大同區,國慶里,055,0,149,5,166,36,356,1,357,0,357,884,"1,241",28.77%
大同區,國慶里,056,0,153,1,179,36,369,1,370,0,370,944,"1,314",28.16%
大同區,揚雅里,057,0,237,5,219,97,558,3,561,0,561,906,"1,467",38.24%
大同區,揚雅里,058,1,217,2,245,56,521,2,523,0,523,"1,900","2,423",21.58%
大同區,斯文里,059,0,122,0,101,24,247,1,248,0,248,793,"1,041",23.82%
大同區,斯文里,060,0,134,4,110,29,277,1,278,0,278,795,"1,073",25.91%
大同區,斯文里,061,1,221,5,224,56,507,1,508,0,508,782,"1,290",39.38%
大同區,斯文里,062,0,121,2,86,19,228,0,228,0,228,598,826,27.60%
大同區,鄰江里,063,0,245,3,166,44,458,4,462,0,462,912,"1,374",33.62%
大同區,鄰江里,064,0,214,4,191,49,458,3,461,0,461,858,"1,319",34.95%
大同區,鄰江里,065,1,234,3,195,56,489,1,490,0,490,"1,006","1,496",32.75%
大同區,鄰江里,066,1,228,4,224,77,534,6,540,0,540,915,"1,455",37.11%
大同區,至聖里,067,2,174,6,154,59,395,0,395,0,395,"1,049","1,444",27.35%
大同區,至聖里,068,0,182,6,183,45,416,1,417,0,417,935,"1,352",30.84%
大同區,至聖里,069,0,197,0,200,52,449,1,450,0,450,966,"1,416",31.78%
大同區,至聖里,070,0,156,2,195,52,405,2,407,0,407,848,"1,255",32.43%
大同區,至聖里,071,1,194,1,174,40,410,2,412,0,412,987,"1,399",29.45%
大同區,老師里,072,1,190,3,144,41,379,1,380,0,380,958,"1,338",28.40%
大同區,老師里,073,0,193,4,117,45,359,1,360,0,360,980,"1,340",26.87%
大同區,老師里,074,0,193,1,145,50,389,2,391,0,391,796,"1,187",32.94%
大同區,老師里,075,1,178,3,157,60,399,1,400,0,400,774,"1,174",34.07%
大同區,重慶里,076,0,187,1,161,28,377,2,379,0,379,933,"1,312",28.89%
大同區,重慶里,077,0,160,7,205,46,418,0,418,0,418,953,"1,371",30.49%
大同區,重慶里,078,0,161,1,218,66,446,0,446,0,446,946,"1,392",32.04%
大同區,重慶里,079,1,157,6,219,68,451,2,453,0,453,915,"1,368",33.11%
大同區,保安里,080,1,185,4,138,34,362,0,362,0,362,762,"1,124",32.21%
大同區,保安里,081,0,201,2,176,42,421,1,422,0,422,785,"1,207",34.96%
大同區,保安里,082,1,219,2,135,57,414,1,415,0,415,773,"1,188",34.93%
士林區,仁勇里,083,2,221,11,156,81,471,2,473,0,473,"1,173","1,646",28.74%
士林區,仁勇里,084,0,236,8,189,88,521,1,522,0,522,"1,132","1,654",31.56%
士林區,義信里,085,0,131,5,158,36,330,1,331,0,331,892,"1,223",27.06%
士林區,義信里,086,0,138,6,193,51,388,0,388,0,388,"1,117","1,505",25.78%
士林區,福林里,087,0,51,5,113,31,200,2,202,0,202,415,617,32.74%
士林區,福林里,088,0,82,1,102,31,216,0,216,0,216,636,852,25.35%
士林區,福林里,089,1,168,5,161,50,385,1,386,0,386,724,"1,110",34.77%
