行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,號次5,號次6,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
金城鎮,東門里,0001,62,99,38,4,1,117,321,1,322,0,322,"1,030","1,352",23.82%
金城鎮,東門里,0002,91,108,48,9,6,167,429,3,432,0,432,"1,306","1,738",24.86%
金城鎮,東門里,0003,89,90,28,9,2,126,344,3,347,0,347,"1,331","1,678",20.68%
金城鎮,南門里,0004,84,93,25,5,6,131,344,1,345,0,345,"1,481","1,826",18.89%
金城鎮,南門里,0005,65,90,23,8,5,102,293,1,294,0,294,"1,325","1,619",18.16%
金城鎮,南門里,0006,126,103,34,9,1,178,451,2,453,0,453,"1,379","1,832",24.73%
金城鎮,西門里,0007,69,81,33,3,1,102,289,2,291,0,291,"1,254","1,545",18.83%
金城鎮,西門里,0008,72,88,46,6,6,108,326,1,327,0,327,"1,286","1,613",20.27%
金城鎮,西門里,0009,74,72,40,5,9,120,320,2,322,0,322,"1,210","1,532",21.02%
金城鎮,西門里,0010,85,121,48,8,3,121,386,0,386,0,386,"1,244","1,630",23.68%
金城鎮,西門里,0011,90,99,34,6,4,130,363,5,368,0,368,"1,286","1,654",22.25%
金城鎮,西門里,0012,85,79,45,9,4,162,384,1,385,0,385,"1,087","1,472",26.15%
金城鎮,北門里,0013,119,99,56,11,3,115,403,2,405,0,405,"1,580","1,985",20.40%
金城鎮,北門里,0014,76,107,60,9,4,91,347,5,352,0,352,"1,592","1,944",18.11%
金城鎮,賢庵里,0015,56,77,36,49,7,71,296,1,297,0,297,"1,174","1,471",20.19%
金城鎮,賢庵里,0016,42,98,31,8,5,90,274,2,276,0,276,"1,086","1,362",20.26%
金城鎮,賢庵里,0017,65,87,32,18,3,90,295,1,296,0,296,"1,331","1,627",18.19%
金城鎮,金水里,0018,106,95,114,12,10,107,444,7,451,0,451,"1,627","2,078",21.70%
金城鎮,古城里,0019,35,69,27,8,2,93,234,0,234,0,234,998,"1,232",18.99%
金城鎮,古城里,0020,41,71,21,5,1,72,211,1,212,0,212,952,"1,164",18.21%
金城鎮,古城里,0021,87,73,56,4,4,65,289,3,292,0,292,"1,033","1,325",22.04%
金城鎮,珠沙里,0022,75,42,37,3,2,78,237,0,237,0,237,"1,305","1,542",15.37%
金城鎮,珠沙里,0023,74,83,28,7,1,77,270,0,270,0,270,945,"1,215",22.22%
金寧鄉,古寧村,0024,79,93,31,4,5,105,317,3,320,0,320,"1,383","1,703",18.79%
金寧鄉,古寧村,0025,64,89,35,3,2,75,268,1,269,0,269,"1,235","1,504",17.89%
金寧鄉,安美村,0026,44,106,63,6,3,88,310,3,313,0,313,"1,398","1,711",18.29%
金寧鄉,安美村,0027,30,100,32,3,0,67,232,3,235,0,235,748,983,23.91%
金寧鄉,安美村,0028,78,142,51,4,1,152,428,6,434,0,434,"1,223","1,657",26.19%
金寧鄉,湖埔村,0029,102,83,37,3,3,78,306,1,307,0,307,"1,335","1,642",18.70%
金寧鄉,湖埔村,0030,47,68,38,16,1,71,241,1,242,0,242,"1,354","1,596",15.16%
金寧鄉,湖埔村,0031,84,133,61,5,2,113,398,3,401,0,401,"1,385","1,786",22.45%
金寧鄉,湖埔村,0032,78,79,35,4,4,143,343,1,344,0,344,"1,311","1,655",20.79%
金寧鄉,榜林村,0033,60,192,16,9,3,69,349,4,353,0,353,"1,410","1,763",20.02%
