行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,號次5,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
北斗鎮,中寮里,0001,4,85,138,235,6,468,5,473,0,473,425,898,52.67%
北斗鎮,中寮里,0002,2,78,209,202,2,493,4,497,0,497,399,896,55.47%
北斗鎮,中寮里,0003,7,78,125,200,4,414,6,420,0,420,427,847,49.59%
北斗鎮,大道里,0004,12,120,215,180,3,530,3,533,0,533,550,1083,49.22%
北斗鎮,大道里,0005,8,106,137,167,1,419,7,426,0,426,388,814,52.33%
北斗鎮,西德里,0006,11,111,151,225,3,501,3,504,0,504,555,1059,47.59%
北斗鎮,西德里,0007,10,71,158,260,6,505,1,506,0,506,536,1042,48.56%
北斗鎮,西德里,0008,23,137,150,260,3,573,6,579,0,579,574,1153,50.22%
北斗鎮,西德里,0009,20,120,145,205,4,494,7,501,0,501,645,1146,43.72%
北斗鎮,西安里,0010,13,55,119,144,1,332,3,335,0,335,435,770,43.51%
北斗鎮,西安里,0011,6,78,122,203,3,412,7,419,0,419,503,922,45.44%
北斗鎮,光復里,0012,7,92,88,213,6,406,3,409,0,409,366,775,52.77%
北斗鎮,光復里,0013,13,73,158,204,5,453,3,456,0,456,490,946,48.20%
北斗鎮,新政里,0014,9,85,102,143,8,347,2,349,0,349,395,744,46.91%
北斗鎮,重慶里,0015,11,61,108,87,1,268,4,272,0,272,238,510,53.33%
北斗鎮,五權里,0016,15,79,82,130,2,308,2,310,0,310,315,625,49.60%
北斗鎮,七星里,0017,5,85,98,128,2,318,2,320,0,320,312,632,50.63%
北斗鎮,七星里,0018,21,91,126,87,2,327,6,333,0,333,393,726,45.87%
北斗鎮,居仁里,0019,11,57,98,127,2,295,3,298,0,298,291,589,50.59%
北斗鎮,居仁里,0020,5,63,113,166,0,347,4,351,0,351,268,619,56.70%
北斗鎮,東光里,0021,9,132,142,209,1,493,7,500,0,500,616,1116,44.80%
北斗鎮,東光里,0022,12,109,174,168,3,466,4,470,0,470,638,1108,42.42%
北斗鎮,文昌里,0023,5,92,147,226,1,471,10,481,0,481,482,963,49.95%
北斗鎮,文昌里,0024,7,74,150,243,7,481,6,487,0,487,575,1062,45.86%
北斗鎮,文昌里,0025,13,93,119,196,2,423,1,424,0,424,643,1067,39.74%
北斗鎮,中和里,0026,2,91,210,277,4,584,5,589,0,589,666,1255,46.93%
北斗鎮,新生里,0027,7,77,182,220,2,488,4,492,0,492,562,1054,46.68%
北斗鎮,新生里,0028,5,33,188,194,0,420,5,425,0,425,502,927,45.85%
北斗鎮,大新里,0029,3,37,133,197,1,371,2,373,0,373,447,820,45.49%
北斗鎮,大新里,0030,11,60,179,201,5,456,2,458,0,458,479,937,48.88%
