area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num
新北市烏來區,1,周守信,無黨籍及未經政黨推薦,m,0460922,57,新北市,專科,N,N,554
新北市烏來區,2,高富貫,無黨籍及未經政黨推薦,m,0310813,72,新北市,大學,N,Y,1700
新北市烏來區,3,林啟明,無黨籍及未經政黨推薦,m,0510519,52,新北市,專科,N,N,267
新北市烏來區,4,張德勝,無黨籍及未經政黨推薦,m,0480330,55,新北市,專科,N,N,322
新北市烏來區,5,蔡馬新,無黨籍及未經政黨推薦,m,0401120,63,新北市,高中,N,N,932
桃園市復興區,1,陽國榮,無黨籍及未經政黨推薦,m,0650820,38,臺灣省,高中,N,N,338
桃園市復興區,2,曾志湘,中國國民黨,m,0460415,57,臺灣省,專科,N,N,1886
桃園市復興區,3,陳子瀅,中國國民黨,f,0571005,46,臺灣省,碩士,N,N,1132
桃園市復興區,4,范振興,無黨籍及未經政黨推薦,m,0440326,59,臺灣省,高中,N,Y,2856
臺中市和平區,1,吳萬福,中國國民黨,m,0471121,56,台中市,高中,N,N,2317
臺中市和平區,2,林建堂,中國國民黨,m,0430922,60,台中市,高中,N,Y,2566
臺中市和平區,3,陳文書,中國國民黨,m,0451125,58,臺灣省,高中,N,N,1966
高雄市桃源區,1,張德政,台灣第一民族黨,m,0610910,42,高雄市,專科,N,N,411
高雄市桃源區,2,謝英雄,中國國民黨,m,0470827,56,高雄市,專科,N,Y,1200
高雄市桃源區,3,高豫,無黨籍及未經政黨推薦,m,0490806,54,高雄市,大學,N,N,1000
高雄市那瑪夏區,1,"白樣‧伊斯理鍛 Payan‧Islituan",無黨籍及未經政黨推薦,m,0501105,53,高雄市,碩士,N,N,891
高雄市那瑪夏區,2,"徐出世 Dahu‧Istanda",台灣第一民族黨,m,0640531,39,高雄市,大學,N,Y,1081
高雄市茂林區,1,謝進財,中國國民黨,m,0480726,55,高雄市,高中,N,N,410
高雄市茂林區,2,施貴成,無黨籍及未經政黨推薦,m,0431025,60,高雄市,專科,N,N,369
高雄市茂林區,3,"宋能正 Angopaw．Komola",中國國民黨,m,0461019,57,高雄市,專科,N,Y,516
