area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num,prv_code,city_code,area_code,dept_code,li_code
臺北市,1,陳汝斌,三等國民公義人權自救黨,m,0260902,77,台中市,高中,N,N,1624,63,000,01,000,0000
臺北市,2,趙衍慶,無黨籍及未經政黨推薦,m,0251007,78,其他,其他,N,N,15898,63,000,01,000,0000
臺北市,3,李宏信,無黨籍及未經政黨推薦,m,0291119,74,台北市,博士,N,N,2621,63,000,01,000,0000
臺北市,4,陳永昌,無黨籍及未經政黨推薦,m,0410503,62,臺灣省,其他,N,N,1908,63,000,01,000,0000
臺北市,5,馮光遠,無黨籍及未經政黨推薦,m,0420923,61,台北市,碩士,N,N,8080,63,000,01,000,0000
臺北市,6,連勝文,中國國民黨,m,0590203,44,台北市,博士,N,N,609932,63,000,01,000,0000
臺北市,7,柯文哲,無黨籍及未經政黨推薦,m,0480806,55,臺灣省,博士,N,Y,853983,63,000,01,000,0000
新北市,1,游錫堃,民主進步黨,m,0370425,66,臺灣省,大學,N,N,934774,65,000,01,000,0000
新北市,2,李進順,無黨籍及未經政黨推薦,m,0490415,54,新北市,專科,N,N,22207,65,000,01,000,0000
新北市,3,朱立倫,中國國民黨,m,0500607,53,臺灣省,博士,Y,Y,959302,65,000,01,000,0000
桃園市,1,鄭文燦,民主進步黨,m,0560706,47,臺灣省,碩士,N,Y,492414,68,000,01,000,0000
桃園市,2,吳志揚,中國國民黨,m,0580208,45,臺灣省,碩士,N,N,463133,68,000,01,000,0000
桃園市,3,許睿智,無黨籍及未經政黨推薦,m,0270120,76,臺灣省,高中,N,N,9943,68,000,01,000,0000
臺中市,1,胡志強,中國國民黨,m,0370515,66,其他,博士,Y,N,637531,66,000,01,000,0000
臺中市,2,林佳龍,民主進步黨,m,0530213,50,台北市,博士,N,Y,847284,66,000,01,000,0000
臺南市,1,賴清德,民主進步黨,m,0481006,55,新北市,碩士,Y,Y,711557,67,000,01,000,0000
臺南市,2,黃秀霜,中國國民黨,f,0500220,53,臺灣省,博士,N,N,264536,67,000,01,000,0000
高雄市,1,周可盛,無黨籍及未經政黨推薦,m,0460804,57,高雄市,大學,N,N,14925,64,000,01,000,0000
高雄市,2,陳菊,民主進步黨,f,0390610,64,臺灣省,碩士,Y,Y,993300,64,000,01,000,0000
高雄市,3,楊秋興,中國國民黨,m,0450515,58,高雄市,碩士,N,N,450647,64,000,01,000,0000
