area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num
新竹縣第01選區,1,楊敬賜,中國國民黨,m,0420525,61,臺灣省,碩士,N,Y,6442
新竹縣第01選區,2,林群森,無黨籍及未經政黨推薦,m,0600313,43,台北市,大學,N,N,821
新竹縣第01選區,3,陳見賢,中國國民黨,m,0491212,53,臺灣省,專科,Y,Y,7812
新竹縣第01選區,4,杜文中,中國國民黨,m,0560505,47,臺灣省,碩士,N,N,3186
新竹縣第01選區,5,林為洲,中國國民黨,m,0500725,53,臺灣省,大學,Y,Y,5636
新竹縣第01選區,6,蘇明輝,無黨籍及未經政黨推薦,m,0420425,61,臺灣省,高中,Y,Y,3910
新竹縣第01選區,7,郭鴻德,民主進步黨,m,0520529,51,臺灣省,碩士,N,N,3637
新竹縣第01選區,8,葉芬英,民主進步黨,f,0520730,51,臺灣省,高中,Y,Y,4421
新竹縣第01選區,9,傅文忠,中國國民黨,m,0610902,42,台北市,高中,N,N,850
新竹縣第01選區,10,蔡志環,中國國民黨,f,0480801,55,臺灣省,碩士,N,N,3366
新竹縣第01選區,11,鄭美琴,無黨籍及未經政黨推薦,f,0430401,60,臺灣省,高中,Y,Y,3733
新竹縣第01選區,12,高偉凱,勞動黨,m,0601230,42,台北市,碩士,Y,Y,5827
新竹縣第01選區,13,邱靖雅,無黨籍及未經政黨推薦,f,0611212,41,新北市,碩士,N,Y,11560
新竹縣第01選區,14,陳凱榮,中國國民黨,m,0511224,51,臺灣省,大學,N,Y,4198
新竹縣第01選區,15,林保光,中國國民黨,m,0501010,53,臺灣省,大學,Y,Y,4280
新竹縣第02選區,1,吳菊花,中國國民黨,f,0491011,54,臺灣省,其他,Y,Y,6815
新竹縣第02選區,2,甄克堅,中國國民黨,m,0591018,44,臺灣省,碩士,N,N,4982
新竹縣第02選區,3,吳淑君,中國國民黨,f,0601207,42,臺灣省,其他,Y,Y,7537
新竹縣第02選區,4,黃永傳,中國國民黨,m,0341123,69,臺灣省,高中,Y,Y,6746
新竹縣第02選區,5,陳栢維,無黨籍及未經政黨推薦,m,0540908,49,臺灣省,碩士,Y,Y,7242
新竹縣第02選區,6,張春鳳,無黨籍及未經政黨推薦,f,0430223,60,高雄市,高中,N,Y,5387
新竹縣第03選區,1,鄭清漢,中國國民黨,m,0480221,55,臺灣省,高中,Y,Y,4980
新竹縣第03選區,2,羅春蘭,無黨籍及未經政黨推薦,f,0510201,52,臺灣省,高中,N,N,2185
新竹縣第03選區,3,黃金樓,中國國民黨,m,0540831,49,臺灣省,大學,Y,N,4314
新竹縣第03選區,4,張鎮榮,中國國民黨,m,0411230,61,臺灣省,高中,N,Y,7061
新竹縣第03選區,5,吳寀璇,民主進步黨,f,0500305,53,臺灣省,高中,Y,N,1826
新竹縣第03選區,6,吳傳地,民主進步黨,m,0530516,50,臺灣省,大學,N,Y,6804
新竹縣第03選區,7,陳林金玉,無黨籍及未經政黨推薦,f,0470912,56,臺灣省,大學,N,N,1506
新竹縣第04選區,1,陳玉蟾,無黨籍及未經政黨推薦,f,0470425,56,臺灣省,大學,N,N,1633
新竹縣第04選區,2,劉良彬,中國國民黨,m,0491105,54,臺灣省,大學,Y,Y,5948
新竹縣第04選區,3,嚴永秋,無黨籍及未經政黨推薦,m,0381006,65,臺灣省,高中,Y,Y,6401
新竹縣第04選區,4,羅吉燾,無黨籍及未經政黨推薦,m,0361215,66,臺灣省,高中,N,N,4091
新竹縣第05選區,1,楊連湧,無黨籍及未經政黨推薦,m,0331128,70,臺灣省,其他,N,N,3765
