area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num,prv_code,city_code,area_code,dept_code,li_code
新竹縣,1,葉芳棟,無黨籍及未經政黨推薦,m,0581101,45,台北市,專科,N,N,15699,10,004,01,000,0000
新竹縣,2,邱鏡淳,中國國民黨,m,0381208,64,臺灣省,碩士,Y,Y,124309,10,004,01,000,0000
新竹縣,3,鄭永金,無黨籍及未經政黨推薦,m,0381008,65,臺灣省,碩士,N,N,118698,10,004,01,000,0000
新竹縣,4,莊作兵,無黨籍及未經政黨推薦,m,0220615,81,臺灣省,高中,N,N,6115,10,004,01,000,0000
苗栗縣,1,徐耀昌,中國國民黨,m,0440630,59,臺灣省,碩士,N,Y,147547,10,005,01,000,0000
苗栗縣,2,康世儒,無黨籍及未經政黨推薦,m,0530116,50,臺灣省,專科,N,N,60356,10,005,01,000,0000
苗栗縣,3,江明修,無黨籍及未經政黨推薦,m,0480322,55,臺灣省,博士,N,N,14978,10,005,01,000,0000
苗栗縣,4,陳淑芬,無黨籍及未經政黨推薦,f,0491102,54,臺灣省,大學,N,N,2137,10,005,01,000,0000
苗栗縣,5,曾國良,無黨籍及未經政黨推薦,m,0511025,52,臺灣省,碩士,N,N,1807,10,005,01,000,0000
苗栗縣,6,吳宜臻,民主進步黨,f,0590423,44,新北市,碩士,N,N,89838,10,005,01,000,0000
彰化縣,1,黃文玲,無黨籍及未經政黨推薦,f,0580811,45,台北市,碩士,N,N,37593,10,007,01,000,0000
彰化縣,2,洪敏雄,無黨籍及未經政黨推薦,m,0501019,53,臺灣省,碩士,N,N,10674,10,007,01,000,0000
彰化縣,3,魏明谷,民主進步黨,m,0520318,51,臺灣省,碩士,N,Y,386405,10,007,01,000,0000
彰化縣,4,林滄敏,中國國民黨,m,0470101,56,臺灣省,碩士,N,N,284738,10,007,01,000,0000
南投縣,1,李文忠,民主進步黨,m,0470620,56,臺灣省,高中,N,N,143719,10,008,01,000,0000
南投縣,2,林明溱,中國國民黨,m,0400213,63,臺灣省,碩士,N,Y,149361,10,008,01,000,0000
雲林縣,1,張麗善,中國國民黨,f,0530101,50,臺灣省,碩士,N,N,175862,10,009,01,000,0000
雲林縣,2,李進勇,民主進步黨,m,0400801,63,臺灣省,碩士,N,Y,232900,10,009,01,000,0000
嘉義縣,1,黃宏成台灣阿成世界偉人,無黨籍及未經政黨推薦,m,0570320,46,臺灣省,大學,N,N,8639,10,010,01,000,0000
嘉義縣,2,張花冠,民主進步黨,f,0430707,60,臺灣省,碩士,Y,Y,193399,10,010,01,000,0000
嘉義縣,3,翁重鈞,中國國民黨,m,0440531,59,臺灣省,碩士,N,N,104488,10,010,01,000,0000
屏東縣,1,簡太郎,中國國民黨,m,0360215,67,臺灣省,大學,N,N,182027,10,013,01,000,0000
屏東縣,2,潘孟安,民主進步黨,m,0520815,51,臺灣省,碩士,N,Y,308953,10,013,01,000,0000
宜蘭縣,1,林聰賢,民主進步黨,m,0510222,52,臺灣省,碩士,Y,Y,160253,10,002,01,000,0000
宜蘭縣,2,邱淑媞,中國國民黨,f,0511017,52,台南市,博士,N,N,90320,10,002,01,000,0000
花蓮縣,1,傅崐萁,無黨籍及未經政黨推薦,m,0510508,52,台中市,碩士,Y,Y,89048,10,015,01,000,0000
花蓮縣,2,徐榛蔚,無黨籍及未經政黨推薦,f,0571012,46,臺灣省,大學,N,N,5436,10,015,01,000,0000
花蓮縣,3,黄師鵬,無黨籍及未經政黨推薦,m,0460718,57,臺灣省,大學,N,N,2369,10,015,01,000,0000
花蓮縣,4,柯賜海,無黨籍及未經政黨推薦,m,0450304,58,台南市,其他,N,N,14954,10,015,01,000,0000
花蓮縣,5,朱國華,無黨籍及未經政黨推薦,m,0480617,55,臺灣省,專科,N,N,2218,10,015,01,000,0000
花蓮縣,6,蔡啟塔,中國國民黨,m,0471009,56,臺灣省,其他,N,N,43504,10,015,01,000,0000
臺東縣,1,劉櫂豪,民主進步黨,m,0560202,47,臺灣省,大學,N,N,53860,10,014,01,000,0000
臺東縣,2,黃健庭,中國國民黨,m,0481106,55,臺灣省,碩士,Y,Y,64272,10,014,01,000,0000
澎湖縣,1,陳光復,民主進步黨,m,0441025,59,臺灣省,高中,N,Y,29164,10,016,01,000,0000
澎湖縣,2,蘇崑雄,中國國民黨,m,0450407,58,臺灣省,碩士,N,N,23533,10,016,01,000,0000
基隆市,1,謝立功,中國國民黨,m,0500510,53,台北市,博士,N,N,52198,10,017,01,000,0000
基隆市,2,黃景泰,無黨籍及未經政黨推薦,m,0541105,49,臺灣省,碩士,N,N,30914,10,017,01,000,0000
基隆市,3,林右昌,民主進步黨,m,0600310,43,臺灣省,碩士,N,Y,101010,10,017,01,000,0000
基隆市,4,何燕堂,人民民主陣線,m,0541113,49,臺灣省,大學,N,N,1376,10,017,01,000,0000
基隆市,5,吳武明,無黨籍及未經政黨推薦,m,0460613,57,台北市,博士,N,N,2023,10,017,01,000,0000
基隆市,6,江鑒育,無黨籍及未經政黨推薦,m,0490311,54,其他,專科,N,N,2517,10,017,01,000,0000
