area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num
新竹縣竹北市,1,何淦銘,無黨籍及未經政黨推薦,m,0480711,55,臺灣省,大學,N,Y,48331
新竹縣竹北市,2,張碧琴,中國國民黨,f,0541210,48,臺灣省,碩士,N,N,21104
新竹縣竹東鎮,1,徐兆璋,中國國民黨,m,0431128,60,臺灣省,高中,Y,Y,39807
新竹縣新埔鎮,1,陳英樓,中國國民黨,m,0450908,58,臺灣省,大學,N,N,8409
新竹縣新埔鎮,2,林保祿,無黨籍及未經政黨推薦,m,0460302,57,臺灣省,大學,N,Y,11570
新竹縣關西鎮,1,陳耀湘,中國國民黨,m,0351201,67,臺灣省,高中,N,N,8333
新竹縣關西鎮,2,曾錦祥,無黨籍及未經政黨推薦,m,0410809,62,臺灣省,專科,N,N,779
新竹縣關西鎮,3,吳發仁,無黨籍及未經政黨推薦,m,0450105,58,臺灣省,高中,Y,Y,9241
新竹縣湖口鄉,1,林志華,中國國民黨,m,0540317,49,新北市,碩士,N,Y,25559
新竹縣湖口鄉,2,陳基曜,無黨籍及未經政黨推薦,m,0571009,46,臺灣省,大學,N,N,4555
新竹縣湖口鄉,3,羅世洞,無黨籍及未經政黨推薦,m,0340515,69,臺灣省,其他,N,N,8126
新竹縣新豐鄉,1,徐茂淦,中國國民黨,m,0441113,59,臺灣省,專科,Y,Y,24402
新竹縣芎林鄉,1,莊雲嬌,中國國民黨,f,0301101,73,臺灣省,其他,Y,Y,6461
新竹縣芎林鄉,2,劉展原,無黨籍及未經政黨推薦,m,0470104,56,臺灣省,碩士,N,N,5457
新竹縣橫山鄉,1,古榮耀,中國國民黨,m,0410102,62,臺灣省,碩士,Y,Y,7336
新竹縣北埔鄉,1,陳慶德,無黨籍及未經政黨推薦,m,0461108,57,臺灣省,其他,N,N,1340
新竹縣北埔鄉,2,姜良明,民主進步黨,m,0430102,60,臺灣省,專科,N,Y,2504
新竹縣北埔鄉,3,涂春海,中國國民黨,m,0430701,60,臺灣省,其他,Y,N,2324
新竹縣寶山鄉,1,邱坤桶,中國國民黨,m,0500210,53,臺灣省,大學,N,Y,4541
新竹縣寶山鄉,2,范玉燕,無黨籍及未經政黨推薦,f,0451226,57,臺灣省,專科,Y,N,3947
新竹縣峨眉鄉,1,江寧增,中國國民黨,m,0510326,52,臺灣省,專科,Y,Y,2945
新竹縣峨眉鄉,2,郭光熙,無黨籍及未經政黨推薦,m,0360405,67,臺灣省,高中,N,N,1183
新竹縣尖石鄉,1,雲天寶,中國國民黨,m,0430402,60,臺灣省,專科,Y,Y,2833
新竹縣尖石鄉,2,曾國大,中國國民黨,m,0580705,45,臺灣省,碩士,N,N,2389
新竹縣尖石鄉,3,邱文生,無黨籍及未經政黨推薦,m,0390226,64,臺灣省,專科,N,N,80
新竹縣五峰鄉,1,葛忠義,中國國民黨,m,0471222,55,臺灣省,高中,N,N,955
新竹縣五峰鄉,2,秋振昌,無黨籍及未經政黨推薦,m,0421023,61,臺灣省,其他,N,Y,1171
新竹縣五峰鄉,3,羅俊敏,無黨籍及未經政黨推薦,m,0490415,54,臺灣省,高中,N,N,330
新竹縣五峰鄉,4,陳世文,無黨籍及未經政黨推薦,m,0410918,62,臺灣省,大學,N,N,695
苗栗縣苗栗市,1,邱其煌,無黨籍及未經政黨推薦,m,0380829,65,臺灣省,專科,N,N,12192
苗栗縣苗栗市,2,邱炳坤,無黨籍及未經政黨推薦,m,0390530,64,臺灣省,專科,Y,Y,33690
苗栗縣公館鄉,1,賴源順,無黨籍及未經政黨推薦,m,0421119,61,臺灣省,專科,N,N,7338
苗栗縣公館鄉,2,曾美露,中國國民黨,f,0440113,59,臺灣省,高中,N,Y,12543
苗栗縣頭屋鄉,1,江村貴,中國國民黨,m,0520705,51,臺灣省,大學,Y,Y,3768
苗栗縣頭屋鄉,2,楊謝國,無黨籍及未經政黨推薦,m,0470816,56,臺灣省,高中,N,N,3702
苗栗縣銅鑼鄉,1,謝其全,中國國民黨,m,0420910,61,臺灣省,專科,Y,Y,6276
苗栗縣銅鑼鄉,2,謝昌年,無黨籍及未經政黨推薦,m,0550102,48,臺灣省,大學,N,N,4801
苗栗縣三義鄉,1,鄭淑如,無黨籍及未經政黨推薦,f,0531205,49,臺灣省,大學,N,N,4623
苗栗縣三義鄉,2,徐文達,中國國民黨,m,0470410,56,臺灣省,專科,Y,Y,5719
苗栗縣西湖鄉,1,李文林,中國國民黨,m,0381226,64,臺灣省,其他,Y,N,2567
苗栗縣西湖鄉,2,古木賢,無黨籍及未經政黨推薦,m,0460802,57,臺灣省,高中,N,Y,2669
苗栗縣通霄鎮,1,徐永煌,無黨籍及未經政黨推薦,m,0590502,44,臺灣省,碩士,Y,Y,12289
苗栗縣通霄鎮,2,巫恒昭,無黨籍及未經政黨推薦,m,0520219,51,臺灣省,專科,N,N,9367
苗栗縣苑裡鎮,1,張顧礫,無黨籍及未經政黨推薦,m,0600127,43,臺灣省,大學,N,N,9706
苗栗縣苑裡鎮,2,杜文卿,無黨籍及未經政黨推薦,m,0431030,60,臺灣省,大學,Y,Y,17783
