party_code,party_name
1,中國國民黨
15,勞動黨
16,民主進步黨
74,新黨
79,綠黨
90,親民黨
95,台灣團結聯盟
106,無黨團結聯盟
113,中華統一促進黨
203,共和黨
250,中國國家社會主義勞工黨
267,時代力量
269,社會民主黨
290,台灣君民黨
303,台灣基進
306,台灣動物保護黨
315,臺灣人民共產黨
316,中國和平統一黨
338,左翼聯盟
350,台灣民眾黨
356,台灣維新
357,小民參政歐巴桑聯盟
368,金色力量黨
370,台灣新住民黨
371,前進黨
375,正神名黨
999,無黨籍及未經政黨推薦
