村里,總統票總數,柯文哲,賴清德,侯友宜
高雄市左營區福山里,24790,6609,10235,7946
臺中市北屯區廍子里,13487,5528,4235,3724
新北市林口區南勢里,17496,5116,6149,6231
新北市林口區湖南里,16568,4865,5544,6159
高雄市左營區菜公里,19961,4794,8817,6350
新北市淡水區崁頂里,14494,4496,4666,5332
高雄市鼓山區龍水里,17681,4115,7883,5683
高雄市楠梓區清豐里,15499,3950,7534,4015
高雄市左營區新上里,17856,3884,8336,5636
新竹縣竹北市東平里,9788,3792,3397,2599
高雄市仁武區八卦里,13740,3709,6354,3677
桃園市龜山區樂善里,8763,3608,2966,2189
臺中市北屯區舊社里,9368,3531,3180,2657
新竹縣竹東鎮二重里,8628,3452,2184,2992
高雄市三民區鼎泰里,14780,3299,6585,4896
新竹縣竹北市鹿場里,8676,3284,2760,2632
新竹市東區龍山里,7472,3188,2398,1886
臺中市南區樹義里,8978,3109,3179,2690
臺中市南屯區文山里,8366,3103,2923,2340
臺中市北屯區水景里,10077,3016,3795,3266
臺中市西屯區永安里,8898,2996,3014,2888
臺中市西屯區惠來里,11030,2937,4100,3993
臺中市北屯區軍功里,9347,2835,3630,2882
新北市新莊區中原里,8982,2810,3530,2642
臺中市豐原區北陽里,9624,2805,3817,3002
高雄市楠梓區翠屏里,10579,2795,4123,3661
臺中市大里區瑞城里,8464,2741,3187,2536
新竹縣竹北市竹北里,6417,2735,1731,1951
高雄市鼓山區明誠里,11373,2729,4621,4023
臺中市北屯區和平里,8578,2727,3242,2609
新北市蘆洲區正義里,8851,2708,3607,2536
高雄市鳳山區過埤里,10052,2698,4612,2742
新竹縣竹北市東興里,6220,2698,1978,1544
新竹市東區埔頂里,5723,2696,1776,1251
臺中市烏日區九德里,9177,2682,3586,2909
桃園市中壢區青埔里,7007,2670,2475,1862
臺中市潭子區東寶里,8720,2616,3383,2721
新北市五股區成泰里,7655,2592,2893,2170
新北市板橋區溪福里,8679,2585,3260,2834
新北市新莊區西盛里,8129,2533,3277,2319
高雄市鼓山區龍子里,11174,2531,5062,3581
新北市三峽區龍學里,9387,2526,3048,3813
新北市樹林區南園里,9182,2518,3144,3520
臺中市大里區永隆里,7624,2508,2742,2374
臺中市清水區南社里,7516,2486,2879,2151
臺中市太平區新高里,6568,2477,2178,1913
新竹縣竹北市中興里,6789,2465,2257,2067
臺中市潭子區福仁里,7602,2385,2635,2582
臺中市大里區東湖里,7427,2380,2794,2253
新竹縣竹北市北興里,5164,2380,1622,1162
桃園市中壢區過嶺里,6362,2369,2283,1710
桃園市龜山區文青里,6959,2359,2365,2235
臺中市潭子區潭陽里,7705,2344,2952,2409
臺中市南屯區豐樂里,8661,2330,3481,2850
臺中市豐原區南陽里,7717,2313,2915,2489
新竹縣竹東鎮上舘里,6380,2312,1324,2744
新北市新莊區立廷里,7657,2311,2890,2456
新竹縣竹北市竹仁里,6402,2310,1722,2370
桃園市楊梅區楊明里,5822,2306,1626,1890
新北市新店區公崙里,8544,2302,2540,3702
臺中市北屯區仁美里,7105,2288,2532,2285
臺中市大里區新里里,7234,2269,2784,2181
高雄市左營區新下里,9794,2258,4133,3403
臺中市大雅區員林里,6904,2247,2597,2060
新竹縣竹北市斗崙里,5599,2225,1683,1691
臺中市潭子區甘蔗里,6848,2197,2393,2258
臺中市北屯區后庄里,7346,2186,2276,2884
臺中市豐原區社皮里,7073,2168,2660,2245
新北市新莊區雙鳳里,7137,2164,2677,2296
