村里,總統票總數,柯文哲,賴清德,侯友宜,立委票總數,小民參政歐巴桑聯盟,台灣綠黨,臺灣雙語無法黨,台灣基進,中華統一促進黨,民主進步黨,制度救世島,時代力量,中國國民黨,司法改革黨,新黨,台灣民眾黨,台灣維新,親民黨,人民最大黨,台灣團結聯盟
桃園市八德區瑞豐里,3939,1551,1173,1215,3881,42,42,12,14,3,1055,2,95,1273,11,13,1285,1,15,6,12
桃園市八德區大宏里,3652,1257,1172,1223,3624,40,42,9,19,7,998,2,118,1268,2,8,1059,6,28,3,15
桃園市八德區福元里,3026,1079,990,957,3002,38,17,7,13,4,872,0,87,998,12,8,919,4,11,6,6
桃園市八德區福德里,1988,713,648,627,1967,24,25,3,15,0,566,1,33,635,7,7,634,3,7,1,6
桃園市八德區興中里,3100,1187,934,979,3068,44,24,14,15,3,870,1,96,1018,10,4,945,1,13,2,8
桃園市龍潭區祥和里,1205,445,392,368,1191,13,17,2,6,0,349,0,23,399,2,7,363,2,3,0,5
桃園市平鎮區湧安里,3218,1159,967,1092,3167,26,33,12,15,7,881,3,78,1147,14,5,908,2,21,4,11
桃園市平鎮區金星里,4900,1822,1496,1582,4844,53,45,15,16,2,1327,2,122,1656,22,24,1521,4,25,4,6
桃園市平鎮區平安里,3864,1328,1306,1230,3821,34,29,12,15,2,1196,1,85,1290,8,10,1113,3,13,1,9
桃園市平鎮區平南里,5063,1831,1581,1651,4998,60,33,7,21,9,1432,6,132,1728,17,10,1503,5,29,0,6
桃園市觀音區樹林里,2986,1069,1057,860,2921,21,37,12,17,7,992,5,50,912,10,16,796,4,17,7,18
臺中市西屯區上石里,3660,1255,1232,1173,3637,38,36,11,20,3,1062,5,109,1242,11,6,1055,2,25,1,11
臺中市南屯區春安里,1879,915,506,458,1850,14,6,10,9,3,450,2,85,530,2,4,718,0,13,1,3
臺中市南屯區文山里,8366,3103,2923,2340,8320,84,68,40,41,5,2588,3,289,2473,12,16,2616,5,56,2,22
臺中市北屯區舊社里,9368,3531,3180,2657,9282,107,63,40,75,5,2729,21,312,2835,22,12,2992,3,46,2,18
臺中市北屯區廍子里,13487,5528,4235,3724,13375,180,101,79,76,10,3654,14,479,4063,33,28,4548,10,72,9,19
臺中市北屯區四民里,1671,597,590,484,1655,13,10,4,7,1,550,4,50,515,4,3,488,0,4,1,1
臺中市大甲區義和里,2326,804,799,723,2296,19,16,11,22,1,733,3,68,760,6,0,632,1,14,2,8
臺中市沙鹿區福興里,2982,1009,991,982,2917,28,10,14,16,4,906,5,74,1013,8,12,794,1,17,5,10
臺中市沙鹿區南勢里,2566,904,867,795,2498,24,26,14,14,6,733,6,59,842,10,8,732,2,11,2,9
臺中市沙鹿區埔子里,4653,1638,1505,1510,4579,48,36,14,28,4,1327,4,117,1586,12,13,1347,2,25,3,13
臺中市沙鹿區三鹿里,5577,2037,1767,1773,5439,69,35,23,34,6,1534,6,131,1838,20,22,1655,3,42,6,15
臺中市外埔區大東里,4508,1549,1470,1489,4422,37,30,21,29,4,1332,3,69,1633,18,6,1191,5,25,5,14
臺中市外埔區中山里,881,297,293,291,859,11,5,1,9,2,260,1,14,299,4,1,239,0,7,3,3
臺中市烏日區三和里,5703,2068,1943,1692,5631,63,54,27,47,3,1671,8,207,1776,14,9,1711,1,23,3,14
臺中市烏日區榮泉里,4809,1701,1635,1473,4743,56,34,33,33,1,1377,7,170,1516,23,5,1446,2,28,3,9
