選區,總票數,選舉人數,第一高票,得票,政黨,第二高票,得票,政黨
臺北市第01選區,194738,267166,吳思瑤,91958,民主進步黨,張斯綱,71837,中國國民黨
臺北市第02選區,184373,254827,王世堅,111605,民主進步黨,游淑慧,69754,中國國民黨
臺北市第03選區,200027,277328,王鴻薇,105050,中國國民黨,謝佩芬,89850,民主進步黨
臺北市第04選區,236669,318085,李彥秀,112743,中國國民黨,高嘉瑜,95241,民主進步黨
臺北市第05選區,168140,233914,吳沛憶,66932,民主進步黨,鍾小平,57634,中國國民黨
臺北市第06選區,166106,233123,羅智強,87973,中國國民黨,苗博雅,74375,社會民主黨
臺北市第07選區,170509,234816,徐巧芯,89727,中國國民黨,許淑華,76113,民主進步黨
臺北市第08選區,183518,248318,賴士葆,87099,中國國民黨,王閔生,59490,民主進步黨
新北市第01選區,270120,387634,洪孟楷,158596,中國國民黨,何博文,106454,民主進步黨
新北市第02選區,207782,297867,林淑芬,118544,民主進步黨,李有宜,84393,台灣民眾黨
新北市第03選區,187868,265754,李坤城,100141,民主進步黨,蔡明堂,79828,中國國民黨
新北市第04選區,214659,301391,吳秉叡,107772,民主進步黨,蔣欣璋,89121,中國國民黨
新北市第05選區,182010,257063,蘇巧慧,98586,民主進步黨,洪佳君,83424,中國國民黨
新北市第06選區,160949,222016,張宏陸,78847,民主進步黨,林國春,74652,中國國民黨
新北市第07選區,169454,233122,葉元之,78134,中國國民黨,羅致政,75841,民主進步黨
新北市第08選區,210330,287651,張智倫,89808,中國國民黨,吳崢,77763,民主進步黨
新北市第09選區,170218,238299,林德福,98260,中國國民黨,莊銘淵,50613,民主進步黨
新北市第10選區,204511,290715,吳琪銘,103437,民主進步黨,林金結,95147,中國國民黨
新北市第11選區,207826,296636,羅明才,123399,中國國民黨,曾柏瑜,76237,民主進步黨
新北市第12選區,181947,265111,廖先翔,92489,中國國民黨,賴品妤,81937,民主進步黨
桃園市第01選區,240637,339558,牛煦庭,116571,中國國民黨,鄭運鵬,103466,民主進步黨
桃園市第02選區,215204,308717,涂權吉,103697,中國國民黨,黃世杰,102468,民主進步黨
桃園市第03選區,217896,301213,魯明哲,102056,中國國民黨,彭俊豪,95581,民主進步黨
桃園市第04選區,215332,302323,萬美玲,119430,中國國民黨,范綱祥,83183,民主進步黨
桃園市第05選區,203665,280634,呂玉玲,89372,中國國民黨,劉仁照,69022,民主進步黨
桃園市第06選區,199144,282216,邱若華,81513,中國國民黨,趙正宇,76346,無黨籍及未經政黨推薦
臺中市第01選區,160945,223459,蔡其昌,79884,民主進步黨,蔡壁如,72634,台灣民眾黨
臺中市第02選區,223676,302779,顏寬恒,118962,中國國民黨,林靜儀,96151,民主進步黨
臺中市第03選區,190802,260251,楊瓊瓔,106306,中國國民黨,謝子涵,80128,民主進步黨
臺中市第04選區,239367,329203,廖偉翔,119740,中國國民黨,張廖萬堅,113350,民主進步黨
臺中市第05選區,261316,363225,黃健豪,134706,中國國民黨,莊競程,107357,民主進步黨
臺中市第06選區,198899,273367,羅廷瑋,103630,中國國民黨,江肇國,88674,民主進步黨
臺中市第07選區,233695,329666,何欣純,132235,民主進步黨,林家興,95549,中國國民黨
臺中市第08選區,153193,210595,江啟臣,88651,中國國民黨,謝志忠,64542,民主進步黨
臺南市第01選區,160415,245226,賴惠員,96662,民主進步黨,周宏昌,49045,中國國民黨
臺南市第02選區,178370,254767,郭國文,97981,民主進步黨,陳昆和,76614,無黨籍及未經政黨推薦
臺南市第03選區,188725,270260,陳亭妃,132377,民主進步黨,姚正玉,56348,中國國民黨
臺南市第04選區,182127,259650,林宜瑾,104688,民主進步黨,李全教,67357,無黨籍及未經政黨推薦
臺南市第05選區,164943,265687,林俊憲,126248,民主進步黨,蕭燐洪,38695,臺灣雙語無法黨
臺南市第06選區,190238,260372,王定宇,89235,民主進步黨,陳以信,64018,中國國民黨
高雄市第01選區,145551,217467,邱議瑩,79567,民主進步黨,林義迪,42219,無黨籍及未經政黨推薦
高雄市第02選區,186160,263401,邱志偉,117992,民主進步黨,曹桓榮,68168,中國國民黨
高雄市第03選區,220514,314457,李柏毅,108184,民主進步黨,李眉蓁,101513,中國國民黨
高雄市第04選區,185262,270354,林岱樺,121001,民主進步黨,陳若翠,64261,中國國民黨
高雄市第05選區,215009,302097,李昆澤,108735,民主進步黨,黃柏霖,90046,中國國民黨
高雄市第06選區,222853,313653,黃捷,113670,民主進步黨,陳美雅,93750,中國國民黨
高雄市第07選區,207958,293502,許智傑,109484,民主進步黨,鍾易仲,89355,中國國民黨
高雄市第08選區,209629,302464,賴瑞隆,121064,民主進步黨,李明璇,82602,中國國民黨
宜蘭縣第01選區,255529,365227,陳俊宇,107308,民主進步黨,黃琤婷,86120,中國國民黨
新竹縣第01選區,151963,215267,徐欣瑩,84959,中國國民黨,詹紀緹,45445,民主進步黨
新竹縣第02選區,170912,232865,林思銘,76608,中國國民黨,王婉諭,63566,時代力量
苗栗縣第01選區,139879,205858,陳超明,79521,無黨籍及未經政黨推薦,康世明,60358,民主進步黨
苗栗縣第02選區,161860,231863,邱鎮軍,89111,中國國民黨,曾玟學,72749,無黨籍及未經政黨推薦
彰化縣第01選區,180388,254642,陳秀寳,98437,民主進步黨,阮厚爵,76448,中國國民黨
彰化縣第02選區,172091,239682,黃秀芳,90688,民主進步黨,楊曜聰,81403,中國國民黨
彰化縣第03選區,181745,267187,謝衣鳯,97681,中國國民黨,吳音寧,78473,民主進步黨
彰化縣第04選區,187662,264830,陳素月,97608,民主進步黨,鄭俊雄,83214,中國國民黨
南投縣第01選區,129761,186220,馬文君,68890,中國國民黨,蔡銘軒,50886,民主進步黨
南投縣第02選區,140586,198325,游顥,70012,中國國民黨,蔡培慧,66551,民主進步黨
雲林縣第01選區,177395,275008,丁學忠,84736,中國國民黨,蘇治芬,81707,民主進步黨
雲林縣第02選區,193972,281988,劉建國,115376,民主進步黨,邱良閱,78596,中國國民黨
嘉義縣第01選區,132648,196901,蔡易餘,78551,民主進步黨,詹琬蓁,54097,中國國民黨
嘉義縣第02選區,148689,220303,陳冠廷,73598,民主進步黨,林國慶,64778,無黨籍及未經政黨推薦
屏東縣第01選區,224629,319941,鍾佳濱,108723,民主進步黨,黃明賢,88518,中國國民黨
屏東縣第02選區,204054,312045,徐富癸,108923,民主進步黨,蘇孟淳,82147,無黨籍及未經政黨推薦
臺東縣第01選區,74103,115336,黃建賓,25778,中國國民黨,賴坤成,23420,民主進步黨
花蓮縣第01選區,127890,193766,傅崐萁,68786,中國國民黨,張美慧,51732,民主進步黨
澎湖縣第01選區,48420,91352,楊曜,24669,民主進步黨,吳政杰,20226,中國國民黨
基隆市第01選區,210871,303939,林沛祥,91986,中國國民黨,鄭文婷,69741,民主進步黨
新竹市第01選區,261218,354646,鄭正鈐,92014,中國國民黨,林志潔,83298,民主進步黨
嘉義市第01選區,154171,215871,王美惠,78069,民主進步黨,張秀華,66822,中國國民黨
連江縣第01選區,5874,11640,陳雪生,3118,中國國民黨,李問,1382,民主進步黨
金門縣第01選區,44191,124669,陳玉珍,28846,中國國民黨,尚文凱,13177,台灣民眾黨
