"prv_code","city_code","area_code","dept_code","li_code","tbox_no","valid_ticket","agree_ticket","disagree_ticket","invalid_ticket","vote_ticket","votable_population","population","vote_to_votable","agree_to_votable"
"10","018","00","000","0000","0000","151397","131816","19581","3526","154923","357083","452807","43.39","36.91"
"10","018","00","010","0000","0000","74343","66266","8077","1680","76023","166887","221541","45.55","39.71"
"10","018","00","010","0001","0000","325","259","66","14","339","685","0","49.49","37.81"
"10","018","00","010","0001","0118","325","259","66","14","339","685","0","49.49","37.81"
"10","018","00","010","0002","0000","643","546","97","10","653","1408","0","46.38","38.78"
"10","018","00","010","0002","0120","420","356","64","7","427","964","0","44.29","36.93"
"10","018","00","010","0002","0121","223","190","33","3","226","444","0","50.90","42.79"
"10","018","00","010","0003","0000","355","299","56","12","367","854","0","42.97","35.01"
"10","018","00","010","0003","0119","355","299","56","12","367","854","0","42.97","35.01"
"10","018","00","010","0004","0000","205","153","52","10","215","466","0","46.14","32.83"
"10","018","00","010","0004","0117","205","153","52","10","215","466","0","46.14","32.83"
"10","018","00","010","0005","0000","271","231","40","4","275","525","0","52.38","44.00"
"10","018","00","010","0005","0004","271","231","40","4","275","525","0","52.38","44.00"
"10","018","00","010","0007","0000","276","234","42","8","284","590","0","48.14","39.66"
"10","018","00","010","0007","0005","276","234","42","8","284","590","0","48.14","39.66"
"10","018","00","010","0010","0000","305","249","56","9","314","707","0","44.41","35.22"
"10","018","00","010","0010","0130","305","249","56","9","314","707","0","44.41","35.22"
"10","018","00","010","0011","0000","437","396","41","8","445","1626","0","27.37","24.35"
"10","018","00","010","0011","0001","437","396","41","8","445","1626","0","27.37","24.35"
"10","018","00","010","0012","0000","238","199","39","5","243","540","0","45.00","36.85"
"10","018","00","010","0012","0006","238","199","39","5","243","540","0","45.00","36.85"
"10","018","00","010","0013","0000","1388","1267","121","31","1419","3146","0","45.10","40.27"
"10","018","00","010","0013","0030","431","378","53","11","442","1003","0","44.07","37.69"
"10","018","00","010","0013","0031","481","443","38","11","492","1160","0","42.41","38.19"
"10","018","00","010","0013","0032","476","446","30","9","485","983","0","49.34","45.37"
"10","018","00","010","0014","0000","1239","1054","185","19","1258","2772","0","45.38","38.02"
"10","018","00","010","0014","0132","363","310","53","8","371","825","0","44.97","37.58"
"10","018","00","010","0014","0133","430","355","75","7","437","925","0","47.24","38.38"
"10","018","00","010","0014","0134","446","389","57","4","450","1022","0","44.03","38.06"
"10","018","00","010","0015","0000","620","532","88","13","633","1350","0","46.89","39.41"
"10","018","00","010","0015","0135","287","248","39","2","289","589","0","49.07","42.11"
"10","018","00","010","0015","0136","333","284","49","11","344","761","0","45.20","37.32"
"10","018","00","010","0016","0000","2141","1867","274","42","2183","5406","0","40.38","34.54"
"10","018","00","010","0016","0122","472","386","86","4","476","1079","0","44.11","35.77"
"10","018","00","010","0016","0123","447","388","59","18","465","1108","0","41.97","35.02"
"10","018","00","010","0016","0124","448","404","44","9","457","1133","0","40.34","35.66"
"10","018","00","010","0016","0125","396","364","32","4","400","1078","0","37.11","33.77"
"10","018","00","010","0016","0126","378","325","53","7","385","1008","0","38.19","32.24"
"10","018","00","010","0017","0000","524","487","37","7","531","1047","0","50.72","46.51"
"10","018","00","010","0017","0002","524","487","37","7","531","1047","0","50.72","46.51"
"10","018","00","010","0018","0000","1978","1749","229","57","2035","4419","0","46.05","39.58"
"10","018","00","010","0018","0009","300","268","32","5","305","636","0","47.96","42.14"
"10","018","00","010","0018","0010","560","489","71","26","586","1252","0","46.81","39.06"
"10","018","00","010","0018","0011","564","499","65","16","580","1328","0","43.67","37.58"
"10","018","00","010","0018","0012","554","493","61","10","564","1203","0","46.88","40.98"
"10","018","00","010","0019","0000","1865","1659","206","36","1901","4085","0","46.54","40.61"
"10","018","00","010","0019","0013","445","405","40","7","452","949","0","47.63","42.68"
"10","018","00","010","0019","0014","469","428","41","8","477","972","0","49.07","44.03"
"10","018","00","010","0019","0015","528","473","55","11","539","1169","0","46.11","40.46"
"10","018","00","010","0019","0016","423","353","70","10","433","995","0","43.52","35.48"
"10","018","00","010","0020","0000","2031","1776","255","37","2068","4543","0","45.52","39.09"
"10","018","00","010","0020","0021","427","374","53","7","434","1013","0","42.84","36.92"
"10","018","00","010","0020","0022","515","439","76","15","530","1215","0","43.62","36.13"
"10","018","00","010","0020","0023","515","461","54","5","520","1079","0","48.19","42.72"
