"prv_code","city_code","area_code","dept_code","li_code","tbox_no","votable_population","agree_ticket","agree_ticket_percent","disagree_ticket","disagree_ticket_percent","agree_to_votable","vote_result"
"10","018","00","000","0000","0000","357083","131816","87.07","19581","12.93","36.91","Y"
"10","018","00","010","0000","0000","166887","66266","89.14","8077","10.86","39.71","Y"
"10","018","00","010","0001","0000","685","259","79.69","66","20.31","37.81","Y"
"10","018","00","010","0001","0118","685","259","79.69","66","20.31","37.81","Y"
"10","018","00","010","0002","0000","1408","546","84.91","97","15.09","38.78","Y"
"10","018","00","010","0002","0120","964","356","84.76","64","15.24","36.93","Y"
"10","018","00","010","0002","0121","444","190","85.20","33","14.80","42.79","Y"
"10","018","00","010","0003","0000","854","299","84.23","56","15.77","35.01","Y"
"10","018","00","010","0003","0119","854","299","84.23","56","15.77","35.01","Y"
"10","018","00","010","0004","0000","466","153","74.63","52","25.37","32.83","Y"
"10","018","00","010","0004","0117","466","153","74.63","52","25.37","32.83","Y"
"10","018","00","010","0005","0000","525","231","85.24","40","14.76","44.00","Y"
"10","018","00","010","0005","0004","525","231","85.24","40","14.76","44.00","Y"
"10","018","00","010","0007","0000","590","234","84.78","42","15.22","39.66","Y"
"10","018","00","010","0007","0005","590","234","84.78","42","15.22","39.66","Y"
"10","018","00","010","0010","0000","707","249","81.64","56","18.36","35.22","Y"
"10","018","00","010","0010","0130","707","249","81.64","56","18.36","35.22","Y"
"10","018","00","010","0011","0000","1626","396","90.62","41","9.38","24.35","Y"
"10","018","00","010","0011","0001","1626","396","90.62","41","9.38","24.35","Y"
"10","018","00","010","0012","0000","540","199","83.61","39","16.39","36.85","Y"
"10","018","00","010","0012","0006","540","199","83.61","39","16.39","36.85","Y"
"10","018","00","010","0013","0000","3146","1267","91.28","121","8.72","40.27","Y"
"10","018","00","010","0013","0030","1003","378","87.70","53","12.30","37.69","Y"
"10","018","00","010","0013","0031","1160","443","92.10","38","7.90","38.19","Y"
"10","018","00","010","0013","0032","983","446","93.70","30","6.30","45.37","Y"
"10","018","00","010","0014","0000","2772","1054","85.07","185","14.93","38.02","Y"
"10","018","00","010","0014","0132","825","310","85.40","53","14.60","37.58","Y"
"10","018","00","010","0014","0133","925","355","82.56","75","17.44","38.38","Y"
"10","018","00","010","0014","0134","1022","389","87.22","57","12.78","38.06","Y"
"10","018","00","010","0015","0000","1350","532","85.81","88","14.19","39.41","Y"
"10","018","00","010","0015","0135","589","248","86.41","39","13.59","42.11","Y"
"10","018","00","010","0015","0136","761","284","85.29","49","14.71","37.32","Y"
"10","018","00","010","0016","0000","5406","1867","87.20","274","12.80","34.54","Y"
"10","018","00","010","0016","0122","1079","386","81.78","86","18.22","35.77","Y"
"10","018","00","010","0016","0123","1108","388","86.80","59","13.20","35.02","Y"
"10","018","00","010","0016","0124","1133","404","90.18","44","9.82","35.66","Y"
"10","018","00","010","0016","0125","1078","364","91.92","32","8.08","33.77","Y"
"10","018","00","010","0016","0126","1008","325","85.98","53","14.02","32.24","Y"
"10","018","00","010","0017","0000","1047","487","92.94","37","7.06","46.51","Y"
"10","018","00","010","0017","0002","1047","487","92.94","37","7.06","46.51","Y"
