行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,號次5,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
沙鹿區,居仁里,0001,0,2,5,262,172,441,3,444,0,444,292,736,60.33%
沙鹿區,居仁里,0002,2,2,2,158,145,309,0,309,0,309,250,559,55.28%
沙鹿區,洛泉里,0003,0,3,6,265,212,486,4,490,0,490,308,798,61.40%
沙鹿區,洛泉里,0004,4,1,2,376,364,747,8,755,0,755,353,1108,68.14%
沙鹿區,沙鹿里,0005,0,2,3,334,219,558,8,566,0,566,289,855,66.20%
沙鹿區,美仁里,0006,0,0,1,131,173,305,5,310,0,310,158,468,66.24%
沙鹿區,興仁里,0007,3,4,2,224,229,462,3,465,0,465,284,749,62.08%
沙鹿區,興仁里,0008,2,3,0,292,280,577,7,584,0,584,331,915,63.83%
沙鹿區,興仁里,0009,1,3,2,247,172,425,3,428,0,428,245,673,63.60%
沙鹿區,興安里,0010,2,3,4,431,304,744,14,758,0,758,497,1255,60.40%
沙鹿區,興安里,0011,2,1,2,343,296,644,6,650,0,650,437,1087,59.80%
沙鹿區,興安里,0012,0,1,2,273,245,521,5,526,0,526,401,927,56.74%
沙鹿區,斗抵里,0013,4,1,4,302,309,620,7,627,0,627,391,1018,61.59%
沙鹿區,斗抵里,0014,0,1,4,311,260,576,4,580,0,580,368,948,61.18%
沙鹿區,斗抵里,0015,0,2,3,460,385,850,4,854,0,854,509,1363,62.66%
沙鹿區,斗抵里,0016,1,1,2,283,245,532,3,535,0,535,347,882,60.66%
沙鹿區,鹿峰里,0017,0,1,0,378,258,637,3,640,0,640,524,1164,54.98%
沙鹿區,鹿峰里,0018,1,4,6,394,276,681,5,686,0,686,501,1187,57.79%
沙鹿區,鹿峰里,0019,2,1,1,475,290,769,4,773,0,773,578,1351,57.22%
沙鹿區,鹿峰里,0020,1,3,4,534,333,875,6,881,0,881,623,1504,58.58%
沙鹿區,鹿寮里,0021,3,7,2,446,250,708,5,713,0,713,435,1148,62.11%
沙鹿區,鹿寮里,0022,0,2,1,460,247,710,1,711,0,711,422,1133,62.75%
沙鹿區,鹿寮里,0023,2,3,3,399,263,670,2,672,0,672,453,1125,59.73%
沙鹿區,鹿寮里,0024,0,1,2,421,210,634,3,637,0,637,373,1010,63.07%
沙鹿區,鹿寮里,0025,0,1,4,452,249,706,6,712,0,712,414,1126,63.23%
沙鹿區,鹿寮里,0026,1,1,3,359,312,676,4,680,0,680,402,1082,62.85%
沙鹿區,竹林里,0027,0,2,0,232,257,491,9,500,0,500,402,902,55.43%
沙鹿區,竹林里,0028,2,0,1,254,220,477,2,479,0,479,362,841,56.96%
