行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
新埤鄉,新埤村,1,148,136,56,7,347,3,350,0,350,349,699,50.07%
新埤鄉,新埤村,2,155,205,45,13,418,7,425,0,425,521,946,44.93%
新埤鄉,新埤村,3,61,62,25,0,148,3,151,0,151,127,278,54.32%
新埤鄉,建功村,4,147,148,42,13,350,4,354,0,354,308,662,53.47%
新埤鄉,建功村,5,50,83,27,8,168,0,168,0,168,125,293,57.34%
新埤鄉,打鐵村,6,236,74,48,18,376,1,377,0,377,447,824,45.75%
新埤鄉,南豐村,7,255,49,44,4,352,2,354,0,354,324,678,52.21%
新埤鄉,萬隆村,8,83,62,21,8,174,1,175,0,175,173,348,50.29%
新埤鄉,萬隆村,9,145,66,32,37,280,3,283,0,283,355,638,44.36%
新埤鄉,萬隆村,10,92,100,125,11,328,2,330,0,330,319,649,50.85%
新埤鄉,餉潭村,11,128,74,238,177,617,3,620,0,620,568,"1,188",52.19%
新埤鄉,箕湖村,12,32,31,179,9,251,3,254,0,254,241,495,51.31%
新埤鄉,箕湖村,13,15,3,339,8,365,5,370,0,370,176,546,67.77%
