city-town,zone,code,areas,name,party
宜蘭縣冬山鄉,宜蘭縣冬山鄉第03選區,10002080-03,武淵村/群英村/清溝村,,
宜蘭縣冬山鄉,宜蘭縣冬山鄉第04選區,10002080-04,廣安村/柯林村/大進村/得安村/廣興村/鹿埔村,,
宜蘭縣五結鄉,宜蘭縣五結鄉第01選區,10002090-01,三興村/二結村/鎮安村,,
宜蘭縣五結鄉,宜蘭縣五結鄉第02選區,10002090-02,上四村/中興村/四結村,,
宜蘭縣五結鄉,宜蘭縣五結鄉第03選區,10002090-03,福興村/五結村/協和村,,
宜蘭縣五結鄉,宜蘭縣五結鄉第04選區,10002090-04,大吉村/孝威村/錦眾村,,
宜蘭縣五結鄉,宜蘭縣五結鄉第05選區,10002090-05,利澤村/成興村/季新村,,
宜蘭縣三星鄉,宜蘭縣三星鄉第01選區,10002100-01,雙賢村/人和村/義德村/集慶村/月眉村,,
宜蘭縣三星鄉,宜蘭縣三星鄉第02選區,10002100-02,萬德村/貴林村/萬富村/員山村/天山村/天福村,,
宜蘭縣三星鄉,宜蘭縣三星鄉第03選區,10002100-03,大隱村/行健村/拱照村,,
宜蘭縣三星鄉,宜蘭縣三星鄉第04選區,10002100-04,大義村/尚武村/大洲村/尾塹村,,
宜蘭縣大同鄉,宜蘭縣大同鄉第01選區,10002110-01,寒溪村,,
宜蘭縣大同鄉,宜蘭縣大同鄉第02選區,10002110-02,崙埤村/松羅村/復興村,,
宜蘭縣大同鄉,宜蘭縣大同鄉第03選區,10002110-03,英士村/樂水村/太平村,,
宜蘭縣大同鄉,宜蘭縣大同鄉第04選區,10002110-04,茂安村/四季村/南山村,,
宜蘭縣南澳鄉,宜蘭縣南澳鄉第01選區,10002120-01,南澳村/東岳村,,
宜蘭縣南澳鄉,宜蘭縣南澳鄉第02選區,10002120-02,碧候村/金岳村,,
宜蘭縣南澳鄉,宜蘭縣南澳鄉第03選區,10002120-03,武塔村/金洋村,,
宜蘭縣南澳鄉,宜蘭縣南澳鄉第04選區,10002120-04,澳花村,,
新竹縣竹北市,新竹縣竹北市第01選區,10004010-01,文化里/隘口里/東海里/鹿場里/東平里/中興里/十興里/東興里/北興里/興安里,,
新竹縣竹北市,新竹縣竹北市第02選區,10004010-02,中崙里/竹北里/竹仁里/斗崙里/竹義里/北崙里/新崙里/福德里/泰和里,,
新竹縣竹北市,新竹縣竹北市第03選區,10004010-03,新國里/新社里/聯興里,,
新竹縣竹北市,新竹縣竹北市第04選區,10004010-04,尚義里/新庄里/新港里/大義里/崇義里/大眉里/麻園里/溪州里/白地里,,
新竹縣竹東鎮,新竹縣竹東鎮第01選區,10004020-01,員崠里/東寧里/上舘里/上坪里/瑞峰里/軟橋里/中正里,,
新竹縣竹東鎮,新竹縣竹東鎮第02選區,10004020-02,大鄉里/東華里/商華里/中山里/南華里/忠孝里/竹東里,,
新竹縣竹東鎮,新竹縣竹東鎮第03選區,10004020-03,榮華里/陸豐里/榮樂里/鷄林里/仁愛里/五豐里,,
新竹縣竹東鎮,新竹縣竹東鎮第04選區,10004020-04,三重里/頭重里/員山里/柯湖里/二重里,,
新竹縣新埔鎮,新竹縣新埔鎮第01選區,10004030-01,五埔里/四座里/旱坑里/田新里/新埔里/新生里/新民里,,
新竹縣新埔鎮,新竹縣新埔鎮第02選區,10004030-02,巨埔里/照門里/清水里/鹿鳴里/新北里,,
新竹縣新埔鎮,新竹縣新埔鎮第03選區,10004030-03,文山里/內立里/寶石里,,
新竹縣新埔鎮,新竹縣新埔鎮第04選區,10004030-04,北平里/上寮里/下寮里/南平里,,
新竹縣關西鎮,新竹縣關西鎮第01選區,10004040-01,西安里/南雄里/北斗里/仁安里/東興里/北山里/南山里,,
新竹縣關西鎮,新竹縣關西鎮第02選區,10004040-02,東安里/金山里/錦山里/東山里,,
新竹縣關西鎮,新竹縣關西鎮第03選區,10004040-03,東光里/南新里/玉山里/新富里,,
新竹縣關西鎮,新竹縣關西鎮第04選區,10004040-04,東平里/大同里/石光里/上林里/新力里/南和里,,
新竹縣湖口鄉,新竹縣湖口鄉第01選區,10004050-01,信勢村/德盛村/和興村/信義村,,
新竹縣湖口鄉,新竹縣湖口鄉第02選區,10004050-02,勝利村/湖南村/波羅村/鳳凰村/鳳山村/湖鏡村/中興村,,
