city-town,zone,code,areas,name,party
彰化縣大村鄉,彰化縣大村鄉第01選區,10007130-01,大橋村/大村村/茄苳村/南勢村/田洋村/貢旗村,,
彰化縣大村鄉,彰化縣大村鄉第02選區,10007130-02,大崙村/加錫村/新興村,,
彰化縣大村鄉,彰化縣大村鄉第03選區,10007130-03,擺塘村/村上村/過溝村,,
彰化縣大村鄉,彰化縣大村鄉第04選區,10007130-04,黃厝村/福興村/美港村/平和村,,
彰化縣埔鹽鄉,彰化縣埔鹽鄉第01選區,10007140-01,埔鹽村/埔南村/廍子村/崑崙村/角樹村/出水村/南港村/打廉村/豐澤村,,
彰化縣埔鹽鄉,彰化縣埔鹽鄉第02選區,10007140-02,好修村/西湖村/大有村/新興村/瓦[磘]村/永平村/永樂村,,
彰化縣埔鹽鄉,彰化縣埔鹽鄉第03選區,10007140-03,太平村/石埤村/天盛村/南新村/新水村/三省村,,
彰化縣埔心鄉,彰化縣埔心鄉第01選區,10007150-01,大華村/仁里村/東門村/埔心村/瓦南村/太平村/經口村/義民村/油車村/瓦北村/瓦中村,,
彰化縣埔心鄉,彰化縣埔心鄉第02選區,10007150-02,舊舘村/南舘村/新舘村/羅厝村/芎蕉村,,
彰化縣埔心鄉,彰化縣埔心鄉第03選區,10007150-03,梧鳳村/埤霞村/二重村/埤脚村,,
彰化縣永靖鄉,彰化縣永靖鄉第01選區,10007160-01,五汴村/浮圳村/光雲村/東寧村/永興村/崙子村,,
彰化縣永靖鄉,彰化縣永靖鄉第02選區,10007160-02,永東村/五福村/湳港村/新莊村/瑚璉村/永西村/永南村/永北村/港西村,,
彰化縣永靖鄉,彰化縣永靖鄉第03選區,10007160-03,敦厚村/崙美村/同安村/獨鰲村/同仁村/湳墘村/四芳村/福興村/竹子村,,
彰化縣社頭鄉,彰化縣社頭鄉第01選區,10007170-01,湳底村/張厝村/舊社村/新厝村/廣福村/橋頭村/社頭村/東興村/廣興村/松竹村,,
彰化縣社頭鄉,彰化縣社頭鄉第02選區,10007170-02,崙雅村/里仁村/美雅村/仁雅村,,
彰化縣社頭鄉,彰化縣社頭鄉第03選區,10007170-03,山湖村/埤斗村/清水村,,
彰化縣社頭鄉,彰化縣社頭鄉第04選區,10007170-04,仁和村/龍井村/泰安村/平和村/朝興村/湳雅村/協和村,,
彰化縣二水鄉,彰化縣二水鄉第01選區,10007180-01,復興村/十五村/合和村/上豊村,,
彰化縣二水鄉,彰化縣二水鄉第02選區,10007180-02,聖化村/裕民村/惠民村/五伯村/光化村/文化村/二水村/過圳村,,
彰化縣二水鄉,彰化縣二水鄉第03選區,10007180-03,倡和村/大園村/修仁村/合興村/源泉村,,
彰化縣北斗鎮,彰化縣北斗鎮第01選區,10007190-01,中寮里/大道里,,
彰化縣北斗鎮,彰化縣北斗鎮第02選區,10007190-02,西德里/西安里,,
彰化縣北斗鎮,彰化縣北斗鎮第03選區,10007190-03,東光里/文昌里/重慶里/五權里/七星里/居仁里/光復里/新政里,,
彰化縣北斗鎮,彰化縣北斗鎮第04選區,10007190-04,中和里/新生里/大新里,,
彰化縣二林鎮,彰化縣二林鎮第01選區,10007200-01,東和里/南光里/西平里/北平里/豐田里,,
彰化縣二林鎮,彰化縣二林鎮第02選區,10007200-02,中西里/廣興里/香田里/外竹里/興華里/東興里/後厝里,,
彰化縣二林鎮,彰化縣二林鎮第03選區,10007200-03,華崙里/萬合里/萬興里/永興里/西庄里/梅芳里/頂厝里/趙甲里/振興里,,
彰化縣二林鎮,彰化縣二林鎮第04選區,10007200-04,東勢里/復豐里/大永里/原斗里/西斗里/東華里,,
彰化縣田尾鄉,彰化縣田尾鄉第01選區,10007210-01,田尾村/饒平村/正義村/南曾村/北曾村/溪畔村/打簾村,,
彰化縣田尾鄉,彰化縣田尾鄉第02選區,10007210-02,豐田村/仁里村/新厝村/溪頂村,,
彰化縣田尾鄉,彰化縣田尾鄉第03選區,10007210-03,陸豐村/海豐村/柳鳳村,,
彰化縣田尾鄉,彰化縣田尾鄉第04選區,10007210-04,睦宜村/福田村/新興村/北鎮村/南鎮村/新生村,,
彰化縣埤頭鄉,彰化縣埤頭鄉第01選區,10007220-01,埤頭村/和豊村/興農村,,
彰化縣埤頭鄉,彰化縣埤頭鄉第02選區,10007220-02,豊崙村/崙子村/合興村/平原村/崙腳村/永豐村,,
彰化縣埤頭鄉,彰化縣埤頭鄉第03選區,10007220-03,元埔村/芙朝村/新庄村,,
彰化縣埤頭鄉,彰化縣埤頭鄉第04選區,10007220-04,竹圍村/中和村/庄內村/大湖村/陸嘉村,,
彰化縣芳苑鄉,彰化縣芳苑鄉第01選區,10007230-01,芳中村/仁愛村/信義村/後寮村/芳苑村/三合村/永興村/新街村,,
彰化縣芳苑鄉,彰化縣芳苑鄉第02選區,10007230-02,路上村/頂廍村/路平村/三成村/福榮村,,
彰化縣芳苑鄉,彰化縣芳苑鄉第03選區,10007230-03,五俊村/新寶村/王功村/博愛村/和平村/民生村/興仁村,,
彰化縣芳苑鄉,彰化縣芳苑鄉第04選區,10007230-04,崙腳村/新生村/漢寶村/草湖村/文津村/建平村,,
彰化縣大城鄉,彰化縣大城鄉第01選區,10007240-01,潭墘村/山腳村,,
彰化縣大城鄉,彰化縣大城鄉第02選區,10007240-02,上山村/東城村/西城村/大城村/永和村/公館村,,
彰化縣大城鄉,彰化縣大城鄉第03選區,10007240-03,菜寮村/豐美村/三豐村,,
彰化縣大城鄉,彰化縣大城鄉第04選區,10007240-04,頂庄村/東港村/西港村/臺西村,,
彰化縣竹塘鄉,彰化縣竹塘鄉第01選區,10007250-01,竹元村/竹塘村/小西村,,
彰化縣竹塘鄉,彰化縣竹塘鄉第02選區,10007250-02,民靖村/五庄村,,
彰化縣竹塘鄉,彰化縣竹塘鄉第03選區,10007250-03,新廣村/樹腳村/田頭村,,
彰化縣竹塘鄉,彰化縣竹塘鄉第04選區,10007250-04,溪墘村/土庫村/內新村/長安村/永安村/竹林村,,
彰化縣溪州鄉,彰化縣溪州鄉第01選區,10007260-01,溪厝村/瓦厝村/坑厝村/溪州村/尾厝村,,
彰化縣溪州鄉,彰化縣溪州鄉第02選區,10007260-02,舊眉村/圳寮村/東州村,,
彰化縣溪州鄉,彰化縣溪州鄉第03選區,10007260-03,潮洋村/西畔村/柑園村/張厝村/成功村/榮光村/大庄村,,
彰化縣溪州鄉,彰化縣溪州鄉第04選區,10007260-04,水尾村/菜公村/三條村/三圳村,,
南投縣南投市,南投縣南投市第01選區,10008010-01,龍泉里/康壽里/三民里/仁和里/南投里/彰仁里/崇文里/三興里/三和里/嘉興里/嘉和里,,
南投縣南投市,南投縣南投市第02選區,10008010-02,光輝里/內新里/光華里/光榮里/光明里/營北里/營南里/內興里/平和里/振興里/千秋里/軍功里/東山里,,
南投縣南投市,南投縣南投市第03選區,10008010-03,漳和里/漳興里/平山里/新興里/永豐里/福興里,,
南投縣南投市,南投縣南投市第04選區,10008010-04,永興里/鳳鳴里/鳳山里/福山里,,
南投縣埔里鎮,南投縣埔里鎮第01選區,10008020-01,杷城里/東門里/水頭里/麒麟里/珠格里/溪南里/枇杷里,,
南投縣埔里鎮,南投縣埔里鎮第02選區,10008020-02,泰安里/北安里/北梅里/南門里/西門里/北門里/大湳里/蜈蚣里,,
南投縣埔里鎮,南投縣埔里鎮第03選區,10008020-03,大城里/籃城里/同聲里/薰化里/清新里/桃米里/成功里,,
南投縣埔里鎮,南投縣埔里鎮第04選區,10008020-04,一新里/廣成里/史港里/福興里/房里里/向善里/牛眠里/合成里/鐵山里/南村里/愛蘭里,,
南投縣草屯鎮,南投縣草屯鎮第01選區,10008030-01,玉峰里/炎峰里/和平里/敦和里/中正里/中山里/明正里,,
南投縣草屯鎮,南投縣草屯鎮第02選區,10008030-02,碧峰里/山腳里/新厝里/碧洲里/復興里/上林里,,
南投縣草屯鎮,南投縣草屯鎮第03選區,10008030-03,御史里/新豐里/新庄里/北投里/石川里/加老里,,
南投縣草屯鎮,南投縣草屯鎮第04選區,10008030-04,富寮里/坪頂里/雙冬里/平林里/土城里/中原里/南埔里/北勢里,,
南投縣竹山鎮,南投縣竹山鎮第01選區,10008040-01,竹山里/下坪里/桂林里/中和里/中崎里/中正里/中山里/雲林里/竹圍里/秀林里/大鞍里,,
南投縣竹山鎮,南投縣竹山鎮第02選區,10008040-02,延祥里/延平里/延正里/中央里/富州里/延山里/延和里/山崇里/社寮里,,
南投縣竹山鎮,南投縣竹山鎮第03選區,10008040-03,硘[磘]里/田子里/福興里/鯉魚里/瑞竹里/坪頂里/桶頭里/德興里,,
南投縣集集鎮,南投縣集集鎮第01選區,10008050-01,集集里/和平里/林尾里,,
南投縣集集鎮,南投縣集集鎮第02選區,10008050-02,隘寮里/田寮里,,
南投縣集集鎮,南投縣集集鎮第03選區,10008050-03,玉映里/吳厝里,,
南投縣集集鎮,南投縣集集鎮第04選區,10008050-04,八張里/永昌里/富山里/廣明里,,
南投縣名間鄉,南投縣名間鄉第01選區,10008060-01,濁水村/炭寮村/新民村/新街村/南雅村/中正村/中山村/仁和村/東湖村/萬丹村,,
南投縣名間鄉,南投縣名間鄉第02選區,10008060-02,田仔村/大庄村/廍下村/大坑村,,
南投縣名間鄉,南投縣名間鄉第03選區,10008060-03,赤水村/三崙村/竹圍村,,
南投縣名間鄉,南投縣名間鄉第04選區,10008060-04,埔中村/崁腳村/新厝村/新光村/松山村/松柏村,,
南投縣鹿谷鄉,南投縣鹿谷鄉第01選區,10008070-01,彰雅村/廣興村/鹿谷村/鳳凰村/永隆村,,
南投縣鹿谷鄉,南投縣鹿谷鄉第02選區,10008070-02,內湖村/竹林村/竹豐村/和雅村,,
南投縣鹿谷鄉,南投縣鹿谷鄉第03選區,10008070-03,初鄉村/秀峰村/清水村/瑞田村,,
南投縣中寮鄉,南投縣中寮鄉第01選區,10008080-01,崁頂村/八仙村/和興村/福盛村/廣興村/復興村,,
南投縣中寮鄉,南投縣中寮鄉第02選區,10008080-02,永平村/中寮村/廣福村/永福村/義和村,,
南投縣中寮鄉,南投縣中寮鄉第03選區,10008080-03,龍安村/內城村/清水村,,
南投縣中寮鄉,南投縣中寮鄉第04選區,10008080-04,永芳村/爽文村/龍岩村/永和村,,
南投縣魚池鄉,南投縣魚池鄉第01選區,10008090-01,東池村/魚池村/大林村/東光村/共和村,,
南投縣魚池鄉,南投縣魚池鄉第02選區,10008090-02,中明村/新城村/五城村/大雁村,,
南投縣魚池鄉,南投縣魚池鄉第03選區,10008090-03,武登村/日月村/水社村/頭社村,,
南投縣國姓鄉,南投縣國姓鄉第01選區,10008100-01,國姓村/石門村,,
南投縣國姓鄉,南投縣國姓鄉第02選區,10008100-02,長豐村/大旗村/北港村/長流村/長福村,,
南投縣國姓鄉,南投縣國姓鄉第03選區,10008100-03,福龜村/乾溝村/柑林村,,
南投縣國姓鄉,南投縣國姓鄉第04選區,10008100-04,北山村/南港村/大石村,,
南投縣水里鄉,南投縣水里鄉第01選區,10008110-01,車埕村/新興村/農富村/新城村/中央村/城中村/水里村,,
南投縣水里鄉,南投縣水里鄉第02選區,10008110-02,民和村/南光村/北埔村/鉅工村/永豐村/頂崁村,,
南投縣水里鄉,南投縣水里鄉第03選區,10008110-03,郡坑村/上安村/新山村,,
南投縣水里鄉,南投縣水里鄉第04選區,10008110-04,永興村/玉峰村/興隆村,,
南投縣信義鄉,南投縣信義鄉第01選區,10008120-01,豐丘村/明德村/愛國村/自強村,,
南投縣信義鄉,南投縣信義鄉第02選區,10008120-02,新鄉村/卡里布安村/羅娜村/望美村,,
南投縣信義鄉,南投縣信義鄉第03選區,10008120-03,神木村/東埔村/同富村,,
南投縣信義鄉,南投縣信義鄉第04選區,10008120-04,雙龍村/人和村/地利村/潭南村,,
南投縣仁愛鄉,南投縣仁愛鄉第01選區,10008130-01,榮興村/南豐村/大同村,,
南投縣仁愛鄉,南投縣仁愛鄉第02選區,10008130-02,春陽村/精英村/翠華村/都達村/德鹿谷村/力行村/發祥村,,
南投縣仁愛鄉,南投縣仁愛鄉第03選區,10008130-03,萬豐村/法治村/中正村/親愛村,,
南投縣仁愛鄉,南投縣仁愛鄉第04選區,10008130-04,互助村/新生村,,
雲林縣斗六市,雲林縣斗六市第01選區,10009010-01,鎮北里/鎮西里/公誠里/鎮東里/明德里/文化里/信義里/三平里/四維里/太平里/中和里/光興里,,
雲林縣斗六市,雲林縣斗六市第02選區,10009010-02,龍潭里/鎮南里/林頭里/重光里/嘉東里/公正里/社口里/成功里/忠孝里/仁愛里/八德里,,
雲林縣斗六市,雲林縣斗六市第03選區,10009010-03,保庄里/虎溪里/久安里/長平里/溝埧里/江厝里/三光里/崙峯里/正心里,,
雲林縣斗六市,雲林縣斗六市第04選區,10009010-04,梅林里/湖山里/榴中里/榴北里/榴南里/溪洲里/長安里/十三里,,
雲林縣斗南鎮,雲林縣斗南鎮第01選區,10009020-01,東仁里/西岐里/南昌里/北銘里/中天里/大同里,,
雲林縣斗南鎮,雲林縣斗南鎮第02選區,10009020-02,林子里/石龜里/靖興里/石溪里/新南里/阿丹里/將軍里,,
雲林縣斗南鎮,雲林縣斗南鎮第03選區,10009020-03,舊社里/僑真里/新崙里/埤麻里/西伯里/明昌里/大東里,,
雲林縣斗南鎮,雲林縣斗南鎮第04選區,10009020-04,小東里/東明里/新光里/田頭里,,
雲林縣虎尾鎮,雲林縣虎尾鎮第01選區,10009030-01,立仁里/建國里/新吉里/穎川里/延平里/中山里/西安里/安慶里/平和里/興南里/新興里/東仁里/公安里/德興里,,
雲林縣虎尾鎮,雲林縣虎尾鎮第02選區,10009030-02,安溪里/興中里/廉使里/埒內里/堀頭里,,
雲林縣虎尾鎮,雲林縣虎尾鎮第03選區,10009030-03,惠來里/頂溪里/中溪里/下溪里,,
雲林縣虎尾鎮,雲林縣虎尾鎮第04選區,10009030-04,東屯里/芳草里/三合里/北溪里/墾地里/西屯里,,
雲林縣西螺鎮,雲林縣西螺鎮第01選區,10009040-01,永安里/中和里/福興里/光華里/振興里/大園里/廣福里/正興里/中興里/漢光里/新安里/新豐里,,
雲林縣西螺鎮,雲林縣西螺鎮第02選區,10009040-02,廣興里/鹿場里/頂湳里/大新里/埤頭里/東興里,,
雲林縣西螺鎮,雲林縣西螺鎮第03選區,10009040-03,公舘里/下湳里/九隆里/吳厝里/七座里,,
雲林縣西螺鎮,雲林縣西螺鎮第04選區,10009040-04,福田里/詔安里/河南里/安定里,,
雲林縣土庫鎮,雲林縣土庫鎮第01選區,10009050-01,石廟里/越港里/溪邊里/忠正里/順天里/宮北里,,
雲林縣土庫鎮,雲林縣土庫鎮第02選區,10009050-02,埤腳里/興新里/奮起里,,
雲林縣土庫鎮,雲林縣土庫鎮第03選區,10009050-03,大荖里/後埔里/崙內里,,
雲林縣土庫鎮,雲林縣土庫鎮第04選區,10009050-04,新庄里/東平里/南平里/北平里/西平里,,
雲林縣北港鎮,雲林縣北港鎮第01選區,10009060-01,東華里/南安里/中和里/義民里/東陽里/光民里/扶朝里/水埔里/共榮里/西勢里/仁和里/華勝里/光復里/賜福里/公舘里/大同里/仁安里,,
雲林縣北港鎮,雲林縣北港鎮第02選區,10009060-02,府番里/草湖里/新厝里/後溝里/新街里/劉厝里,,
雲林縣北港鎮,雲林縣北港鎮第03選區,10009060-03,溝皂里/樹腳里/番溝里/大北里/好收里,,
雲林縣古坑鄉,雲林縣古坑鄉第01選區,10009070-01,新庄村/棋盤村/高林村/荷苞村/東和村,,
雲林縣古坑鄉,雲林縣古坑鄉第02選區,10009070-02,古坑村/朝陽村/西平村/湳仔村/田心村/水碓村,,
雲林縣古坑鄉,雲林縣古坑鄉第03選區,10009070-03,永昌村/麻園村/永光村/崁腳村,,
雲林縣古坑鄉,雲林縣古坑鄉第04選區,10009070-04,華山村/華南村/樟湖村/草嶺村/桂林村,,
雲林縣大埤鄉,雲林縣大埤鄉第01選區,10009080-01,北和村/吉田村/豐岡村/聯美村,,
雲林縣大埤鄉,雲林縣大埤鄉第02選區,10009080-02,南和村/大德村/松竹村/豐田村,,
雲林縣大埤鄉,雲林縣大埤鄉第03選區,10009080-03,尚義村/嘉興村/三結村,,
雲林縣大埤鄉,雲林縣大埤鄉第04選區,10009080-04,怡然村/北鎮村/興安村/西鎮村,,
雲林縣莿桐鄉,雲林縣莿桐鄉第01選區,10009090-01,興桐村/義和村/莿桐村/甘厝村/甘西村,,
雲林縣莿桐鄉,雲林縣莿桐鄉第02選區,10009090-02,埔尾村/埔子村/大美村/興貴村,,
雲林縣莿桐鄉,雲林縣莿桐鄉第03選區,10009090-03,饒平村/四合村/麻園村/五華村/六合村,,
雲林縣林內鄉,雲林縣林內鄉第01選區,10009100-01,林中村/林南村,,
雲林縣林內鄉,雲林縣林內鄉第02選區,10009100-02,林北村/坪頂村,,
雲林縣林內鄉,雲林縣林內鄉第03選區,10009100-03,林茂村/九芎村/湖本村,,
雲林縣林內鄉,雲林縣林內鄉第04選區,10009100-04,重興村/烏塗村/烏麻村,,
雲林縣二崙鄉,雲林縣二崙鄉第01選區,10009110-01,崙東村/崙西村/來惠村,,
雲林縣二崙鄉,雲林縣二崙鄉第02選區,10009110-02,三和村/湳仔村/田尾村,,
雲林縣二崙鄉,雲林縣二崙鄉第03選區,10009110-03,楊賢村/永定村/義庄村/定安村/大華村,,
雲林縣二崙鄉,雲林縣二崙鄉第04選區,10009110-04,大義村/油車村/港後村,,
雲林縣二崙鄉,雲林縣二崙鄉第05選區,10009110-05,大庄村/庄西村/大同村/復興村,,
雲林縣崙背鄉,雲林縣崙背鄉第01選區,10009120-01,東明村/西榮村/南陽村,,
雲林縣崙背鄉,雲林縣崙背鄉第02選區,10009120-02,崙前村/羅厝村/港尾村,,
雲林縣崙背鄉,雲林縣崙背鄉第03選區,10009120-03,五魁村/大有村/阿勸村,,
雲林縣崙背鄉,雲林縣崙背鄉第04選區,10009120-04,草湖村/舊庄村/水尾村/枋南村/豐榮村,,
雲林縣麥寮鄉,雲林縣麥寮鄉第01選區,10009130-01,麥津村/麥豐村/海豐村/瓦[磘]村/興華村,,
雲林縣麥寮鄉,雲林縣麥寮鄉第02選區,10009130-02,中興村/三盛村/後安村,,
雲林縣麥寮鄉,雲林縣麥寮鄉第03選區,10009130-03,橋頭村/崙後村,,
雲林縣麥寮鄉,雲林縣麥寮鄉第04選區,10009130-04,新吉村/施厝村/雷厝村,,
雲林縣東勢鄉,雲林縣東勢鄉第01選區,10009140-01,嘉隆村/復興村/月眉村,,
雲林縣東勢鄉,雲林縣東勢鄉第02選區,10009140-02,東南村/程海村/龍潭村/東北村,,
雲林縣東勢鄉,雲林縣東勢鄉第03選區,10009140-03,同安村/安南村/昌南村,,
雲林縣東勢鄉,雲林縣東勢鄉第04選區,10009140-04,新坤村/四美村,,
雲林縣褒忠鄉,雲林縣褒忠鄉第01選區,10009150-01,中民村/埔姜村,,
雲林縣褒忠鄉,雲林縣褒忠鄉第02選區,10009150-02,馬鳴村/中勝村/新湖村,,
雲林縣褒忠鄉,雲林縣褒忠鄉第03選區,10009150-03,有才村/田洋村,,
雲林縣褒忠鄉,雲林縣褒忠鄉第04選區,10009150-04,潮厝村/龍岩村,,
雲林縣臺西鄉,雲林縣臺西鄉第01選區,10009160-01,山寮村/海口村/台西村/海北村/海南村,,
雲林縣臺西鄉,雲林縣臺西鄉第02選區,10009160-02,光華村/五榔村/溪頂村/牛厝村/泉州村,,
雲林縣臺西鄉,雲林縣臺西鄉第03選區,10009160-03,五港村/富琦村,,
雲林縣臺西鄉,雲林縣臺西鄉第04選區,10009160-04,永豐村/和豐村/蚊港村,,
雲林縣元長鄉,雲林縣元長鄉第01選區,10009170-01,五塊村/潭西村/潭東村/子茂村/後湖村/山內村/合和村/長南村/長北村,,
雲林縣元長鄉,雲林縣元長鄉第02選區,10009170-02,龍岩村/西莊村/客厝村/卓運村/頂寮村/下寮村,,
雲林縣元長鄉,雲林縣元長鄉第03選區,10009170-03,鹿北村/鹿南村/瓦[磘]村/內寮村/崙仔村/新吉村,,
雲林縣四湖鄉,雲林縣四湖鄉第01選區,10009180-01,施湖村/湖寮村/蔡厝村/新庄村/溪底村/鹿場村/湖西村/四湖村,,
雲林縣四湖鄉,雲林縣四湖鄉第02選區,10009180-02,飛沙村/三姓村/內湖村/羊調村/飛東村,,
雲林縣四湖鄉,雲林縣四湖鄉第03選區,10009180-03,崙北村/崙南村/廣溝村/[萡]子村/[萡]東村,,
雲林縣四湖鄉,雲林縣四湖鄉第04選區,10009180-04,林厝村/林東村/溪尾村,,
雲林縣口湖鄉,雲林縣口湖鄉第01選區,10009190-01,埔南村/謝厝村/蚵寮村/湖東村/口湖村/頂湖村/埔北村,,
雲林縣口湖鄉,雲林縣口湖鄉第02選區,10009190-02,崙中村/下崙村/崙東村/青蚶村,,
雲林縣口湖鄉,雲林縣口湖鄉第03選區,10009190-03,港東村/港西村/台子村/成龍村,,
雲林縣口湖鄉,雲林縣口湖鄉第04選區,10009190-04,湖口村/水井村/後厝村/梧南村/梧北村/過港村,,
雲林縣水林鄉,雲林縣水林鄉第01選區,10009200-01,水北村/水南村/後寮村/大溝村/順興村/萬興村/尖山村/大山村,,
雲林縣水林鄉,雲林縣水林鄉第02選區,10009200-02,春埔村/西井村/車港村/蘇秦村/灣東村/灣西村,,
雲林縣水林鄉,雲林縣水林鄉第03選區,10009200-03,松西村/[欍]埔村/塭底村/蕃薯村/山腳村/松北村/松中村,,
雲林縣水林鄉,雲林縣水林鄉第04選區,10009200-04,海埔村/土厝村/溪墘村,,
嘉義縣太保市,嘉義縣太保市第01選區,10010010-01,安仁里/後庄里/前潭里/後潭里/梅埔里/太保里/春珠里/崙頂里/東勢里,,
嘉義縣太保市,嘉義縣太保市第02選區,10010010-02,舊埤里/田尾里/港尾里/新埤里,,
嘉義縣太保市,嘉義縣太保市第03選區,10010010-03,過溝里/麻寮里/南新里/北新里/埤鄉里,,
嘉義縣朴子市,嘉義縣朴子市第01選區,10010020-01,竹圍里/安福里/平和里/內厝里/開元里/永和里/順天里/中正里/博厚里/文化里,,
嘉義縣朴子市,嘉義縣朴子市第02選區,10010020-02,双溪里/溪口里/德興里/仁和里/新寮里/大鄉里/大葛里/佳禾里,,
嘉義縣朴子市,嘉義縣朴子市第03選區,10010020-03,竹村里/德家里/新庄里/梅華里/松華里/崁前里/順安里/崁後里/南竹里,,
嘉義縣布袋鎮,嘉義縣布袋鎮第01選區,10010030-01,振寮里/岱江里/九龍里/岑海里/龍江里/興中里/光復里/見龍里/新厝里,,
嘉義縣布袋鎮,嘉義縣布袋鎮第02選區,10010030-02,西安里/樹林里/貴舍里/東安里/中安里,,
嘉義縣布袋鎮,嘉義縣布袋鎮第03選區,10010030-03,復興里/好美里/永安里/東港里/新民里/江山里/菜舖里/考試里/新岑里,,
嘉義縣大林鎮,嘉義縣大林鎮第01選區,10010040-01,大糖里/東林里/西林里/排路里/西結里/湖北里/吉林里/平林里/明華里/明和里,,
嘉義縣大林鎮,嘉義縣大林鎮第02選區,10010040-02,大美里/過溪里/中坑里/義和里/內林里/上林里/中林里/三和里/溝背里/三村里/三角里,,
嘉義縣民雄鄉,嘉義縣民雄鄉第01選區,10010050-01,平和村/西昌村/東榮村/東湖村/頂崙村/菁埔村/中和村/中樂村/西安村/寮頂村/福權村,,
嘉義縣民雄鄉,嘉義縣民雄鄉第02選區,10010050-02,豊收村/三興村/東興村/鎮北村/北斗村/双福村/福樂村/大崎村/秀林村/松山村,,
嘉義縣民雄鄉,嘉義縣民雄鄉第03選區,10010050-03,興南村/福興村/文隆村/興中村/山中村/中央村/金興村,,
嘉義縣溪口鄉,嘉義縣溪口鄉第01選區,10010060-01,柳溝村/疊溪村/妙崙村/坪頂村/溪東村/溪西村/溪北村,,
嘉義縣溪口鄉,嘉義縣溪口鄉第02選區,10010060-02,本厝村/游西村/柴林村/林腳村/美南村/游東村/美北村,,
嘉義縣新港鄉,嘉義縣新港鄉第01選區,10010070-01,南崙村/北崙村/海瀛村/福德村/古民村/中庄村/大潭村/宮前村/宮後村/大興村/西庄村/埤子村,,
嘉義縣新港鄉,嘉義縣新港鄉第02選區,10010070-02,溪北村/三間村/中洋村/菜公村/月眉村/月潭村/安和村/潭大村/南港村/板頭村/共和村,,
嘉義縣六腳鄉,嘉義縣六腳鄉第01選區,10010080-01,正義村/蒜南村/工廠村/灣南村/灣北村/蒜頭村/蒜東村/雙涵村/塗師村/三義村/溪厝村,,
嘉義縣六腳鄉,嘉義縣六腳鄉第02選區,10010080-02,蘇厝村/竹本村/永賢村/魚寮村/港美村/豐美村/六斗村/崙陽村,,
嘉義縣六腳鄉,嘉義縣六腳鄉第03選區,10010080-03,潭墘村/更寮村/六腳村/六南村/崩山村/古林村,,
嘉義縣東石鄉,嘉義縣東石鄉第01選區,10010090-01,猿樹村/型厝村/塭港村/東石村,,
嘉義縣東石鄉,嘉義縣東石鄉第02選區,10010090-02,下揖村/頂揖村/溪下村/三家村/永屯村/海埔村/龍港村/副瀨村/港口村/鰲鼓村,,
嘉義縣東石鄉,嘉義縣東石鄉第03選區,10010090-03,港墘村/蔦松村/圍潭村/洲仔村/東崙村/西崙村/塭仔村/網寮村/掌潭村,,
嘉義縣義竹鄉,嘉義縣義竹鄉第01選區,10010100-01,仁里村/傳芳村/頭竹村/五厝村/岸腳村/義竹村/六桂村/中平村/埤前村,,
嘉義縣義竹鄉,嘉義縣義竹鄉第02選區,10010100-02,東榮村/龍蛟村/溪洲村/平溪村/西過村/官和村/官順村/新富村/後鎮村/北華村/新店村/東過村/東光村,,
嘉義縣鹿草鄉,嘉義縣鹿草鄉第01選區,10010110-01,鹿草村/西井村/豊稠村/重寮村/後寮村/鹿東村/施家村,,
嘉義縣鹿草鄉,嘉義縣鹿草鄉第02選區,10010110-02,下潭村/光潭村/碧潭村/松竹村/竹山村,,
嘉義縣鹿草鄉,嘉義縣鹿草鄉第03選區,10010110-03,三角村/下麻村/後堀村,,
嘉義縣水上鄉,嘉義縣水上鄉第01選區,10010120-01,水頭村/水上村/粗溪村/下寮村/三和村/回歸村,,
嘉義縣水上鄉,嘉義縣水上鄉第02選區,10010120-02,大堀村/大崙村/塗溝村/龍德村/溪洲村/三鎮村/靖和村/南和村,,
嘉義縣水上鄉,嘉義縣水上鄉第03選區,10010120-03,國姓村/內溪村/義興村/忠和村/中庄村/南鄉村/三界村/柳林村/柳鄉村/柳新村/寬士村/民生村,,
嘉義縣中埔鄉,嘉義縣中埔鄉第01選區,10010130-01,和興村/富收村/和睦村/和美村,,
嘉義縣中埔鄉,嘉義縣中埔鄉第02選區,10010130-02,中埔村/塩舘村/金蘭村/社口村/灣潭村/隆興村/義仁村,,
嘉義縣中埔鄉,嘉義縣中埔鄉第03選區,10010130-03,龍門村/裕民村/深坑村/東興村/中崙村/石硦村/頂埔村/同仁村/瑞豐村/沄水村/三層村,,
嘉義縣竹崎鄉,嘉義縣竹崎鄉第01選區,10010140-01,竹崎村/和平村/坑頭村/灣橋村/沙坑村/獅埜村/義和村/義仁村,,
嘉義縣竹崎鄉,嘉義縣竹崎鄉第02選區,10010140-02,鹿滿村/內埔村/昇平村/白杞村/桃源村/紫雲村/塘興村/義隆村,,
嘉義縣竹崎鄉,嘉義縣竹崎鄉第03選區,10010140-03,仁壽村/中和村/光華村/復金村/緞繻村/金獅村/龍山村/文峯村,,
嘉義縣梅山鄉,嘉義縣梅山鄉第01選區,10010150-01,梅東村/梅南村/圳北村/過山村/梅北村/圳南村,,
嘉義縣梅山鄉,嘉義縣梅山鄉第02選區,10010150-02,半天村/大南村/永興村/双溪村/安靖村,,
嘉義縣梅山鄉,嘉義縣梅山鄉第03選區,10010150-03,太平村/碧湖村/龍眼村/太興村/瑞峯村/瑞里村/太和村,,
