行政區別,村里別,投開票所別,號次1,號次2,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
草屯鎮,北勢里,63,114,222,336,3,339,0,339,292,631,53.72%
草屯鎮,北勢里,64,116,216,332,3,335,0,335,258,593,56.49%
草屯鎮,北勢里,65,95,143,238,3,241,0,241,219,460,52.39%
草屯鎮,中原里,66,184,309,493,2,495,0,495,601,1096,45.16%
草屯鎮,中原里,67,203,272,475,3,478,0,478,426,904,52.88%
草屯鎮,南埔里,68,189,338,527,2,529,0,529,548,1077,49.12%
草屯鎮,南埔里,69,181,255,436,3,439,0,439,473,912,48.14%
草屯鎮,南埔里,70,166,363,529,4,533,0,533,462,995,53.57%
草屯鎮,南埔里,71,215,311,526,5,531,0,531,505,1036,51.25%
草屯鎮,坪頂里,72,147,372,519,3,522,0,522,426,948,55.06%
草屯鎮,土城里,73,73,222,295,3,298,0,298,310,608,49.01%
草屯鎮,土城里,74,147,278,425,1,426,0,426,516,942,45.22%
草屯鎮,平林里,75,118,512,630,2,632,0,632,372,1004,62.95%
草屯鎮,雙冬里,76,148,345,493,6,499,0,499,626,1125,44.36%
草屯鎮,雙冬里,77,107,406,513,6,519,0,519,486,1005,51.64%
