prv_code,city_code,area_code,dept_code,li_code,cand_no,cand_name,party_code,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,is_vice
09,007,01,000,0000,1,曹爾章,999,1,0591213,51,金馬地區,大學,Y,*, 
09,007,01,000,0000,2,曹丞君,1,2,0650723,46,金馬地區,高中(職),N,*, 
09,007,01,000,0000,3,劉浩晨,16,1,0800821,31,臺北市,大學,N, , 
09,007,01,000,0000,4,陳書建,1,1,0461220,64,金馬地區,高中(職),Y,*, 
09,007,01,000,0000,5,曹以標,999,1,0521005,59,金馬地區,高中(職),Y,*, 
09,007,01,000,0000,6,林惠萍,999,2,0620808,49,新北市,碩士,Y, , 
09,007,01,000,0000,7,林明揚,1,1,0521031,59,金馬地區,高中(職),Y,*, 
09,007,01,000,0000,8,楊清宇,1,1,0630616,48,金馬地區,碩士,N, , 
09,007,02,000,0000,1,周瑞國,1,1,0580405,53,金馬地區,高中(職),Y,*, 
09,007,02,000,0000,2,陳如嵐,1,1,0591201,51,金馬地區,專科,N, , 
09,007,02,000,0000,3,陳玉發,1,1,0491105,61,金馬地區,高中(職),Y,*, 
09,007,03,000,0000,1,陳善澔,999,1,0591005,52,金馬地區,高中(職),N, , 
09,007,03,000,0000,2,陳貽斌,1,1,0581116,52,金馬地區,高中(職),Y,*, 
09,007,04,000,0000,1,馮印才,999,1,0511107,59,金馬地區,高中(職),N, , 
09,007,04,000,0000,2,張永江,1,1,0490623,62,金馬地區,高中(職)以下,Y,*, 
09,020,01,000,0000,1,歐陽儀雄,1,1,0620403,49,臺北市,碩士,Y,*, 
09,020,01,000,0000,2,石永城,999,1,0620801,49,金馬地區,高中(職),Y,*, 
09,020,01,000,0000,3,許玉昭,1,2,0540814,57,金馬地區,碩士,Y,*, 
09,020,01,000,0000,4,楊霈璿,999,1,0830221,28,高雄市,碩士,N, , 
09,020,01,000,0000,5,蔡其雍,16,1,0600205,51,金馬地區,大學,N,*, 
09,020,01,000,0000,6,周曉芸,350,2,0650308,46,金馬地區,大學,N, , 
09,020,01,000,0000,7,楊永立,999,1,0480404,63,金馬地區,高中(職),Y, , 
09,020,01,000,0000,8,陳泱瑚,999,1,0631107,47,金馬地區,大學,N,*, 
09,020,01,000,0000,9,洪允典,1,1,0410903,70,金馬地區,高中(職),Y,*, 
09,020,01,000,0000,10,李養生,999,1,0411119,69,金馬地區,大學,Y,*, 
09,020,01,000,0000,11,唐麗輝,999,2,0460507,65,金馬地區,碩士,Y,!, 
09,020,01,000,0000,12,王碧珍,999,2,0480108,63,金馬地區,大學,Y, , 
09,020,01,000,0000,13,許大鴻,999,1,0860613,25,金馬地區,大學,N,*, 
09,020,01,000,0000,14,翁文奧,999,1,0580301,53,金馬地區,高中(職),N, , 
09,020,01,000,0000,15,董森堡,999,1,0671002,44,金馬地區,碩士,Y,*, 
09,020,01,000,0000,16,胡凱宇,999,1,0750904,36,金馬地區,碩士,N, , 
09,020,02,000,0000,1,陳錦偉,999,1,0630227,48,金馬地區,高中(職),N,*, 
09,020,02,000,0000,2,黃子誠,999,1,0840307,27,臺北市,碩士,N, , 
09,020,02,000,0000,3,吳金鏷,999,1,0550921,56,金馬地區,其他,N, , 
09,020,02,000,0000,4,歐陽豪,999,1,0690111,42,金馬地區,碩士,N, , 
09,020,02,000,0000,5,王國代,1,1,0590102,52,金馬地區,碩士,N,*, 
09,020,02,000,0000,6,馬自壯,1,1,0651024,46,金馬地區,專科,N, , 
09,020,02,000,0000,7,楊育菡,999,2,0820630,29,高雄市,碩士,N,*, 
09,020,02,000,0000,8,周子傑,1,1,0620118,49,金馬地區,大學,Y,*, 
09,020,02,000,0000,9,王秀玉,1,2,0570214,54,金馬地區,專科,Y,*, 
09,020,02,000,0000,10,蔡水游,999,1,0461215,64,金馬地區,高中(職),Y,*, 
09,020,02,000,0000,11,林長鴻,1,1,0560330,55,金馬地區,大學,N, , 
09,020,02,000,0000,12,吳佩雯,999,2,0710906,40,臺灣省,碩士,N, , 
09,020,02,000,0000,13,張雲量,999,1,0610222,50,金馬地區,高中(職),N,*, 
09,020,03,000,0000,1,洪成發,1,1,0410728,70,金馬地區,高中(職)以下,Y,*, 
09,020,03,000,0000,2,吳嘉將,999,1,0510218,60,金馬地區,高中(職),N, , 
09,020,03,000,0000,3,洪鴻斌,999,1,0580124,53,金馬地區,其他,Y,*, 
10,002,01,000,0000,1,陳漢澤,303,1,0670829,44,臺灣省,大學,N, , 
10,002,01,000,0000,2,魯秀傑,999,1,0680224,43,臺灣省,高中(職)以下,N, , 
10,002,01,000,0000,3,張勝德,1,1,0610921,50,臺灣省,碩士,N,*, 
10,002,01,000,0000,4,尤文瀚,350,1,0780624,33,臺灣省,大學,N, , 
10,002,01,000,0000,5,林麗,16,2,0591012,52,臺灣省,碩士,Y,*, 
10,002,01,000,0000,6,林錫明,999,1,0430915,68,臺灣省,高中(職)以下,Y,*, 
10,002,01,000,0000,7,吳福田,16,1,0381203,72,臺灣省,高中(職),N, , 
10,002,01,000,0000,8,林正芳,267,1,0521028,59,臺灣省,碩士,N, , 
10,002,01,000,0000,9,胡健森,999,1,0600619,51,臺灣省,大學,N, , 
10,002,01,000,0000,10,莊淑如,1,2,0671223,43,臺北市,碩士,Y,*, 
10,002,01,000,0000,11,黃惠慈,16,2,0830321,28,臺灣省,大學,N, , 
