area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num
臺北市,1,吳蕚洋,無黨籍及未經政黨推薦,m,0490815,58,臺中市,大學,N,N,5611
臺北市,2,丁守中,中國國民黨,m,0430901,64,高雄市,博士,N,N,577096
臺北市,3,姚文智,民主進步黨,m,0541204,52,臺北市,碩士,N,N,244342
臺北市,4,柯文哲,無黨籍及未經政黨推薦,m,0480806,59,臺灣省,博士,Y,Y,580663
臺北市,5,李錫錕,無黨籍及未經政黨推薦,m,0360616,71,新北市,博士,N,N,6158
新北市,1,蘇貞昌,民主進步黨,m,0360728,71,臺灣省,大學,N,N,873692
新北市,2,侯友宜,中國國民黨,m,0460607,61,臺灣省,博士,N,Y,1165130
桃園市,1,朱梅雪,無黨籍及未經政黨推薦,m,0531031,54,臺灣省,碩士,N,N,18200
桃園市,2,陳學聖,中國國民黨,m,0460928,61,臺北市,碩士,N,N,407234
桃園市,3,楊麗環,無黨籍及未經政黨推薦,f,0460501,61,桃園市,碩士,N,N,51518
桃園市,4,吳富彤,無黨籍及未經政黨推薦,m,0481224,58,桃園市,高中,N,N,3867
桃園市,5,鄭文燦,民主進步黨,m,0560706,51,桃園市,碩士,Y,Y,552330
臺中市,1,宋原通,無黨籍及未經政黨推薦,m,0480102,59,臺南市,碩士,N,N,15919
臺中市,2,林佳龍,民主進步黨,m,0530213,54,臺北市,碩士,Y,N,619855
臺中市,3,盧秀燕,中國國民黨,f,0500831,57,臺灣省,碩士,N,Y,827996
臺南市,1,黃偉哲,民主進步黨,m,0520926,55,臺北市,碩士,N,Y,367518
臺南市,2,高思博,中國國民黨,m,0571031,50,臺南市,博士,N,N,312874
臺南市,3,林義豐,無黨籍及未經政黨推薦,m,0370204,70,臺南市,碩士,N,N,84153
臺南市,4,許忠信,無黨籍及未經政黨推薦,m,0540601,53,臺南市,博士,N,N,45168
臺南市,5,陳永和,無黨籍及未經政黨推薦,m,0490216,58,臺南市,高中,N,N,117179
臺南市,6,蘇煥智,無黨籍及未經政黨推薦,m,0450720,62,臺南市,碩士,N,N,39778
高雄市,1,韓國瑜,中國國民黨,m,0460617,61,新北市,碩士,N,Y,892545
高雄市,2,陳其邁,民主進步黨,m,0531223,53,臺灣省,碩士,N,N,742239
高雄市,3,璩美鳳,無黨籍及未經政黨推薦,f,0550805,52,臺北市,碩士,N,N,7998
高雄市,4,蘇盈貴,無黨籍及未經政黨推薦,m,0471007,60,臺南市,博士,N,N,14125
