area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num,prv_code,city_code,area_code,dept_code,li_code
臺北市第01選區,1,王芝安,人民民主黨,f,0611008,46,臺北市,碩士,N,N,1362,63,000,01,000,0000
臺北市第01選區,2,陳建銘,無黨籍及未經政黨推薦,m,0500724,57,臺北市,博士,Y,Y,13166,63,000,01,000,0000
臺北市第01選區,3,李美津,無黨籍及未經政黨推薦,f,0550729,52,新北市,碩士,N,N,5407,63,000,01,000,0000
臺北市第01選區,4,徐書慧,無黨籍及未經政黨推薦,f,0641005,43,臺灣省,專科,N,N,3217,63,000,01,000,0000
臺北市第01選區,5,陳賢蔚,民主進步黨,m,0660712,41,高雄市,大學,N,N,12737,63,000,01,000,0000
臺北市第01選區,6,劉仕傑,社會民主黨,m,0690209,38,臺灣省,碩士,N,N,3446,63,000,01,000,0000
臺北市第01選區,7,林瑞圖,無黨籍及未經政黨推薦,m,0450610,62,臺北市,大學,Y,Y,19427,63,000,01,000,0000
臺北市第01選區,8,汪志冰,中國國民黨,f,0460420,61,臺中市,碩士,Y,Y,19120,63,000,01,000,0000
臺北市第01選區,9,謝維洲,民主進步黨,m,0720505,35,新北市,大學,Y,N,12272,63,000,01,000,0000
臺北市第01選區,10,王威中,民主進步黨,m,0720303,35,臺北市,碩士,Y,N,11322,63,000,01,000,0000
臺北市第01選區,11,王奕凱,無黨籍及未經政黨推薦,m,0740629,33,臺北市,高中,N,N,5716,63,000,01,000,0000
臺北市第01選區,12,侯漢廷,新黨,m,0771030,30,臺北市,碩士,N,Y,15656,63,000,01,000,0000
臺北市第01選區,13,黃郁芬,時代力量,f,0790317,28,臺北市,大學,N,Y,13213,63,000,01,000,0000
臺北市第01選區,14,陳政忠,無黨籍及未經政黨推薦,m,0440401,63,臺北市,碩士,Y,Y,17613,63,000,01,000,0000
臺北市第01選區,15,潘懷宗,新黨,m,0500702,57,臺北市,博士,Y,Y,17145,63,000,01,000,0000
臺北市第01選區,16,王映心,基進黨,f,0800115,27,臺北市,高中,N,N,2411,63,000,01,000,0000
臺北市第01選區,17,張斯綱,中國國民黨,m,0600909,47,臺北市,碩士,N,Y,19605,63,000,01,000,0000
臺北市第01選區,18,陳重文,中國國民黨,m,0660924,41,臺北市,碩士,Y,Y,14954,63,000,01,000,0000
臺北市第01選區,19,鍾佩玲,民主進步黨,f,0680327,39,新北市,碩士,N,Y,18423,63,000,01,000,0000
臺北市第01選區,20,林世宗,民主進步黨,m,0480613,59,臺北市,博士,Y,Y,13787,63,000,01,000,0000
臺北市第01選區,21,陳慈慧,民主進步黨,f,0721122,35,臺北市,大學,Y,Y,14562,63,000,01,000,0000
臺北市第01選區,22,林杏兒,中國國民黨,f,0700105,37,臺北市,大學,N,N,11429,63,000,01,000,0000
臺北市第01選區,23,楊靜宇,無黨籍及未經政黨推薦,m,0501002,57,臺北市,大學,N,Y,14295,63,000,01,000,0000
臺北市第02選區,1,闕枚莎,中國國民黨,f,0610405,46,臺北市,碩士,Y,Y,24248,63,000,02,000,0000
臺北市第02選區,2,王孝維,民主進步黨,m,0500610,57,新北市,碩士,Y,N,11780,63,000,02,000,0000
臺北市第02選區,3,陳義洲,中國國民黨,m,0410901,66,臺北市,碩士,Y,Y,13947,63,000,02,000,0000
臺北市第02選區,4,李明賢,中國國民黨,m,0620930,45,臺灣省,大學,N,Y,20198,63,000,02,000,0000
臺北市第02選區,5,李建昌,民主進步黨,m,0510822,56,臺灣省,碩士,Y,Y,12588,63,000,02,000,0000
臺北市第02選區,6,黃珊珊,親民黨,f,0581018,49,臺中市,大學,Y,Y,26113,63,000,02,000,0000
臺北市第02選區,7,游淑慧,中國國民黨,f,0650728,42,桃園市,大學,N,Y,20013,63,000,02,000,0000
臺北市第02選區,8,蕭新晟,時代力量,m,0711209,35,臺南市,碩士,N,N,8502,63,000,02,000,0000
臺北市第02選區,9,蕭筱臻,基進黨,f,0680821,39,新北市,高中,N,N,1195,63,000,02,000,0000
臺北市第02選區,10,吳世正,中國國民黨,m,0520411,55,臺灣省,碩士,Y,Y,13208,63,000,02,000,0000
臺北市第02選區,11,高嘉瑜,民主進步黨,f,0691017,38,臺灣省,碩士,Y,Y,34285,63,000,02,000,0000
臺北市第02選區,12,陳又新,社會民主黨,m,0710524,36,臺灣省,碩士,N,N,5037,63,000,02,000,0000
臺北市第02選區,13,江志銘,民主進步黨,m,0510810,56,臺北市,碩士,Y,Y,12825,63,000,02,000,0000
臺北市第02選區,14,吳曉東,樹黨,m,0690429,38,臺灣省,大學,N,N,1166,63,000,02,000,0000
臺北市第02選區,15,趙家蓉,新黨,f,0511111,56,臺北市,大學,N,N,5873,63,000,02,000,0000
臺北市第03選區,1,徐世勲,民國黨,m,0650130,42,臺灣省,碩士,Y,N,8675,63,000,03,000,0000
臺北市第03選區,2,林明正,新黨,m,0671202,39,臺北市,碩士,N,N,4943,63,000,03,000,0000
臺北市第03選區,3,游藝,社會民主黨,m,0611116,46,臺北市,高中(職)以下,N,N,2842,63,000,03,000,0000
臺北市第03選區,4,陳永德,中國國民黨,m,0540814,53,臺北市,大學,Y,Y,11848,63,000,03,000,0000
臺北市第03選區,5,王振鴻,中華民族致公黨,m,0700925,37,臺北市,大學,N,N,575,63,000,03,000,0000
臺北市第03選區,6,洪健益,民主進步黨,m,0591103,48,臺北市,碩士,Y,Y,16014,63,000,03,000,0000
