area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num,prv_code,city_code,area_code,dept_code,li_code
新竹縣竹北市斗崙里,1,張琬媃,無黨籍及未經政黨推薦,f,0801001,27,臺灣省,碩士,N,Y,1790,10,004,00,010,0001
新竹縣竹北市斗崙里,2,鄭智銘,中國國民黨,m,0750111,32,臺灣省,大學,N,N,1634,10,004,00,010,0001
新竹縣竹北市鹿場里,1,范光仁,無黨籍及未經政黨推薦,m,0560612,51,臺灣省,高中,N,Y,3306,10,004,00,010,0002
新竹縣竹北市鹿場里,2,邱加雄,中國國民黨,m,0370801,70,臺灣省,高中(職)以下,Y,N,2316,10,004,00,010,0002
新竹縣竹北市東平里,1,林顥峰,無黨籍及未經政黨推薦,m,0460501,61,臺灣省,高中,Y,Y,5342,10,004,00,010,0003
新竹縣竹北市中興里,1,莊淙澍,無黨籍及未經政黨推薦,m,0730623,34,臺北市,博士,N,Y,2423,10,004,00,010,0004
新竹縣竹北市中興里,2,劉椿榮,無黨籍及未經政黨推薦,m,0410424,66,臺灣省,高中(職)以下,Y,N,1402,10,004,00,010,0004
新竹縣竹北市隘口里,1,林洪文,無黨籍及未經政黨推薦,m,0391110,68,臺灣省,高中(職)以下,N,Y,890,10,004,00,010,0005
新竹縣竹北市隘口里,2,彭添保,無黨籍及未經政黨推薦,m,0570419,50,臺灣省,高中,N,N,404,10,004,00,010,0005
新竹縣竹北市隘口里,3,李昆哲,無黨籍及未經政黨推薦,m,0681130,38,臺中市,高中,N,N,192,10,004,00,010,0005
新竹縣竹北市東海里,1,簡秀蓮,中國國民黨,f,0521225,54,新北市,高中(職)以下,Y,Y,1688,10,004,00,010,0006
新竹縣竹北市竹北里,1,李麗惠,無黨籍及未經政黨推薦,f,0560520,51,臺灣省,高中,Y,Y,1859,10,004,00,010,0007
新竹縣竹北市竹北里,2,陳文生,無黨籍及未經政黨推薦,m,0481217,58,臺灣省,高中,N,N,1643,10,004,00,010,0007
新竹縣竹北市竹仁里,1,劉堂隆,無黨籍及未經政黨推薦,m,0510908,56,臺灣省,高中,Y,Y,4754,10,004,00,010,0008
新竹縣竹北市竹義里,1,彭世雄,無黨籍及未經政黨推薦,m,0431109,64,臺灣省,高中(職)以下,N,N,952,10,004,00,010,0009
新竹縣竹北市竹義里,2,徐明兆,無黨籍及未經政黨推薦,m,0500120,57,桃園市,大學,Y,Y,2120,10,004,00,010,0009
新竹縣竹北市泰和里,1,羅敏功,中國國民黨,m,0470213,60,臺灣省,大學,Y,Y,2827,10,004,00,010,0010
新竹縣竹北市新社里,1,郭書楷,無黨籍及未經政黨推薦,m,0650813,42,臺灣省,高中(職)以下,N,N,1017,10,004,00,010,0011
新竹縣竹北市新社里,2,范植雄,中國國民黨,m,0430824,64,臺灣省,高中(職)以下,Y,Y,2017,10,004,00,010,0011
新竹縣竹北市新社里,3,鄭高任,無黨籍及未經政黨推薦,m,0720412,35,臺灣省,高中(職)以下,N,N,627,10,004,00,010,0011
新竹縣竹北市新社里,4,曾德龍,無黨籍及未經政黨推薦,m,0570317,50,新北市,碩士,N,N,290,10,004,00,010,0011
新竹縣竹北市聯興里,1,林寶玉,無黨籍及未經政黨推薦,f,0380601,69,臺灣省,高中(職)以下,N,N,1309,10,004,00,010,0012
新竹縣竹北市聯興里,2,陳威男,無黨籍及未經政黨推薦,m,0750205,32,臺灣省,高中,Y,Y,1454,10,004,00,010,0012
新竹縣竹北市麻園里,1,許榮生,無黨籍及未經政黨推薦,m,0401201,66,臺灣省,高中,Y,Y,1166,10,004,00,010,0013
新竹縣竹北市溪州里,1,吳林斌,無黨籍及未經政黨推薦,m,0450820,62,臺灣省,高中(職)以下,N,N,687,10,004,00,010,0014
新竹縣竹北市溪州里,2,楊明哲,無黨籍及未經政黨推薦,m,0530921,54,臺灣省,高中,Y,Y,877,10,004,00,010,0014
新竹縣竹北市白地里,1,陳麗瓊,無黨籍及未經政黨推薦,f,0440826,63,臺灣省,高中(職)以下,N,N,580,10,004,00,010,0015
新竹縣竹北市白地里,2,陳相進,無黨籍及未經政黨推薦,m,0450426,62,臺灣省,高中(職)以下,Y,Y,929,10,004,00,010,0015
新竹縣竹北市新港里,1,戴章興,無黨籍及未經政黨推薦,m,0490205,58,臺灣省,高中,Y,Y,757,10,004,00,010,0016
新竹縣竹北市大義里,1,曾台安,無黨籍及未經政黨推薦,m,0720706,35,臺灣省,大學,N,Y,573,10,004,00,010,0017
新竹縣竹北市大義里,2,曾聰榮,無黨籍及未經政黨推薦,m,0551023,52,臺灣省,高中,Y,N,551,10,004,00,010,0017
新竹縣竹北市崇義里,1,林秋榮,無黨籍及未經政黨推薦,m,0470220,60,臺灣省,高中(職)以下,Y,Y,1164,10,004,00,010,0018
新竹縣竹北市大眉里,1,張文和,中國國民黨,m,0300324,77,臺灣省,高中(職)以下,Y,N,542,10,004,00,010,0019
