行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,號次5,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
東區,短竹里,0001,319,145,0,1,2,467,0,467,0,467,549,"1,016",45.96%
東區,短竹里,0002,382,192,0,4,1,579,5,584,0,584,705,"1,289",45.31%
東區,蘭潭里,0003,242,107,2,4,4,359,2,361,0,361,647,"1,008",35.81%
東區,蘭潭里,0004,377,168,0,1,2,548,1,549,0,549,613,"1,162",47.25%
東區,東川里,0005,257,95,1,1,1,355,3,358,0,358,442,800,44.75%
東區,東川里,0006,286,126,1,3,2,418,0,418,0,418,447,865,48.32%
東區,鹿寮里,0007,253,143,1,0,1,398,3,401,0,401,620,"1,021",39.28%
東區,盧厝里,0008,220,139,0,6,2,367,1,368,0,368,514,882,41.72%
東區,盧厝里,0009,286,142,0,5,3,436,1,437,0,437,540,977,44.73%
東區,文雅里,0010,361,190,0,5,3,559,3,562,0,562,684,"1,246",45.10%
東區,文雅里,0011,352,134,0,4,2,492,0,492,0,492,675,"1,167",42.16%
東區,文雅里,0012,351,124,0,0,2,477,1,478,0,478,628,"1,106",43.22%
東區,王田里,0013,356,175,0,3,4,538,1,539,0,539,561,"1,100",49.00%
東區,王田里,0014,374,180,0,2,1,557,1,558,0,558,536,"1,094",51.01%
東區,長竹里,0015,250,147,3,1,3,404,0,404,0,404,517,921,43.87%
東區,長竹里,0016,259,146,0,3,1,409,0,409,0,409,534,943,43.37%
東區,長竹里,0017,277,120,1,0,1,399,0,399,0,399,545,944,42.27%
東區,後庄里,0018,378,210,2,6,3,599,5,604,0,604,793,"1,397",43.24%
東區,後庄里,0019,352,144,1,2,2,501,4,505,0,505,500,"1,005",50.25%
東區,後庄里,0020,499,162,1,2,5,669,2,671,0,671,740,"1,411",47.55%
東區,新店里,0021,296,146,2,1,0,445,2,447,0,447,569,"1,016",44.00%
東區,新店里,0022,347,140,2,2,5,496,2,498,0,498,633,"1,131",44.03%
東區,新店里,0023,237,110,0,2,1,350,1,351,0,351,517,868,40.44%
東區,新店里,0024,329,135,1,0,1,466,0,466,0,466,483,949,49.10%
東區,圳頭里,0025,439,87,2,3,0,531,1,532,0,532,657,"1,189",44.74%
東區,圳頭里,0026,460,160,2,3,1,626,4,630,0,630,608,"1,238",50.89%
東區,圳頭里,0027,277,119,1,4,2,403,1,404,0,404,419,823,49.09%
東區,圳頭里,0028,241,111,0,0,1,353,1,354,0,354,500,854,41.45%
東區,中山里,0029,344,153,1,5,1,504,2,506,0,506,599,"1,105",45.79%
東區,中山里,0030,216,118,2,2,1,339,3,342,0,342,326,668,51.20%
東區,太平里,0031,439,127,0,3,1,570,1,571,0,571,829,"1,400",40.79%
東區,太平里,0032,420,184,0,3,1,608,3,611,0,611,699,"1,310",46.64%
東區,太平里,0033,378,172,0,4,5,559,1,560,0,560,748,"1,308",42.81%
東區,東興里,0034,262,143,0,3,1,409,2,411,0,411,425,836,49.16%
東區,東興里,0035,225,192,0,1,1,419,1,420,0,420,435,855,49.12%
東區,華南里,0036,241,138,0,2,2,383,2,385,0,385,474,859,44.82%
東區,華南里,0037,244,160,2,3,2,411,3,414,0,414,547,961,43.08%
東區,中央里,0038,254,234,0,4,4,496,4,500,0,500,584,"1,084",46.13%
東區,中央里,0039,276,216,4,3,0,499,2,501,0,501,440,941,53.24%
東區,朝陽里,0040,234,177,1,0,0,412,2,414,0,414,464,878,47.15%
東區,朝陽里,0041,288,144,0,2,1,435,1,436,0,436,511,947,46.04%
東區,民族里,0042,243,126,0,3,0,372,3,375,0,375,473,848,44.22%
東區,民族里,0043,155,121,1,1,1,279,0,279,0,279,492,771,36.19%
東區,過溝里,0044,269,146,1,1,1,418,0,418,0,418,505,923,45.29%
東區,過溝里,0045,244,196,0,2,2,444,1,445,0,445,504,949,46.89%
東區,新開里,0046,245,126,0,0,0,371,2,373,0,373,482,855,43.63%
東區,新開里,0047,294,121,1,1,2,419,3,422,0,422,610,"1,032",40.89%
東區,宣信里,0048,298,204,3,2,1,508,2,510,0,510,691,"1,201",42.46%
東區,興南里,0049,232,151,2,0,2,387,3,390,0,390,391,781,49.94%
東區,興南里,0050,187,119,2,2,1,311,1,312,0,312,436,748,41.71%
東區,豐年里,0051,282,199,1,2,3,487,0,487,0,487,678,"1,165",41.80%
東區,芳草里,0052,280,166,0,0,1,447,4,451,0,451,621,"1,072",42.07%
東區,芳草里,0053,339,117,0,1,2,459,0,459,0,459,715,"1,174",39.10%
東區,芳草里,0054,307,159,2,1,4,473,1,474,0,474,575,"1,049",45.19%
東區,芳安里,0055,300,152,1,3,2,458,4,462,0,462,526,988,46.76%
東區,芳安里,0056,315,178,1,2,1,497,3,500,0,500,612,"1,112",44.96%
東區,頂寮里,0057,322,234,3,0,3,562,6,568,0,568,635,"1,203",47.22%
東區,頂寮里,0058,314,174,0,5,2,495,3,498,0,498,680,"1,178",42.28%
東區,安寮里,0059,380,213,0,3,0,596,0,596,0,596,769,"1,365",43.66%
東區,安寮里,0060,368,186,3,1,3,561,4,565,0,565,677,"1,242",45.49%
東區,安業里,0061,277,87,1,5,1,371,0,371,0,371,551,922,40.24%
東區,安業里,0062,278,145,1,3,0,427,3,430,0,430,546,976,44.06%
東區,興村里,0063,317,204,0,6,1,528,2,530,0,530,561,"1,091",48.58%
東區,興村里,0064,329,139,3,3,1,475,2,477,0,477,676,"1,153",41.37%
東區,興村里,0065,446,143,2,4,5,600,1,601,0,601,909,"1,510",39.80%
東區,興安里,0066,294,143,1,4,2,444,2,446,0,446,685,"1,131",39.43%
東區,興安里,0067,220,96,0,5,1,322,2,324,0,324,573,897,36.12%
東區,興安里,0068,339,145,1,3,3,491,2,493,0,493,594,"1,087",45.35%
東區,興仁里,0069,318,180,1,2,0,501,5,506,0,506,621,"1,127",44.90%
東區,興仁里,0070,370,167,0,5,3,545,1,546,0,546,691,"1,237",44.14%
東區,興仁里,0071,289,157,2,4,4,456,3,459,0,459,653,"1,112",41.28%
東區,北門里,0072,299,165,2,2,1,469,1,470,0,470,561,"1,031",45.59%
東區,北門里,0073,249,183,0,6,3,441,2,443,0,443,457,900,49.22%
東區,林森里,0074,364,215,0,3,1,583,0,583,0,583,646,"1,229",47.44%
東區,林森里,0075,238,156,0,2,1,397,1,398,0,398,509,907,43.88%
東區,中庄里,0076,284,146,2,1,3,436,1,437,0,437,551,988,44.23%
東區,中庄里,0077,323,149,0,0,3,475,4,479,0,479,605,"1,084",44.19%
東區,中庄里,0078,295,146,0,3,2,446,3,449,0,449,551,"1,000",44.90%
東區,頂庄里,0079,353,143,2,3,2,503,0,503,0,503,633,"1,136",44.28%
東區,頂庄里,0080,297,130,1,4,4,436,1,437,0,437,465,902,48.45%
東區,義教里,0081,352,188,0,3,1,544,2,546,0,546,800,"1,346",40.56%
東區,義教里,0082,305,189,4,3,2,503,0,503,0,503,800,"1,303",38.60%
東區,仁義里,0083,351,161,0,3,6,521,1,522,0,522,792,"1,314",39.73%
東區,仁義里,0084,440,184,0,2,4,630,3,633,0,633,743,"1,376",46.00%
東區,後湖里,0085,286,204,0,0,1,491,1,492,0,492,579,"1,071",45.94%
東區,後湖里,0086,381,192,1,4,2,580,3,583,0,583,599,"1,182",49.32%
東區,後湖里,0087,308,141,1,3,1,454,0,454,0,454,606,"1,060",42.83%
東區,荖藤里,0088,282,276,2,4,0,564,3,567,0,567,666,"1,233",45.99%
東區,荖藤里,0089,255,100,0,3,2,360,0,360,0,360,587,947,38.01%
東區,荖藤里,0090,288,103,1,2,2,396,0,396,0,396,737,"1,133",34.95%
東區,荖藤里,0091,299,154,1,5,0,459,0,459,0,459,632,"1,091",42.07%
西區,書院里,0092,262,145,0,1,0,408,3,411,0,411,397,808,50.87%
西區,書院里,0093,295,166,2,3,2,468,3,471,0,471,505,976,48.26%
西區,永和里,0094,265,134,4,4,1,408,5,413,0,413,484,897,46.04%
西區,永和里,0095,276,144,3,3,3,429,3,432,0,432,446,878,49.20%
西區,新富里,0096,391,343,1,7,1,743,2,745,0,745,802,"1,547",48.16%
西區,文化里,0097,338,167,2,4,1,512,2,514,0,514,631,"1,145",44.89%
西區,文化里,0098,221,219,0,2,1,443,3,446,0,446,501,947,47.10%
西區,西榮里,0099,288,222,4,1,2,517,1,518,0,518,587,"1,105",46.88%
西區,西榮里,0100,274,230,1,5,2,512,4,516,0,516,536,"1,052",49.05%
西區,番社里,0101,382,273,2,4,3,664,4,668,0,668,628,"1,296",51.54%
西區,國華里,0102,353,210,1,3,0,567,1,568,0,568,655,"1,223",46.44%
西區,大溪里,0103,264,167,3,2,3,439,2,441,0,441,570,"1,011",43.62%
西區,大溪里,0104,311,173,3,6,2,495,1,496,0,496,631,"1,127",44.01%
西區,磚?里,0105,253,185,3,1,1,443,4,447,0,447,560,"1,007",44.39%
西區,磚?里,0106,255,196,2,1,2,456,2,458,0,458,661,"1,119",40.93%
西區,磚?里,0107,317,176,3,1,1,498,1,499,0,499,751,"1,250",39.92%
西區,福全里,0108,287,189,1,0,3,480,2,482,0,482,643,"1,125",42.84%
西區,福全里,0109,312,217,3,5,1,538,3,541,0,541,693,"1,234",43.84%
西區,福全里,0110,414,212,1,3,1,631,1,632,0,632,"1,007","1,639",38.56%
