"prv_code","city_code","area_code","dept_code","li_code","cand_no","cand_name","party_code","cand_sex","cand_birthday","cand_age","cand_bornplace","cand_edu","is_current","is_victor","is_vice"
"10","018","01","000","0000","1","趙福龍","195","1","0440330","68","臺灣省","專科","N"," "," "
"63","000","07","000","0000","1","李承龍","339","1","0470213","65","臺北市","大學","N"," "," "
"10","009","01","000","0000","1","郭炳宏","113","1","0870522","25","臺灣省","大學","N"," "," "
"63","000","03","000","0000","1","余新造","153","1","0521018","60","桃園市","大學","N"," "," "
"68","000","03","000","0000","1","戴浙","195","1","0371105","75","其他省市","博士","N"," "," "
"63","000","06","000","0000","1","張雪卿","195","2","0400118","72","臺北市","大學","N"," "," "
"63","000","02","000","0000","1","熊嘉玲","195","2","0581107","54","臺北市","碩士","N"," "," "
"63","000","08","000","0000","1","劉佩玲","356","2","0740820","38","臺中市","碩士","N"," "," "
"10","013","01","000","0000","1","曾鈺庭","999","1","0620309","50","臺灣省","專科","N"," "," "
"09","007","01","000","0000","1","李問","16","1","0780304","34","臺灣省","碩士","N"," "," "
"10","004","01","000","0000","1","劉復嵐","356","1","0630509","49","臺灣省","大學","N"," "," "
"09","020","01","000","0000","1","洪和成","999","1","0500922","62","金馬地區","大學","N"," "," "
"65","000","12","000","0000","1","黃瑞傳","999","1","0390407","73","臺灣省","專科","N"," "," "
"10","017","01","000","0000","1","邱紹祐","80","1","0721209","40","臺北市","大學","N"," "," "
"68","000","06","000","0000","1","葉堂宇","999","1","0471229","65","臺灣省","博士","N"," "," "
"65","000","01","000","0000","1","徐百弟","356","1","0410102","71","其他省市","其他","N"," "," "
"66","000","05","000","0000","1","彭振芳","382","1","0530520","59","臺中市","專科","N"," "," "
"64","000","08","000","0000","1","李政憲","382","1","0450702","67","高雄市","高中(職)","N"," "," "
"65","000","10","000","0000","1","孟藹倫","153","2","0440527","68","高雄市","大學","N"," "," "
"64","000","05","000","0000","1","楊椒喬","999","1","0630420","49","臺灣省","大學","N"," "," "
"10","008","02","000","0000","1","陳癸佑","999","1","0570915","55","臺灣省","大學","N"," "," "
"10","013","02","000","0000","1","吳媚宮","191","2","0540109","58","臺南市","高中(職)","N"," "," "
"10","007","04","000","0000","1","鄭錫懋","366","1","0691121","43","臺灣省","大學","N"," "," "
"66","000","03","000","0000","1","張烱春","382","1","0540330","58","臺中市","專科","N"," "," "
"10","007","03","000","0000","1","洪建興","999","1","0680206","44","臺灣省","高中(職)","N"," "," "
"10","015","01","000","0000","1","許願神","999","1","0430612","69","臺灣省","專科","N"," "," "
"10","010","02","000","0000","1","廖昱婧","999","2","0670211","45","其他省市","高中(職)","N"," "," "
"64","000","03","000","0000","1","郭璽","379","1","0470831","65","臺中市","大學","N"," "," "
"65","000","06","000","0000","1","黃淑珍","382","2","0540901","58","高雄市","其他","N"," "," "
"64","000","07","000","0000","1","洪啟修","999","1","0771002","35","高雄市","高中(職)","N"," "," "
"67","000","01","000","0000","1","魏耀乾","999","1","0390205","73","臺南市","碩士","N"," "," "
"67","000","04","000","0000","1","劉清田","382","1","0470106","65","臺南市","碩士","N"," "," "
"65","000","04","000","0000","1","洪懿馥","999","2","0670905","45","臺北市","碩士","N"," "," "
"64","000","06","000","0000","1","郭倍宏","348","1","0440531","68","臺南市","大學","N"," "," "
"68","000","01","000","0000","1","馬治薇","999","2","0720517","40","桃園市","大學","N"," "," "
"10","014","01","000","0000","1","賴坤成","16","1","0530603","59","臺灣省","大學","N"," "," "
"10","016","01","000","0000","1","楊曜","16","1","0551206","57","臺灣省","大學","Y","*"," "
"67","000","05","000","0000","1","蕭燐洪","366","1","0320214","80","高雄市","其他","N"," "," "
"64","000","01","000","0000","1","林義迪","999","1","0481105","64","高雄市","專科","N"," "," "
"10","010","01","000","0000","1","詹琬蓁","1","2","0660322","46","新北市","碩士","N"," "," "
"67","000","03","000","0000","1","姚正玉","1","2","0551221","57","臺南市","大學","N"," "," "
"63","000","05","000","0000","1","鍾小平","1","1","0510827","61","新北市","碩士","N"," "," "
