party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
中國國民黨,261421,166091,110198,463133,407234,557572,361213,436350,432644,2783,1683,1095,3018,2825,2299
無黨籍及未經政黨推薦,654215,814860,896150,9943,73585,30282,225854,214373,179029,3455,5331,5795,3194,4166,2456
人民民主陣線,145,,,,,,290,,,,,,,,
民主進步黨,4496,4037,1434,492414,552330,428983,302881,311697,367627,,,,,,1829
中華統一促進黨,615,,323,,,,,,,,,,,,
親民黨,,,,,,,14920,8649,184,,,,,,
新黨,,,,,,,7207,,4266,,,,,,
台灣團結聯盟,,,,,,,11340,,,,,,,,
無黨團結聯盟,,,,,,,12454,,,,,,,,
綠黨,,,,,,,25913,31755,4204,,,,,,
臺灣建國黨,,,,,,,81,,,,,,,,
台灣主義黨,,,,,,,597,,,,,,,,
華裔和合黨,,580,,,,,,,,,,,,,
正義聯盟,,570,,,,,,,,,,,,,
台灣學習黨,,613,181,,,,,,,,,,,,
青年陽光黨,,1499,,,,,,,,,,,,,
中華民族致公黨,,731,,,,,,,,,,,,,
時代力量,,,,,,,,11234,24445,,,,,,
民國黨,,,,,,,,6487,,,,,,,
左翼聯盟,,,,,,,,1150,,,,,,,
軍公教聯盟黨,,,,,,,,429,,,,,,,
天一黨,,,397,,,,,,,,,,,,
統一聯盟黨,,,1508,,,,,,,,,,,,
台灣民眾黨,,,1639,,,54926,,,32374,,,156,,,429
台灣基進,,,,,,,,,5995,,,,,,
小民參政歐巴桑聯盟,,,,,,,,,6226,,,,,,
台灣維新,,,,,,,,,342,,,,,,
