party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
中國國民黨,71805,7906,3453,147547,175756,32026,129212,92234,43747,63314,23824,7958,122732,124513,77302
無黨籍及未經政黨推薦,232904,290243,274479,79278,128614,129467,137615,158199,177508,228518,269512,269299,186812,174766,194558
民主進步黨,668,,,89838,,91260,43906,43034,43746,17796,6351,4360,,3081,7745
樹黨,,,,,,,3819,,,,,,,,
青年陽光黨,,366,,,,,,,,,,,,,
時代力量,,,,,,39347,,10328,10787,,,,,,
中華統一促進黨,,,1494,,,,,943,1160,,,,,,
台灣民眾黨,,,,,,,,,12160,,,3179,,,
共和黨,,,,,,,,,,,,114,,,
