party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
無黨籍及未經政黨推薦,371708,372056,346574,,17424,6694,207307,190357,182556,332697,294236,305178,152979,187222,170154
中國國民黨,12182,7578,4706,175862,210770,207519,63354,72660,63868,24179,34099,25186,57800,47674,43356
民主進步黨,8403,,,232900,163325,152620,126952,111941,94513,44784,55226,28366,191547,137156,147802
中華統一促進黨,1285,,,,,,,,,1290,,,,,
台灣團結聯盟,,,,,,,9842,6161,9036,,,,,,
皇君人民政黨,,43,,,,,,673,,,,,,,
時代力量,,,,,,,,8388,,,,,,,
台灣民眾黨,,,,,,,,,14763,,,,,,
台灣君民黨,,,,,,,,,563,,,,,,
