party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
中國國民黨,36294,8764,22682,15146,23520,19340,33834,19603,14832,30456,17896,20406,33161,21299,36029
無黨籍及未經政黨推薦,7053,38931,22341,29867,24474,27600,10118,26182,28928,13347,26662,25357,9974,26793,9596
新黨,221,,,,,,,,,,,,,,
民主進步黨,,,,,,,1491,190,1963,491,,303,,,
教科文預算保障e聯盟,,,,403,403,,,,,,,,,,
親民黨,,,,,,,,440,,254,,,,,
中華民族致公黨,,,,,,,,1782,,,3565,,,,
金門高粱黨,,,,,832,,,,,,,,,,
青年陽光黨,,,,,,,,,,,,,,433,
台灣民眾黨,,,,,,,,,1157,,,,,,
龍黨,,,,,,174,,,,,,,,,
