party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
中國國民黨,53790,24197,22129,75564,60508,39391,70951,77667,63115,,,,,,
無黨籍及未經政黨推薦,131756,177121,175784,47495,48983,2665,78954,64373,52753,,,,,,
綠黨,,918,,,,,3279,7254,3797,,,,,,
民主進步黨,,,1709,76578,107612,77764,33124,48024,51839,,,,,,
台灣團結聯盟,,,,,,,5127,,,,,,,,
新黨,,,,,,,407,,,,,,,,
親民黨,,,,,,,5688,2259,,,,,,,
時代力量,,,,,,,,14949,17419,,,,,,
台灣民眾黨,,,3680,,,98121,,,25213,,,,,,
小民參政歐巴桑聯盟,,,,,,,,,245,,,,,,
