party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
中國國民黨,35586,21130,13866,66108,58558,,38651,33272,33806,,,,,,
無黨籍及未經政黨推薦,91595,109180,92837,1749,27394,,63197,68714,42864,,,,,,
樹黨,356,,,,,,1216,,,,,,,,
民主進步黨,6745,1929,631,74698,56256,,34777,31903,28387,,,,,,
台灣團結聯盟,,,,,,,6727,4578,2188,,,,,,
人民民主陣線,,,,2747,,,,,,,,,,,
時代力量,,,,,,,,1865,2732,,,,,,
台灣民眾黨,,,744,,,,,,870,,,,,,
台灣基進,,,,,,,,,3241,,,,,,
