party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
無黨籍及未經政黨推薦,1232908,1436176,1355302,22207,,,218048,251614,138809,3270,3903,3542,3775,3946,3555
中國國民黨,467648,434078,318384,959302,1165130,1152555,741177,939504,837358,528,,,,,
民主進步黨,78054,52404,38913,934774,873692,693976,824417,681295,694539,,,,,,
人民民主陣線,1998,,,,,,5791,,,,,,,,
台灣團結聯盟,557,,,,,,41088,,,,,,,,
樹黨,126,1053,,,,,,1780,,,,,,,
親民黨,752,,,,,,23981,,,,,,,,
中華統一促進黨,1570,1041,159,,,,,,,,,,,,
綠黨,,,,,,,14125,5324,,,,,,,
人民最大黨,,,,,,,614,,,,,,,,
新黨,,,,,,,33398,6075,2689,,,,,,
中華民主向日葵憲政改革聯盟,,,,,,,389,,,,,,,,
青年陽光黨,,2917,,,,,,,,,,,,,
人民民主黨,,287,,,,,,,,,,,,,
台灣進步黨,,37,,,,,,,,,,,,,
天宙和平統一家庭黨,,163,,,,,,,,,,,,,
台灣整復師聯盟工黨,,212,,,,,,,,,,,,,
經濟黨,,27,,,,,,,,,,,,,
時代力量,,534,597,,,,,90321,21731,,,,,,
無黨團結聯盟,,,,,,,,41553,32085,,,,,,
基進黨,,,,,,,,3444,,,,,,,
正黨,,,199,,,,,281,,,,,,,
中華民國國政監督聯盟,,,,,,,,1195,,,,,,,
軍公教聯盟黨,,,,,,,,505,,,,,,,
夏潮聯合會,,,132,,,,,,,,,,,,
統一聯盟黨,,,573,,,,,,,,,,,,
台灣民眾黨,,,1664,,,,,,80072,,,,,,
新華勞動黨,,,685,,,,,,,,,,,,
台灣基進,,,,,,,,,889,,,,,,
小民參政歐巴桑聯盟,,,,,,,,,17073,,,,,,
中國和平統一黨,,,,,,,,,182,,,,,,
台灣維新,,,,,,,,,1853,,,,,,
勞動黨,,,,,,,,,2035,,,,,,
