party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
中國國民黨,13445,6943,4064,23533,20570,17081,19434,9301,11976,3714,4996,1707,17442,18819,13902
無黨籍及未經政黨推薦,36216,43999,44437,,14998,15384,26891,33727,29094,44048,39184,42485,28248,20640,26979
無黨團結聯盟,195,,,,,,579,3483,1696,,,,,,
綠黨,,,,,,,773,,,,,,,,
民主進步黨,,307,,29164,17347,18777,3821,5353,6705,2763,5119,3515,6636,12288,9821
樹黨,,,,,,,,379,,,2643,,,,
時代力量,,,,,,,,505,,,,1219,,,
台灣民眾黨,,,,,,,,,1291,,,1265,,,
