party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
中國國民黨,5651,6011,5877,6619,4861,7919,4265,5913,5508,4895,4912,5259,5681,6682,7912
無黨籍及未經政黨推薦,384,999,1173,,1620,,2375,1576,2800,1635,2635,2743,835,,284
中華統一促進黨,,,,,,,,,,93,,,,,
樹黨,,,,,927,,,,,,,,,,
民主進步黨,,,928,,,586,,,151,,,447,,,143
