party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
無黨籍及未經政黨推薦,271625,279063,262139,8639,55616,,67013,93076,80328,216340,248305,246872,85507,103495,99015
民主進步黨,7883,,,193399,145288,171777,163524,138722,135493,51037,10360,3072,179093,155050,145051
中國國民黨,15216,3964,1808,104488,84243,101517,68903,59797,58994,35889,25946,23328,36708,16824,25598
中華統一促進黨,875,,,,,,,,,1061,,,,,
台灣團結聯盟,,,,,,,1053,,,,,,,,
親民黨,,,,,,,3076,,,,,,,,
農民黨,,157,,,,,,,,,,,,,
