party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
無黨籍及未經政黨推薦,628244,680016,714254,882490,592432,346013,96238,154473,149662,,,,,,
天宙和平統一家庭黨,558,,845,,,,,,,,,,,,
中國國民黨,604249,508147,462272,609932,577096,575590,567792,579435,549615,,,,,,
民主進步黨,125509,101049,61202,,244342,434558,578068,408853,427666,,,,,,
親民黨,900,,,,,,65710,52189,,,,,,,
人民民主陣線,4726,,,,,,3642,,,,,,,,
樹黨,1482,,,,,,30903,6153,,,,,,,
台灣團結聯盟,2644,,,,,,43291,872,,,,,,,
綠黨,834,,,,,,,,1704,,,,,,
新黨,,,,,,,86129,61858,27467,,,,,,
華聲黨,,,,,,,207,,,,,,,,
三等國民公義人權自救黨,,,,1624,,,,,,,,,,,
青年陽光黨,,5440,467,,,,,,,,,,,,
中華民族致公黨,,935,51,,,,,947,,,,,,,
人民民主黨,,2415,2275,,,,,1362,,,,,,,
中國國家社會主義勞工黨,,161,,,,,,,99,,,,,,
社會民主黨,,,,,,,,35762,28417,,,,,,
時代力量,,,,,,,,63199,11767,,,,,,
基進黨,,,,,,,,3606,,,,,,,
民國黨,,,,,,,,8675,,,,,,,
新政世紀黨,,,,,,,,152,,,,,,,
公民黨,,,,,,,,845,,,,,,,
中國民主進步黨,,,,,,,,286,,,,,,,
愛心黨,,,,,,,,115,,,,,,,
左翼聯盟,,,,,,,,1216,,,,,,,
台灣民眾黨,,,2122,,,,,,123511,,,,,,
中華文化復興在理黨,,,947,,,,,,,,,,,,
經濟黨,,,360,,,,,,,,,,,,
中國民眾黨,,,125,,,,,,,,,,,,
台灣進步黨,,,256,,,,,,,,,,,,
人民最大黨,,,1263,,,,,,,,,,,,
共和黨,,,,,,316,,,67,,,,,,
金色力量黨,,,,,,,,,816,,,,,,
台灣基進,,,,,,,,,10186,,,,,,
小民參政歐巴桑聯盟,,,,,,,,,1469,,,,,,
台灣動物保護黨,,,,,,2367,,,4480,,,,,,
臺灣人民共產黨,,,,,,,,,165,,,,,,
台澎黨,,,,,,256,,,,,,,,,
台灣維新,,,,,,1851,,,,,,,,,
