party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
中國國民黨,85685,88158,77080,43504,121297,96645,95394,95986,70532,94951,86407,76438,80585,109992,107322
無黨籍及未經政黨推薦,67383,74041,62272,114025,4420,4817,35003,49955,55028,48329,66524,53537,48601,38422,30471
民主進步黨,571,1388,1202,,43879,47845,26431,21315,16600,11444,11253,12431,28177,19482,8373
親民黨,105,,,,,,1473,,,480,,,,,
人民民主陣線,,,,,,,,,,753,,,,,
時代力量,,,,,,,,1109,2071,,,,,,
人民民主黨,,,1553,,,,,,,,1111,,,,
台灣民眾黨,,,53,,,,,,3476,,,2728,,,
全國人民黨,,,198,,,,,,,,,,,,
前進黨,,,350,,,,,,,,,,,,
