party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
無黨籍及未經政黨推薦,604218,646828,594562,48267,49355,8474,188537,186333,134923,477805,481133,476149,190496,247007,259739
中國國民黨,65664,29898,14676,284738,377795,369133,281619,313668,265621,103682,99784,63629,262069,251127,203200
民主進步黨,13939,8618,9252,386405,283269,272817,242667,193157,206219,117381,115858,91989,260915,204831,173401
台灣團結聯盟,513,,,,,,865,,,,,,2696,,
台灣民族黨,,,,,,,741,,,,,,,,
中華統一促進黨,,159,,,,,,330,,,,,,,
中華文化民主黨,,144,,,,,,,,,,,,,
時代力量,,,,,,,,8721,12875,,,3111,,,
華裔和合黨,,,,,,,,,,,119,,,,
台灣民眾黨,,,,,,,,,26270,,,5219,,,
台灣維新,,,,,,,,,560,,,,,,
