party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
無黨籍及未經政黨推薦,118085,154446,151087,35454,,2755,39369,40308,29666,,,,,,
中國國民黨,56681,24181,18841,52198,86529,96784,84700,80093,79607,,,,,,
人民民主陣線,1729,,,1376,,,3014,,,,,,,,
民主進步黨,3668,1707,1367,101010,102167,71354,47931,46724,54091,,,,,,
親民黨,,,71,,,,10808,10940,9972,,,,,,
台灣團結聯盟,,,,,,,2343,,,,,,,,
綠黨,,,,,,,1048,,,,,,,,
人民民主黨,,119,108,,,,,,,,,,,,
民國黨,,,,,,,,5711,,,,,,,
時代力量,,,,,,12000,,3732,2612,,,,,,
全民生活政策黨,,,,,,,,75,,,,,,,
台灣民眾黨,,,,,,,,,5190,,,,,,
