party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
無黨籍及未經政黨推薦,199754,209543,209510,,30745,1750,57445,84338,63403,107377,141949,148098,30156,39464,24925
中國國民黨,25401,23132,9926,90320,123767,119421,92543,84590,72766,67096,51901,43231,94821,104835,92851
民主進步黨,15141,8557,4717,160253,95609,96779,94092,70189,79558,69775,48841,35789,121204,103667,106293
台灣民族黨,29,,,,,,,,,,,,,,
樹黨,571,,,,,,3594,,,,,,,,
台灣團結聯盟,,,,,,,501,,,,,,,,
親民黨,,,,,,,2038,2366,1719,,,,,,
時代力量,,281,,,,,,5715,2390,,2139,1363,,,
台灣民眾黨,,,366,,,16412,,,2902,,,1131,,,5790
台灣基進,,,,,,,,,4409,,,,,,
正神名黨,,,,,,,,,3691,,,,,,
天一黨,,,,,,919,,,,,,,,,
