party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
無黨籍及未經政黨推薦,919678,1082907,1045711,,15919,23140,256119,246125,214464,3688,4208,5293,,4225,5638
中國國民黨,350344,228350,174315,637531,827996,799107,560089,661969,556392,3230,2845,1122,6849,2717,
民主進步黨,110018,84368,40898,847284,619855,524224,584725,477864,438896,,,,,,
新黨,398,,,,,,,,,,,,,,
台灣團結聯盟,992,,,,,,18893,,,,,,,,
親民黨,,,,,,,37892,18044,,,,,,,
聯合黨,,,,,,,477,,,,,,,,
樹黨,,,,,,,6784,,,,,,,,
聾國黨,,35,,,,,,,,,,,,,
青年陽光黨,,23,,,,,,3875,,,,,,,
全國人民黨,,153,,,,,,,,,,,,,
世界大同黨,,200,,,,,,,,,,,,,
台灣整復師聯盟工黨,,,,,,,,345,,,,,,,
時代力量,,,1093,,,,,30719,26505,,,,,,
信心希望聯盟,,,,,,,,6621,,,,,,,
軍公教聯盟黨,,,,,,,,750,,,,,,,
台灣民眾黨,,,2943,,,,,,62858,,,,,,
統一聯盟黨,,,99,,,,,,,,,,,,
小民參政歐巴桑聯盟,,,,,,,,,8661,,,,,,
台灣基進,,,,,,,,,23369,,,,,,
前進黨,,,,,,,,,265,,,,,,
