party,村里長2014,村里長2018,村里長2022,縣市長2014,縣市長2018,縣市長2022,議員2014,議員2018,議員2022,鄉鎮市民代表2014,鄉鎮市民代表2018,鄉鎮市民代表2022,鄉鎮市長2014,鄉鎮市長2018,鄉鎮市長2022
無黨籍及未經政黨推薦,232196,249378,246880,,,3250,110407,106754,110128,224102,226196,207507,119953,103397,59986
中國國民黨,48200,30134,15932,149361,195385,154256,124974,115962,97131,56770,54751,39714,92100,125101,119510
民主進步黨,2750,2841,343,143719,97460,117993,56808,68203,61319,8243,5999,21194,74601,62656,91634
大道人民黨,,,,,,,167,,,,,,,,
台灣團結聯盟,,,,,,,1888,,,,,,,,
中華統一促進黨,,,,,,,23,,,,,,,,
台灣第一民族黨,,,,,,,200,,,,,,,,
親民黨,,,,,,,,,,360,,,,,
樹黨,,,,,,,,,,,,,4061,,
新華勞動黨,,,,,,,,1415,,,,,,,
台灣民眾黨,,,,,,,,,4324,,,643,,,
台灣新住民黨,,,,,,,,,529,,,,,,
