prv_code,city_code,area_code,dept_code,li_code,cand_no,cand_name,party_code,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,is_vice
63,000,07,000,0000,1,吳郁瑾 Sawmah Kawlo,16,2,0730406,38,臺北市,高中(職),N, , 
63,000,07,000,0000,2,李芳儒,1,1,0581206,52,臺灣省,碩士,Y,*, 
64,000,12,000,0000,1,王義雄,1,1,0490320,62,臺灣省,高中(職),Y,*, 
64,000,12,000,0000,2,巫振興,16,1,0600213,51,高雄市,大學,N, , 
64,000,12,000,0000,3,余葆祈 Fo tol Ki la,999,1,0651112,45,高雄市,高中(職),N, , 
65,000,12,000,0000,1,達佶祐．卡造Takiyo．Kacaw,350,1,0580207,53,臺灣省,碩士,N, , 
65,000,12,000,0000,2,吳國譽La．Is．Amid,1,1,0700914,41,臺北市,碩士,N, , 
65,000,12,000,0000,3,宋雨蓁 Nikar．Falong,999,2,0700717,41,新北市,大學,Y,*, 
65,000,12,000,0000,4,藞妏．尼卡兒,999,2,0551110,55,臺灣省,高中(職),N, , 
65,000,12,000,0000,5,楊春妹,1,2,0500219,61,臺灣省,專科,Y,*, 
65,000,12,000,0000,6,蘇錦雄Paylang．Caya,16,1,0530222,58,臺灣省,大學,Y,*, 
65,000,12,000,0000,7,楊曉君,999,2,0611218,49,臺北市,專科,N, , 
65,000,12,000,0000,8,林霈宸,74,2,0611207,49,臺北市,大學,N, , 
66,000,15,000,0000,1,江愛珍,16,2,0660327,45,臺灣省,大學,N, , 
66,000,15,000,0000,2,林清發,999,1,0471017,64,臺灣省,高中(職)以下,N, , 
66,000,15,000,0000,3,洪志明,350,1,0671101,43,臺灣省,碩士,N, , 
66,000,15,000,0000,4,黃仁,1,1,0510413,60,臺灣省,碩士,Y,*, 
66,000,15,000,0000,5,吳建德,999,1,0850915,26,臺中市,高中(職),N, , 
67,000,12,000,0000,1,李美素,999,2,0580721,53,臺灣省,碩士,N, , 
67,000,12,000,0000,2,穎艾達利 Ingay Tali,999,1,0620306,49,臺灣省,大學,Y,*, 
68,000,13,000,0000,1,林志強,16,1,0631028,48,新北市,專科,Y,*, 
68,000,13,000,0000,2,楊進福,999,1,0460101,65,臺灣省,碩士,Y,*, 
68,000,13,000,0000,3,張秀菊,999,2,0540607,57,臺灣省,專科,N,*, 
68,000,13,000,0000,4,林春蘭,90,2,0590101,52,臺灣省,高中(職),N, , 
68,000,13,000,0000,5,王仙蓮,1,2,0551021,56,臺灣省,大學,Y,*, 
68,000,13,000,0000,6,陳姿伶 Amuy．Muwakay,1,2,0490115,62,臺灣省,碩士,Y, , 
68,000,13,000,0000,7,蔡惠蘭,356,2,0620702,49,臺灣省,碩士,N, , 
