party_code,party_name
1,中國國民黨
10,中國民眾黨
16,民主進步黨
73,公民黨
90,親民黨
98,中華民族致公黨
113,中華統一促進黨
153,人民最大黨
188,正黨
198,新華勞動黨
199,人民民主黨
219,台灣進步黨
236,新生黨
257,天宙和平統一家庭黨
264,經濟黨
267,時代力量
295,全國人民黨
307,中華文化復興在理黨
310,青年陽光黨
321,台灣學習黨
340,台灣經濟發展黨
343,天一黨
350,台灣民眾黨
353,統一聯盟黨
367,夏潮聯合會
371,前進黨
372,台灣澎友黨
999,無黨籍及未經政黨推薦
