行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
蘭嶼鄉,椰油村,0001,21,43,141,74,279,1,280,0,280,367,647,43.28%
蘭嶼鄉,紅頭村,0002,64,66,81,139,350,7,357,0,357,533,890,40.11%
蘭嶼鄉,東清村,0003,167,174,70,82,493,8,501,0,501,596,1097,45.67%
蘭嶼鄉,朗島村,0004,66,42,60,79,247,6,253,0,253,426,679,37.26%
