villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
67000190024,臺南市,善化區,蓮潭里,406,2101,19.32,183,1693,10.81,洪岳銘,,1186,3138,37.79,1306,3146,41.51,18.47
67000190022,臺南市,善化區,頂街里,84,859,9.78,19,676,2.81,洪岳銘,,213,879,24.23,225,891,25.25,14.45
67000190021,臺南市,善化區,小新里,338,3192,10.59,124,2334,5.31,洪岳銘,,787,3219,24.45,967,3253,29.73,13.86
67000190019,臺南市,善化區,嘉北里,84,1151,7.3,43,910,4.73,洪岳銘,,234,1138,20.56,298,1156,25.78,13.26
67000190004,臺南市,善化區,文昌里,185,1929,9.59,70,1297,5.4,洪岳銘,,409,1823,22.44,496,1844,26.9,12.85
67000190018,臺南市,善化區,牛庄里,114,1187,9.6,50,1059,4.72,洪岳銘,,263,1180,22.29,316,1191,26.53,12.69
67000190001,臺南市,善化區,東關里,90,803,11.21,25,529,4.73,洪岳銘,,180,764,23.56,196,767,25.55,12.35
67000190023,臺南市,善化區,昌隆里,101,1328,7.61,33,1049,3.15,洪岳銘,,257,1295,19.85,321,1325,24.23,12.24
67000190011,臺南市,善化區,什乃里,82,937,8.75,27,628,4.3,洪岳銘,,177,852,20.77,234,863,27.11,12.02
67000190010,臺南市,善化區,胡厝里,163,1471,11.08,32,1046,3.06,洪岳銘,,336,1468,22.89,418,1487,28.11,11.81
67000190020,臺南市,善化區,嘉南里,65,772,8.42,12,571,2.1,洪岳銘,,147,737,19.95,179,743,24.09,11.53
67000190003,臺南市,善化區,光文里,437,3936,11.1,147,2916,5.04,洪岳銘,,857,3804,22.53,1022,3849,26.55,11.43
67000190008,臺南市,善化區,文正里,124,1177,10.54,31,814,3.81,洪岳銘,,240,1096,21.9,277,1115,24.84,11.36
67000190002,臺南市,善化區,坐駕里,347,2916,11.9,122,2166,5.63,洪岳銘,,630,2737,23.02,731,2767,26.42,11.12
67000190014,臺南市,善化區,六德里,73,746,9.79,12,628,1.91,洪岳銘,,137,671,20.42,179,683,26.21,10.63
67000190009,臺南市,善化區,胡家里,57,880,6.48,15,665,2.26,洪岳銘,,143,853,16.76,179,864,20.72,10.28
67000190013,臺南市,善化區,六分里,32,539,5.94,14,434,3.23,洪岳銘,,72,469,15.35,103,475,21.68,9.41
67000190005,臺南市,善化區,南關里,149,1335,11.16,52,1016,5.12,洪岳銘,,256,1262,20.29,314,1270,24.72,9.13
67000190015,臺南市,善化區,田寮里,82,1214,6.75,21,1075,1.95,洪岳銘,,184,1186,15.51,273,1203,22.69,8.76
67000190012,臺南市,善化區,溪美里,119,1368,8.7,43,1012,4.25,洪岳銘,,227,1347,16.85,312,1358,22.97,8.15
