villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
68000100030,桃園市,平鎮區,湧安里,307,3031,10.13,105,2458,4.27,曾姸潔,,908,3167,28.67,1159,3218,36.02,18.54
68000100046,桃園市,平鎮區,平南里,609,4585,13.28,307,3884,7.9,曾姸潔,,1503,4998,30.07,1831,5063,36.16,16.79
68000100017,桃園市,平鎮區,龍恩里,186,1971,9.44,68,1627,4.18,曾姸潔,,515,1979,26.02,623,2006,31.06,16.58
68000100031,桃園市,平鎮區,廣達里,329,2787,11.8,139,2438,5.7,曾姸潔,,819,2953,27.73,931,2978,31.26,15.93
68000100021,桃園市,平鎮區,忠貞里,111,892,12.44,46,812,5.67,曾姸潔,,304,1076,28.25,377,1082,34.84,15.81
68000100006,桃園市,平鎮區,宋屋里,361,2951,12.23,147,2239,6.57,曾姸潔,,863,3084,27.98,1042,3124,33.35,15.75
68000100032,桃園市,平鎮區,福林里,272,2384,11.41,93,1919,4.85,曾姸潔,,670,2484,26.97,803,2532,31.71,15.56
68000100025,桃園市,平鎮區,東安里,208,1981,10.5,62,1500,4.13,曾姸潔,,483,1874,25.77,627,1909,32.84,15.27
68000100027,桃園市,平鎮區,鎮興里,227,2118,10.72,80,1629,4.91,曾姸潔,,535,2100,25.48,653,2128,30.69,14.76
68000100043,桃園市,平鎮區,平興里,526,3870,13.59,204,2962,6.89,曾姸潔,,1141,4030,28.31,1379,4067,33.91,14.72
68000100038,桃園市,平鎮區,華安里,293,2918,10.04,79,1988,3.97,曾姸潔,,687,2783,24.69,896,2822,31.75,14.65
68000100033,桃園市,平鎮區,金星里,749,4463,16.78,361,3410,10.59,曾姸潔,,1521,4844,31.4,1822,4900,37.18,14.62
68000100003,桃園市,平鎮區,復旦里,576,3957,14.56,202,3121,6.47,曾姸潔,,1154,3971,29.06,1350,4014,33.63,14.5
68000100045,桃園市,平鎮區,平安里,526,3592,14.64,202,2946,6.86,曾姸潔,,1113,3821,29.13,1328,3864,34.37,14.49
68000100014,桃園市,平鎮區,莊敬里,339,3231,10.49,116,2562,4.53,曾姸潔,,836,3375,24.77,1088,3426,31.76,14.28
68000100013,桃園市,平鎮區,南勢里,510,4154,12.28,162,3061,5.29,曾姸潔,,1103,4159,26.52,1312,4204,31.21,14.24
68000100008,桃園市,平鎮區,新富里,542,4055,13.37,182,3204,5.68,曾姸潔,,1129,4098,27.55,1329,4129,32.19,14.18
68000100044,桃園市,平鎮區,新英里,409,2700,15.15,130,2177,5.97,曾姸潔,,821,2814,29.18,962,2823,34.08,14.03
68000100026,桃園市,平鎮區,新安里,359,3088,11.63,103,2213,4.65,曾姸潔,,764,3008,25.4,972,3047,31.9,13.77
68000100011,桃園市,平鎮區,北貴里,352,2987,11.78,97,2514,3.86,曾姸潔,,735,2878,25.54,891,2923,30.48,13.76
68000100041,桃園市,平鎮區,北華里,378,2832,13.35,127,2232,5.69,曾姸潔,,781,2883,27.09,874,2896,30.18,13.74
68000100001,桃園市,平鎮區,雙連里,375,3369,11.13,117,2700,4.33,曾姸潔,,815,3278,24.86,1019,3311,30.78,13.73
68000100028,桃園市,平鎮區,義興里,603,4941,12.2,184,4177,4.41,曾姸潔,,1282,4951,25.89,1569,4999,31.39,13.69
68000100024,桃園市,平鎮區,東勢里,419,3876,10.81,114,2956,3.86,曾姸潔,,930,3811,24.4,1135,3858,29.42,13.59
68000100029,桃園市,平鎮區,湧豐里,128,1281,9.99,37,957,3.87,曾姸潔,,293,1245,23.53,377,1257,29.99,13.54
68000100012,桃園市,平鎮區,平鎮里,387,3091,12.52,147,2516,5.84,曾姸潔,,816,3143,25.96,976,3176,30.73,13.44
68000100042,桃園市,平鎮區,復興里,483,3703,13.04,170,3038,5.6,曾姸潔,,965,3655,26.4,1132,3678,30.78,13.36
68000100007,桃園市,平鎮區,新勢里,321,2688,11.94,102,2231,4.57,曾姸潔,,662,2619,25.28,787,2648,29.72,13.34
68000100002,桃園市,平鎮區,高雙里,389,3119,12.47,149,2523,5.91,曾姸潔,,835,3261,25.61,980,3282,29.86,13.14
68000100015,桃園市,平鎮區,山峰里,181,1695,10.68,40,1325,3.02,曾姸潔,,367,1546,23.74,475,1562,30.41,13.06
68000100016,桃園市,平鎮區,湧光里,442,3795,11.65,141,2938,4.8,曾姸潔,,880,3609,24.38,1112,3654,30.43,12.73
68000100034,桃園市,平鎮區,廣仁里,324,2972,10.9,133,2366,5.62,曾姸潔,,671,2841,23.62,850,2872,29.6,12.72
68000100023,桃園市,平鎮區,建安里,350,3069,11.4,104,2393,4.35,曾姸潔,,733,3049,24.04,893,3086,28.94,12.64
68000100036,桃園市,平鎮區,北富里,332,2844,11.67,107,2247,4.76,曾姸潔,,673,2769,24.3,831,2791,29.77,12.63
68000100005,桃園市,平鎮區,義民里,539,3651,14.76,183,2876,6.36,曾姸潔,,1010,3690,27.37,1227,3739,32.82,12.61
68000100010,桃園市,平鎮區,北興里,354,2906,12.18,71,2165,3.28,曾姸潔,,690,2799,24.65,808,2828,28.57,12.47
68000100004,桃園市,平鎮區,廣興里,513,4182,12.27,153,3296,4.64,曾姸潔,,991,4012,24.7,1156,4052,28.53,12.43
68000100019,桃園市,平鎮區,龍興里,184,1848,9.96,48,1390,3.45,曾姸潔,,385,1723,22.34,489,1749,27.96,12.38
68000100009,桃園市,平鎮區,北勢里,212,1873,11.32,74,1421,5.21,曾姸潔,,409,1765,23.17,472,1785,26.44,11.85
