villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
10014070003,臺東縣,東河鄉,東河村,32,517,6.19,0,166,0,,,86,522,16.48,137,536,25.56,10.29
10014070002,臺東縣,東河鄉,泰源村,11,519,2.12,0,261,0,,,57,482,11.83,101,518,19.5,9.71
10014070007,臺東縣,東河鄉,都蘭村,43,1306,3.29,0,681,0,,,150,1217,12.33,254,1248,20.35,9.04
10014070005,臺東縣,東河鄉,隆昌村,11,311,3.54,0,103,0,,,33,279,11.83,58,291,19.93,8.29
10014070006,臺東縣,東河鄉,興昌村,16,489,3.27,0,338,0,,,50,496,10.08,84,515,16.31,6.81
10014070004,臺東縣,東河鄉,尚德村,8,126,6.35,0,95,0,,,13,101,12.87,17,107,15.89,6.52
10014070001,臺東縣,東河鄉,北源村,22,688,3.2,0,399,0,,,48,611,7.86,102,639,15.96,4.66
